symbol,date,close,volume,dollar_volume
INTC,2026-06-16,117.05,132962556,15563267180.0
NVDA,2026-06-16,207.41,125694100,26070213281.0
NFLX,2026-06-16,78.72,65054025,5121052848.0
MRVL,2026-06-16,278.67,59201345,16497638811.0
T,2026-06-16,23.16,47609303,1102631457.0
F,2026-06-16,14.41,47489971,684330482.0
MU,2026-06-16,1020.76,45499755,46444329914.0
CRWV,2026-06-16,117.03,42823854,5011675634.0
TSLA,2026-06-16,404.66,40255473,16289779704.0
AAPL,2026-06-16,299.24,39874404,11932016653.0
RKT,2026-06-16,13.92,38265547,532656414.0
AMZN,2026-06-16,246.0,35187406,8656101876.0
BAC,2026-06-16,56.84,33409761,1899010815.0
PFE,2026-06-16,26.04,32829572,854882055.0
LYG,2026-06-16,5.56,32068690,178301916.0
AVGO,2026-06-16,376.71,31573669,11894116849.0
HOOD,2026-06-16,96.71,31540762,3050307093.0
MSFT,2026-06-16,393.83,31506846,12408341160.0
PLTR,2026-06-16,133.25,30409932,4052123439.0
CMCSA,2026-06-16,23.66,28797820,681356421.0
AMD,2026-06-16,507.29,28411694,14412968249.0
RKLB,2026-06-16,104.63,27885014,2917609015.0
GOOGL,2026-06-16,373.25,24876095,9285002459.0
CCL,2026-06-16,30.9,24486199,756623549.0
HPE,2026-06-16,48.38,24311586,1176194531.0
WMT,2026-06-16,121.03,23060729,2791040031.0
WBD,2026-06-16,26.6,22974507,611121886.0
SATS,2026-06-16,120.97,22431026,2713481215.0
HBAN,2026-06-16,17.32,20911070,362179732.0
VZ,2026-06-16,46.73,20698359,967234316.0
TFC,2026-06-16,49.13,20284811,996592764.0
ASTS,2026-06-16,82.25,20234926,1664322664.0
QCOM,2026-06-16,214.07,19629555,4202098839.0
NKE,2026-06-16,45.04,19591439,882398413.0
PYPL,2026-06-16,43.65,19507058,851483082.0
XOM,2026-06-16,141.86,18925363,2684751995.0
MSTR,2026-06-16,122.81,17795567,2185473583.0
KO,2026-06-16,80.28,17565145,1410129841.0
UBER,2026-06-16,73.25,17514601,1282944523.0
CNQ,2026-06-16,43.3,17379821,752546249.0
NOW,2026-06-16,101.33,17198406,1742714480.0
ORCL,2026-06-16,188.33,16985542,3198887125.0
CSCO,2026-06-16,119.57,16644328,1990162299.0
GOOG,2026-06-16,371.1,16492788,6120473627.0
CRM,2026-06-16,161.71,16385305,2649667672.0
WDC,2026-06-16,681.08,15860106,10802000994.0
FISV,2026-06-16,49.83,15843976,789505324.0
SLB,2026-06-16,53.07,15336908,813929708.0
CMG,2026-06-16,32.61,14923855,486666912.0
BABA,2026-06-16,110.97,14128119,1567797365.0
KLAC,2026-06-16,237.33,14048561,3334144982.0
RBLX,2026-06-16,49.34,14044275,692944528.0
GLW,2026-06-16,177.42,13482130,2391999505.0
C,2026-06-16,142.99,13234743,1892435902.0
ABT,2026-06-16,90.62,12740746,1154566403.0
DVN,2026-06-16,42.89,12629865,541694910.0
ARM,2026-06-16,396.34,12401970,4915396790.0
WFC,2026-06-16,85.05,12400514,1054663716.0
KDP,2026-06-16,32.0,12383416,396269312.0
SCHW,2026-06-16,93.67,12346448,1156491784.0
PCG,2026-06-16,16.74,12306660,206013488.0
LRCX,2026-06-16,369.34,12054938,4452370801.0
BMY,2026-06-16,55.92,11945740,668005781.0
MCHP,2026-06-16,95.63,11664328,1115459687.0
KVUE,2026-06-16,18.43,11506212,212059487.0
META,2026-06-16,600.21,11344421,6809034928.0
BE,2026-06-16,280.88,11266663,3164580303.0
BSX,2026-06-16,46.92,11144138,522882955.0
JPM,2026-06-16,331.14,11094894,3673963199.0
TSM,2026-06-16,425.83,10943492,4660067198.0
CPRT,2026-06-16,30.74,10937501,336218781.0
AMAT,2026-06-16,568.23,10906131,6197190818.0
HLN,2026-06-16,9.09,10717416,97421311.0
DIS,2026-06-16,101.28,10694557,1083144733.0
MRK,2026-06-16,115.17,10665445,1228339301.0
HAL,2026-06-16,37.2,10633499,395566163.0
CSX,2026-06-16,46.9,10392756,487420256.0
ON,2026-06-16,118.25,10389844,1228599053.0
NEE,2026-06-16,86.23,10342636,891845502.0
DAL,2026-06-16,83.14,10288285,855368015.0
B,2026-06-16,42.77,10228283,437463664.0
KMI,2026-06-16,31.44,10212067,321067386.0
MDLZ,2026-06-16,62.15,9967575,619484786.0
OXY,2026-06-16,53.67,9747735,523160937.0
CVE,2026-06-16,26.25,9605894,252154718.0
SNDK,2026-06-16,1991.55,9588497,19095971200.0
GILD,2026-06-16,127.23,9381890,1193657865.0
PEP,2026-06-16,146.12,9345235,1365525738.0
V,2026-06-16,333.12,9248402,3080827674.0
FCX,2026-06-16,70.15,9007540,631878931.0
EQT,2026-06-16,51.37,8786579,451366563.0
ET,2026-06-16,18.91,8720775,164909855.0
MDLN,2026-06-16,37.09,8557729,317406169.0
PG,2026-06-16,152.49,8518945,1299053923.0
APH,2026-06-16,158.81,8222953,1305887166.0
COP,2026-06-16,111.34,8197479,912707312.0
