symbol,country,market_cap,spread_pct,spread_rating,open_interest,oi_rating,verdict,expiration,dte,atm_strike,opt_bid,opt_ask,opt_mid,opt_volume,underlying_last
TSLA,USA,1636.71B,0.63,excellent,643,ok,TRADEABLE,2026-08-21,65,405.0,31.5,31.7,31.6,200,403.42
UNH,USA,345.38B,0.91,excellent,1570,strong,TRADEABLE,2026-08-21,65,410.0,21.95,22.15,22.05,59,407.7
MSFT,USA,3344.58B,1.04,excellent,498,ok,TRADEABLE,2026-08-21,65,385.0,24.0,24.25,24.125,205,384.18
META,USA,1605.58B,1.12,excellent,991,ok,TRADEABLE,2026-08-21,65,580.0,40.0,40.45,40.225,252,577.8
NVDA,USA,5109.59B,1.31,excellent,9882,strong,TRADEABLE,2026-08-21,65,205.0,15.15,15.35,15.25,359,207.3
AMZN,USA,2911.30B,1.31,excellent,8643,strong,TRADEABLE,2026-08-21,65,240.0,15.15,15.35,15.25,599,239.36
GOOG,USA,4586.90B,1.58,excellent,1595,strong,TRADEABLE,2026-08-21,65,365.0,22.0,22.35,22.175,674,363.305
BP,United Kingdom,107.81B,1.6,excellent,296,ok,TRADEABLE,2026-08-21,65,41.0,1.86,1.89,1.875,101,40.55
MU,USA,1095.03B,1.64,excellent,697,ok,TRADEABLE,2026-08-21,65,1050.0,175.75,178.65,177.2,100,1054.6951
CRM,USA,156.33B,1.8,excellent,6350,strong,TRADEABLE,2026-08-21,65,160.0,11.0,11.2,11.1,61,157.96
C,USA,215.91B,1.81,excellent,1373,strong,TRADEABLE,2026-08-21,65,145.0,8.2,8.35,8.275,226,145.88
NFLX,USA,362.21B,1.9,excellent,3556,strong,TRADEABLE,2026-08-21,65,78.0,5.2,5.3,5.25,420,77.735
AAPL,USA,4583.34B,1.93,excellent,16411,strong,TRADEABLE,2026-08-21,65,300.0,12.85,13.1,12.975,799,298.285
PLTR,USA,375.28B,1.94,excellent,3183,strong,TRADEABLE,2026-08-21,65,135.0,12.75,13.0,12.875,448,134.88
AMD,USA,841.55B,1.95,excellent,2137,strong,TRADEABLE,2026-08-21,65,520.0,68.6,69.95,69.275,114,521.96
FCX,USA,94.46B,1.95,excellent,10586,strong,TRADEABLE,2026-08-21,65,70.0,7.6,7.75,7.675,664,72.04
INTC,USA,576.38B,2.07,excellent,11169,strong,TRADEABLE,2026-08-21,65,120.0,19.1,19.5,19.3,1271,122.072
TSM,Taiwan,2170.28B,2.24,excellent,1351,strong,TRADEABLE,2026-08-21,65,440.0,37.55,38.4,37.975,448,439.25
LLY,USA,1040.62B,2.25,excellent,483,ok,TRADEABLE,2026-08-21,65,1120.0,72.45,74.1,73.275,17,1117.615
CSCO,USA,474.63B,2.34,excellent,2359,strong,TRADEABLE,2026-08-21,65,120.0,8.45,8.65,8.55,94,118.735
CCL,USA,38.81B,2.45,excellent,646,ok,TRADEABLE,2026-08-21,65,31.0,2.42,2.48,2.45,65,30.835
FTNT,USA,101.08B,2.57,excellent,302,ok,TRADEABLE,2026-08-21,65,145.0,13.45,13.8,13.625,23,144.27
NOW,USA,128.26B,2.64,excellent,5943,strong,TRADEABLE,2026-08-21,65,100.0,11.2,11.5,11.35,242,100.52
CRWV,USA,59.76B,2.7,excellent,9322,strong,TRADEABLE,2026-08-21,65,120.0,18.3,18.8,18.55,226,119.825
GOOGL,USA,4586.91B,2.76,excellent,1379,strong,TRADEABLE,2026-08-21,65,365.0,23.2,23.85,23.525,153,365.46
CVS,USA,116.08B,2.9,excellent,5220,strong,TRADEABLE,2026-08-21,65,100.0,5.1,5.25,5.175,85,99.69
CMCSA,USA,88.84B,3.01,good,1492,strong,TRADEABLE,2026-08-21,65,23.0,1.31,1.35,1.33,24,23.065
PG,USA,334.29B,3.03,good,1312,strong,TRADEABLE,2026-08-21,65,150.0,6.5,6.7,6.6,11,151.53
ORCL,USA,649.35B,3.04,good,1669,strong,TRADEABLE,2026-08-21,65,190.0,16.2,16.7,16.45,95,188.76
DELL,USA,274.61B,3.1,good,481,ok,TRADEABLE,2026-08-21,65,420.0,52.35,54.0,53.175,77,421.34
MSTR,USA,55.75B,3.12,good,50580,strong,TRADEABLE,2026-08-21,65,125.0,15.75,16.25,16.0,467,123.855
HOOD,USA,84.99B,3.14,good,2989,strong,TRADEABLE,2026-08-21,65,105.0,14.1,14.55,14.325,1080,107.32
