Date,EMA(13)
2024-11-04,230.79
2024-11-05,229.74
2024-11-06,228.74
2024-11-07,228.56
2024-11-08,228.33
2024-11-11,227.74
2024-11-12,227.24
2024-11-13,226.94
2024-11-14,227.12
2024-11-15,226.82
2024-11-18,226.99
2024-11-19,227.17
2024-11-20,227.43
2024-11-21,227.59
2024-11-22,227.92
2024-11-25,228.63
2024-11-26,229.55
2024-11-27,230.32
2024-11-29,231.32
2024-12-02,232.5
2024-12-03,233.95
2024-12-04,235.24
2024-12-05,236.35
2024-12-06,237.28
2024-12-09,238.63
2024-12-10,239.94
2024-12-11,240.88
2024-12-12,241.89
2024-12-13,242.78
2024-12-16,243.96
2024-12-17,245.32
2024-12-18,245.71
2024-12-19,246.29
2024-12-20,247.46
2024-12-23,248.58
2024-12-24,249.95
2024-12-26,251.25
2024-12-27,251.87
2024-12-30,251.92
2024-12-31,251.71
2025-01-02,250.59
2025-01-03,249.56
2025-01-06,248.91
2025-01-07,247.95
2025-01-08,247.2
2025-01-10,245.72
2025-01-13,244.1
2025-01-14,242.55
2025-01-15,241.88
2025-01-16,239.93
2025-01-17,238.51
2025-01-21,236.24
2025-01-22,234.47
2025-01-23,232.93
2025-01-24,231.48
2025-01-27,231.25
2025-01-28,232.25
2025-01-29,233.27
2025-01-30,233.89
2025-01-31,234.19
2025-02-03,233.31
2025-02-04,233.24
2025-02-05,233.13
2025-02-06,233.14
2025-02-07,232.35
2025-02-10,231.68
2025-02-11,231.81
2025-02-12,232.53
2025-02-13,233.82
2025-02-14,235.36
2025-02-18,236.66
2025-02-19,237.83
2025-02-20,238.97
2025-02-21,239.91
2025-02-24,240.94
2025-02-25,241.81
2025-02-26,241.6
2025-02-27,240.99
2025-02-28,241.11
2025-03-03,240.67
2025-03-04,239.99
2025-03-05,239.38
2025-03-06,238.8
2025-03-07,238.84
2025-03-10,237.22
2025-03-11,234.88
2025-03-12,232.32
2025-03-13,229.09
2025-03-14,226.86
2025-03-17,225.02
2025-03-18,223.26
2025-03-19,222.11
2025-03-20,220.97
2025-03-21,220.58
2025-03-24,220.6
2025-03-25,221.05
2025-03-26,221.12
2025-03-27,221.51
2025-03-28,220.99
2025-03-31,221.15
