Date,EMA(39)
2024-12-11,141.35
2024-12-12,141.15
2024-12-13,140.8
2024-12-16,140.36
2024-12-17,139.86
2024-12-18,139.31
2024-12-19,138.88
2024-12-20,138.67
2024-12-23,138.72
2024-12-24,138.79
2024-12-26,138.85
2024-12-27,138.76
2024-12-30,138.7
2024-12-31,138.48
2025-01-02,138.47
2025-01-03,138.77
2025-01-06,139.3
2025-01-07,139.34
2025-01-08,139.38
2025-01-10,139.21
2025-01-13,138.91
2025-01-14,138.55
2025-01-15,138.43
2025-01-16,138.19
2025-01-17,138.17
2025-01-21,138.3
2025-01-22,138.74
2025-01-23,139.16
2025-01-24,139.33
2025-01-27,138.28
2025-01-28,137.82
2025-01-29,137.11
2025-01-30,136.49
2025-01-31,135.67
2025-02-03,134.72
2025-02-04,133.92
2025-02-05,133.47
2025-02-06,133.23
2025-02-07,133.06
2025-02-10,133.09
2025-02-11,133.08
2025-02-12,132.98
2025-02-13,133.1
2025-02-14,133.39
2025-02-18,133.69
2025-02-19,133.97
2025-02-20,134.28
2025-02-21,134.29
2025-02-24,134.09
2025-02-25,133.72
2025-02-26,133.6
2025-02-27,132.93
2025-02-28,132.53
2025-03-03,131.61
2025-03-04,130.83
2025-03-05,130.15
2025-03-06,129.17
2025-03-07,128.35
2025-03-10,127.28
2025-03-11,126.35
2025-03-12,125.82
2025-03-13,125.31
2025-03-14,125.13
2025-03-17,124.85
2025-03-18,124.38
2025-03-19,124.04
2025-03-20,123.76
2025-03-21,123.46
2025-03-24,123.36
2025-03-25,123.23
2025-03-26,122.76
2025-03-27,122.19
2025-03-28,121.56
2025-03-31,120.9
2025-04-01,120.36
2025-04-02,119.86
2025-04-03,118.96
2025-04-04,117.73
2025-04-07,116.73
2025-04-08,115.71
2025-04-09,115.64
2025-04-10,115.24
2025-04-11,115.02
2025-04-14,114.8
2025-04-15,114.67
2025-04-16,114.16
2025-04-17,113.53
2025-04-21,112.7
2025-04-22,112.01
2025-04-23,111.54
2025-04-24,111.28
2025-04-25,111.27
2025-04-28,111.14
2025-04-29,111.03
2025-04-30,110.92
2025-05-01,110.95
2025-05-02,111.13
2025-05-05,111.26
2025-05-06,111.37
2025-05-07,111.65
2025-05-08,111.94
2025-05-09,112.18
2025-05-12,112.72
2025-05-13,113.58
2025-05-14,114.67
2025-05-15,115.68
2025-05-16,116.67
2025-05-19,117.62
2025-05-20,118.46
2025-05-21,119.13
2025-05-22,119.82
2025-05-23,120.39
2025-05-27,121.15
2025-05-28,121.83
2025-05-29,122.7
2025-05-30,123.32
2025-06-02,124.02
2025-06-03,124.88
2025-06-04,125.73
2025-06-05,126.44
2025-06-06,127.2
2025-06-09,127.97
2025-06-10,128.77
2025-06-11,129.47
2025-06-12,130.25
2025-06-13,130.84
2025-06-16,131.53
2025-06-17,132.16
2025-06-18,132.83
2025-06-20,133.38
2025-06-23,133.92
2025-06-24,134.62
2025-06-25,135.6
2025-06-26,136.57
2025-06-27,137.63
2025-06-30,138.65
2025-07-01,139.38
2025-07-02,140.27
2025-07-03,141.22
2025-07-07,142.07
2025-07-08,142.97
2025-07-09,143.97
2025-07-10,144.98
2025-07-11,145.98
2025-07-14,146.88
2025-07-15,148.07
2025-07-16,149.23
2025-07-17,150.42
2025-07-18,151.52
2025-07-21,152.51
2025-07-22,153.24
2025-07-23,154.12
2025-07-24,155.1
2025-07-25,156.02
2025-07-28,157.06
2025-07-29,157.98
2025-07-30,159.04
2025-07-31,159.98
2025-08-01,160.67
2025-08-04,161.64
2025-08-05,162.47
2025-08-06,163.32
2025-08-07,164.19
2025-08-08,165.12
2025-08-11,165.97
2025-08-12,166.83
2025-08-13,167.57
2025-08-14,168.29
2025-08-15,168.9
2025-08-18,169.56
2025-08-19,169.86
2025-08-20,170.14
2025-08-21,170.38
2025-08-22,170.76
2025-08-25,171.21
2025-08-26,171.74
2025-08-27,172.23
2025-08-28,172.63
2025-08-29,172.71
2025-09-02,172.61
2025-09-03,172.51
2025-09-04,172.47
2025-09-05,172.2
2025-09-08,172.01
2025-09-09,171.95
2025-09-10,172.22
2025-09-11,172.47
2025-09-12,172.74
2025-09-15,172.99
2025-09-16,173.08
2025-09-17,172.94
2025-09-18,173.1
2025-09-19,173.28
2025-09-22,173.8
2025-09-23,174.03
2025-09-24,174.18
2025-09-25,174.36
2025-09-26,174.55
2025-09-29,174.92
2025-09-30,175.5
2025-10-01,176.09
2025-10-02,176.73
2025-10-03,177.27
2025-10-06,177.68
2025-10-07,178.05
2025-10-08,178.6
2025-10-09,179.3
2025-10-10,179.49
