Date,EMA(26)
2024-11-21,281.08
2024-11-22,286.37
2024-11-25,290.24
2024-11-26,293.79
2024-11-27,296.69
2024-11-29,300.28
2024-12-02,304.49
2024-12-03,307.97
2024-12-04,311.67
2024-12-05,315.95
2024-12-06,321.38
2024-12-09,326.45
2024-12-10,331.97
2024-12-11,338.84
2024-12-12,344.71
2024-12-13,351.49
2024-12-16,359.75
2024-12-17,368.65
2024-12-18,373.94
2024-12-19,378.55
2024-12-20,381.7
2024-12-23,385.32
2024-12-24,391.02
2024-12-26,395.69
2024-12-27,398.35
2024-12-30,399.76
2024-12-31,400.06
2025-01-02,398.52
2025-01-03,399.4
2025-01-06,400.26
2025-01-07,399.82
2025-01-08,399.46
2025-01-10,399.11
2025-01-13,399.42
2025-01-14,399.19
2025-01-15,401.34
2025-01-16,402.26
2025-01-17,404.06
2025-01-21,405.54
2025-01-22,406.25
2025-01-23,406.7
2025-01-24,406.69
2025-01-27,405.98
2025-01-28,405.4
2025-01-29,404.19
2025-01-30,403.9
2025-01-31,403.95
2025-02-03,402.45
2025-02-04,401.69
2025-02-05,399.95
2025-02-06,398.05
2025-02-07,395.35
2025-02-10,392.04
2025-02-11,387.33
2025-02-12,383.57
2025-02-13,381.52
2025-02-14,379.62
2025-02-18,377.73
2025-02-19,376.46
2025-02-20,374.83
2025-02-21,372.09
2025-02-24,369.01
2025-02-25,364.11
2025-02-26,358.68
2025-02-27,353.0
2025-02-28,348.55
2025-03-03,343.82
2025-03-04,338.5
2025-03-05,334.1
2025-03-06,328.87
2025-03-07,323.97
2025-03-10,316.43
2025-03-11,310.07
2025-03-12,305.48
2025-03-13,300.68
2025-03-14,296.92
2025-03-17,292.56
2025-03-18,287.58
2025-03-19,283.75
2025-03-20,280.23
2025-03-21,277.9
2025-03-24,277.94
2025-03-25,278.7
2025-03-26,278.21
2025-03-27,277.83
2025-03-28,276.77
2025-03-31,275.47
2025-04-01,274.95
2025-04-02,275.53
2025-04-03,274.92
2025-04-04,272.29
2025-04-07,269.4
2025-04-08,265.88
2025-04-09,266.35
2025-04-10,265.32
2025-04-11,264.36
2025-04-14,263.47
2025-04-15,262.78
2025-04-16,261.21
2025-04-17,259.74
2025-04-21,257.35
2025-04-22,255.91
2025-04-23,255.53
2025-04-24,255.82
2025-04-25,257.98
2025-04-28,260.05
2025-04-29,262.42
2025-04-30,263.88
2025-05-01,265.11
2025-05-02,266.75
2025-05-05,267.75
2025-05-06,268.31
2025-05-07,268.9
2025-05-08,270.08
2025-05-09,272.17
2025-05-12,275.59
2025-05-13,279.92
2025-05-14,284.94
2025-05-15,289.23
2025-05-16,293.73
2025-05-19,297.31
2025-05-20,300.76
2025-05-21,303.27
2025-05-22,306.07
2025-05-23,308.53
2025-05-27,312.56
2025-05-28,315.84
2025-05-29,318.99
2025-05-30,321.02
2025-06-02,322.63
2025-06-03,324.23
2025-06-04,324.81
2025-06-05,321.84
2025-06-06,319.86
2025-06-09,319.02
2025-06-10,319.54
2025-06-11,320.05
2025-06-12,319.98
2025-06-13,320.37
2025-06-16,321.02
2025-06-17,320.67
2025-06-18,320.77
2025-06-20,320.87
2025-06-23,322.93
2025-06-24,324.23
2025-06-25,324.48
2025-06-26,324.58
2025-06-27,324.51
2025-06-30,324.0
2025-07-01,322.27
2025-07-02,321.78
2025-07-03,321.3
2025-07-07,319.27
2025-07-08,317.68
2025-07-09,316.07
2025-07-10,315.61
2025-07-11,315.45
2025-07-14,315.56
2025-07-15,315.21
2025-07-16,315.69
2025-07-17,315.97
2025-07-18,316.98
2025-07-21,317.83
2025-07-22,318.89
2025-07-23,319.9
2025-07-24,318.82
2025-07-25,318.62
2025-07-28,319.14
2025-07-29,319.29
2025-07-30,319.27
2025-07-31,318.46
2025-08-01,317.29
2025-08-04,316.7
2025-08-05,316.11
2025-08-06,316.39
2025-08-07,316.83
2025-08-08,317.78
2025-08-11,319.35
2025-08-12,320.94
2025-08-13,322.31
2025-08-14,323.29
2025-08-15,323.83
2025-08-18,324.67
2025-08-19,325.01
2025-08-20,324.93
2025-08-21,324.57
2025-08-22,325.71
2025-08-25,327.26
2025-08-26,329.07
2025-08-27,330.59
2025-08-28,331.73
2025-08-29,331.89
2025-09-02,331.7
2025-09-03,331.88
2025-09-04,332.37
2025-09-05,333.74
2025-09-08,334.68
2025-09-09,335.59
2025-09-10,336.49
2025-09-11,338.88
2025-09-12,343.11
2025-09-15,348.07
2025-09-16,353.52
2025-09-17,358.88
2025-09-18,363.17
2025-09-19,367.83
2025-09-22,372.75
2025-09-23,376.68
2025-09-24,381.58
2025-09-25,384.68
2025-09-26,388.81
2025-09-29,392.84
2025-09-30,396.68
2025-10-01,401.33
2025-10-02,403.9
2025-10-03,405.82
2025-10-06,409.33
2025-10-07,411.09
2025-10-08,413.13
2025-10-09,414.79
2025-10-10,414.69
2025-10-13,416.26
2025-10-14,417.22
2025-10-15,418.55
2025-10-16,419.31
2025-10-17,420.79
2025-10-20,422.76
2025-10-21,424.23
2025-10-22,425.32
2025-10-23,427.07
2025-10-24,427.56
2025-10-27,429.4
2025-10-28,431.71
