Date,EMA(12),EMA(26),MACD,Signal,Histogram
2023-01-19,120.03167,,,,
2023-01-20,122.09141,,,,
2023-01-23,125.4235,,,,
2023-01-24,128.2645,,,,
2023-01-25,130.7515,,,,
2023-01-26,135.29281,,,,
2023-01-27,141.84776,,,,
2023-01-30,145.66503,,,,
2023-01-31,149.90426,,,,
2023-02-01,154.7513,,,,
2023-02-02,159.90802,,,,
2023-02-03,164.53448,,,,
2023-02-06,169.18456,,,,
2023-02-07,173.43463,,,,
2023-02-08,177.72007,147.55538,,,
2023-02-09,182.27391,151.98239,,,
2023-02-10,184.52254,155.30888,,,
2023-02-13,186.07907,158.2223,,,
2023-02-14,189.64383,162.00213,,,
2023-02-15,193.42786,165.8716,,,
2023-02-16,194.7528,168.55074,,,
2023-02-17,196.83852,171.49587,,,
2023-02-21,196.92029,173.41247,,,
2023-02-22,197.5264,175.44562,,,
2023-02-23,198.22542,177.4178,,,
2023-02-24,198.01843,178.85944,,,
2023-02-27,199.49713,180.99059,,,
2023-02-28,200.45296,182.82166,,,
2023-03-01,200.80943,184.29931,,,
2023-03-02,199.2849,184.78825,,,
2023-03-03,199.05492,185.75134,,,
2023-03-06,198.24801,186.34828,,,
2023-03-07,196.62678,186.44915,,,
2023-03-08,194.37651,186.11958,,,
2023-03-09,191.07551,185.14183,,,
2023-03-10,188.36235,184.27503,,,
2023-03-13,186.2266,183.54947,,,
2023-03-14,185.7702,183.52803,,,
2023-03-15,184.95171,183.30003,,,
2023-03-16,184.82529,183.36151,,,
2023-03-17,184.10294,183.12214,,,
2023-03-20,183.97172,183.13161,,,
2023-03-21,186.0653,184.20186,,,
2023-03-22,186.84756,184.71654,,,
2023-03-23,187.67409,185.27235,,,
2023-03-24,188.095,185.65292,,,
2023-03-27,188.66654,186.109,,,
2023-03-28,188.74707,186.33722,,,
2023-03-29,189.53675,186.89594,,,
2023-03-30,190.42033,187.51698,,,
2023-03-31,193.04182,188.99424,,,
2023-04-03,193.30769,189.42207,,,
2023-04-04,193.19574,189.65599,,,
2023-04-05,192.01486,189.34962,,,
2023-04-06,190.94488,189.03187,,,
2023-04-10,189.9549,188.69692,,,
2023-04-11,189.46799,188.55567,,,
2023-04-12,188.09445,187.96192,,,
2023-04-13,187.75684,187.80919,,,
2023-04-14,187.33271,187.6011,,,
2023-04-17,187.28768,187.55954,,,
2023-04-18,186.82958,187.31883,,,
2023-04-19,185.86964,186.8204,,,
2023-04-20,182.3497,185.05519,,,
2023-04-21,179.69282,183.57555,,,
2023-04-24,177.05546,182.0181,,,
2023-04-25,174.53462,180.43676,,,
2023-04-26,171.33699,178.45996,,,
2023-04-27,169.62207,177.10663,,,
2023-04-28,168.80483,176.15873,,,
2023-05-01,167.73178,175.09734,,,
2023-05-02,166.58997,174.00198,,,
2023-05-03,165.66997,173.00998,,,
2023-05-04,164.98228,172.13517,,,
2023-05-05,165.76347,171.98145,,,
2023-05-08,166.69063,171.96727,,,
2023-05-09,167.06899,171.75858,,,
2023-05-10,167.2953,171.52017,,,
2023-05-11,168.03141,171.56164,,,
2023-05-12,168.0235,171.29633,,,
2023-05-15,167.76604,170.92994,,,
2023-05-16,167.57434,170.60328,,,
2023-05-17,168.54136,170.84452,,,
2023-05-18,169.82577,171.29233,,,
2023-05-19,171.41257,171.94771,,,
2023-05-22,174.09833,173.20121,,,
2023-05-23,175.89397,174.13223,,,
2023-05-24,176.97182,174.78169,,,
2023-05-25,178.12539,175.49934,,,
2023-05-26,180.43995,176.80828,,,
2023-05-30,183.62765,178.61211,,,
2023-05-31,186.75109,180.48751,,,
2023-06-01,189.94631,182.48992,,,
2023-06-02,193.64226,184.82178,,,
2023-06-05,197.3296,187.25054,,,
2023-06-06,201.01889,189.77346,,,
2023-06-07,204.64214,192.35098,,,
2023-06-08,209.29104,195.4998,,,
2023-06-09,214.69242,199.12204,,,
2023-06-12,220.0982,202.87819,,,
2023-06-13,226.03848,207.01388,,,
2023-06-14,230.76948,210.701,,,
2023-06-15,234.63571,214.04907,,,
2023-06-16,238.62099,217.49284,,,
2023-06-20,244.13315,221.71189,,,
2023-06-21,246.49113,224.50805,,,
2023-06-22,249.27865,227.47856,,,
2023-06-23,250.40501,229.6357,,,
2023-06-26,248.96578,230.4812,,,
2023-06-27,249.1572,231.94259,,,
2023-06-28,250.24686,233.7424,,,
2023-06-29,251.36273,235.50222,,,
2023-06-30,252.96385,237.44798,,,
2023-07-03,257.09557,240.58665,,,
2023-07-05,261.00087,243.68986,,,
2023-07-06,263.39151,246.1232,,,
2023-07-07,265.08974,248.22,,,
2023-07-10,265.78516,249.80444,,,
2023-07-11,266.40129,251.28485,,,
2023-07-12,267.26109,252.81856,,,
2023-07-13,268.89785,254.67644,,,
2023-07-14,270.81818,256.65448,,,
2023-07-17,273.82769,259.15267,,,
2023-07-18,276.82958,261.68506,,,
2023-07-19,279.04964,263.8758,,,
2023-07-20,276.56508,263.80352,,,
2023-07-21,274.01968,263.52326,,,
2023-07-24,273.25665,263.93339,,,
2023-07-25,272.02947,264.03314,,,
2023-07-26,270.84801,264.05661,,,
2023-07-27,268.51909,263.43834,,,
2023-07-28,268.19923,263.66069,,,
2023-07-31,268.08089,263.9399,,,
2023-08-01,267.00229,263.72731,,,
2023-08-02,265.01886,263.01492,,,
2023-08-03,264.14211,262.74122,,,
2023-08-04,262.56025,262.08335,,,
2023-08-07,260.85098,261.29569,,,
2023-08-08,259.13544,260.43675,,,
2023-08-09,256.52845,259.08514,,,
2023-08-10,254.80715,258.06698,,,
2023-08-11,252.93682,256.92498,,,
2023-08-14,250.90962,255.6535,,,
2023-08-15,248.14814,253.9725,,,
2023-08-16,244.6792,251.87083,,,
2023-08-17,240.7624,249.45225,,,
2023-08-18,236.87434,246.93653,,,
2023-08-21,236.01367,245.77679,,,
2023-08-22,235.57926,244.84444,,,
2023-08-23,235.7763,244.253,,,
2023-08-24,234.89379,243.20019,,,
2023-08-25,235.46244,242.85869,,,
2023-08-28,235.97899,242.55953,,,
2023-08-29,239.24068,243.64253,,,
2023-08-30,241.9575,244.62456,,,
2023-08-31,244.43788,245.62126,,,
2023-09-01,244.5259,245.57598,,,
2023-09-05,246.36653,246.38443,,,
2023-09-06,247.22091,246.79447,,,
2023-09-07,247.87769,247.14229,,,
2023-09-08,247.97343,247.24286,,,
2023-09-11,251.9129,249.19376,,,
2023-09-12,254.30784,250.5483,,,
2023-09-13,256.92202,252.08546,,,
2023-09-14,259.86325,253.85987,,,
2023-09-15,262.09813,255.38062,,,
2023-09-18,262.58765,256.11391,,,
2023-09-19,263.18955,256.88325,,,
2023-09-20,263.09731,257.30597,,,
2023-09-21,261.95926,257.18701,,,
2023-09-22,259.33168,256.27538,,,
2023-09-25,257.43296,255.58757,,,
2023-09-26,255.38481,254.73812,,,
2023-09-27,253.09484,253.68344,,,
2023-09-28,252.06179,253.14244,,,
2023-09-29,251.77844,252.92596,,,
2023-10-02,251.75099,252.82774,,,
2023-10-03,250.94776,252.36124,,,
2023-10-04,252.51887,253.013,,,
2023-10-05,253.67751,253.53426,,,
2023-10-06,254.73174,254.05246,,,
2023-10-09,255.49147,254.46857,,,
2023-10-10,256.74201,255.14645,,,
2023-10-11,257.70324,255.72745,,,
2023-10-12,257.88274,255.96023,,,
2023-10-13,256.84232,255.60169,,,
2023-10-16,256.39273,255.47712,,,
2023-10-17,256.15539,255.43067,,,
2023-10-18,254.08225,254.48618,,,
2023-10-19,248.85575,251.9398,,,
2023-10-20,243.1841,248.98056,,,
2023-10-23,238.39885,246.24719,,,
2023-10-24,235.03287,244.04518,,,
2023-10-25,231.55397,241.70257,,,
2023-10-26,227.58567,239.04016,,,
2023-10-27,224.4648,236.68904,,,
2023-10-30,220.29483,233.77578,,,
2023-10-31,217.30178,231.33609,,,
2023-11-01,215.51074,229.43416,,,
2023-11-02,215.97216,228.62496,,,
2023-11-03,216.58567,227.98311,,,
2023-11-06,216.99864,227.33769,,,
2023-11-07,217.79577,226.95564,,,
2023-11-08,218.4595,226.5967,,,
2023-11-09,217.15496,225.36583,,,
2023-11-10,216.76958,224.57206,,,
2023-11-13,217.83734,224.5082,,,
2023-11-14,220.84852,225.46389,,,
2023-11-15,224.23182,226.75101,,,
2023-11-16,225.67154,227.2576,,,
2023-11-17,226.999,227.77926,,,
2023-11-20,228.32223,228.35857,,,
2023-11-21,230.30343,229.30979,,,
2023-11-22,230.90444,229.67277,,,
2023-11-24,231.60376,230.10071,,,
2023-11-27,232.29241,230.54362,,,
2023-11-28,234.51204,231.74187,,,
2023-11-29,235.99326,232.66025,,,
2023-11-30,236.62199,233.20986,,,
2023-12-01,236.96168,233.62617,,,
2023-12-04,236.74911,233.7709,,,
2023-12-05,237.05232,234.1375,,,
2023-12-06,237.40889,234.52509,,,
2023-12-07,238.21368,235.12619,,,
2023-12-08,239.07927,235.77166,,,
2023-12-11,239.18092,236.06561,,,
2023-12-12,238.84693,236.13556,,,
2023-12-13,238.91509,236.36922,,,
2023-12-14,240.782,237.45669,,,
2023-12-15,242.73862,238.64508,,,
2023-12-18,244.17576,239.64026,,,
2023-12-19,246.18257,240.94246,,,
2023-12-20,246.32987,241.40154,,,
2023-12-21,247.58681,242.3718,,,
2023-12-22,248.34884,243.125,,,
2023-12-26,249.61979,244.12389,,,
2023-12-27,251.43828,245.40656,,,
2023-12-28,251.70624,245.98237,,,
2023-12-29,251.2099,246.16738,,,
2024-01-02,250.78068,246.33424,4.44644,,
2024-01-03,248.88365,245.75022,3.13343,,
2024-01-04,247.19847,245.17094,2.02753,,
2024-01-05,245.70486,244.60198,1.10288,,
2024-01-08,244.89642,244.29443,0.60199,,
2024-01-09,243.36774,243.60299,-0.23525,,
2024-01-10,241.91732,242.88721,-0.96989,,
2024-01-11,239.65619,241.72668,-2.07049,,
2024-01-12,236.46139,240.03507,-3.57368,0.49588,-4.06956
2024-01-16,233.91502,238.54432,-4.6293,-0.52916,-4.10014
2024-01-17,231.08963,236.84104,-5.75141,-1.57361,-4.1778
2024-01-18,228.1343,234.99207,-6.85777,-2.63044,-4.22733
2024-01-19,225.68133,233.30303,-7.6217,-3.62869,-3.99301
2024-01-22,223.0842,231.48799,-8.40379,-4.58371,-3.82008
2024-01-23,220.93894,229.83258,-8.89364,-5.4457,-3.44794
2024-01-24,218.92218,228.20276,-9.28058,-6.21268,-3.0679
2024-01-25,213.33877,224.827,-11.48823,-7.26779,-4.22044
2024-01-26,208.70973,221.74722,-13.03749,-8.42173,-4.61576
2024-01-29,205.97439,219.46446,-13.49007,-9.4354,-4.05467
2024-01-30,203.76141,217.39969,-13.63828,-10.27598,-3.3623
2024-01-31,201.22735,215.16934,-13.94199,-11.00918,-2.93281
2024-02-01,199.32468,213.2205,-13.89582,-11.58651,-2.30931
2024-02-02,197.56858,211.34565,-13.77707,-12.02462,-1.75245
2024-02-05,195.0288,209.10227,-14.07347,-12.43439,-1.63908
2024-02-06,193.50129,207.32432,-13.82303,-12.71212,-1.11091
2024-02-07,192.59032,205.86178,-13.27146,-12.82399,-0.44747
2024-02-08,192.12412,204.65424,-12.53012,-12.76522,0.2351
2024-02-09,192.34656,203.83319,-11.48663,-12.5095,1.02287
2024-02-12,191.69786,202.66999,-10.97213,-12.20203,1.2299
2024-02-13,190.51665,201.28851,-10.77186,-11.916,1.14414
2024-02-14,190.2387,200.35677,-10.11807,-11.55641,1.43834
2024-02-15,191.80967,200.36368,-8.55401,-10.95593,2.40192
2024-02-16,193.06203,200.33304,-7.27101,-10.21895,2.94794
2024-02-20,193.16941,199.84615,-6.67674,-9.51051,2.83377
2024-02-21,193.41565,199.47014,-6.05449,-8.81931,2.76482
2024-02-22,194.03017,199.31754,-5.28737,-8.11292,2.82555
2024-02-23,193.71322,198.77328,-5.06006,-7.50235,2.44229
2024-02-26,194.58811,198.8197,-4.23159,-6.8482,2.61661
2024-02-27,195.37917,198.88713,-3.50796,-6.18015,2.67219
2024-02-28,196.40391,199.12068,-2.71677,-5.48747,2.7707
2024-02-29,197.24639,199.32507,-2.07868,-4.80571,2.72703
2024-03-01,198.07618,199.57062,-1.49444,-4.14346,2.64902
2024-03-04,196.54754,198.72391,-2.17637,-3.75004,1.57367
2024-03-05,194.11561,197.39177,-3.27616,-3.65526,0.3791
2024-03-06,191.41167,195.84719,-4.43552,-3.81131,-0.62421
2024-03-07,189.44834,194.57332,-5.12498,-4.07404,-1.05094
2024-03-08,187.27783,193.14863,-5.8708,-4.43339,-1.43741
2024-03-11,185.81509,192.00947,-6.19438,-4.78559,-1.40879
2024-03-12,184.542,190.93766,-6.39566,-5.1076,-1.28806
2024-03-13,182.22477,189.3482,-7.12343,-5.51077,-1.61266
2024-03-14,179.19019,187.35944,-8.16925,-6.04247,-2.12678
2024-03-15,176.78708,185.59726,-8.81018,-6.59601,-2.21417
2024-03-18,176.32753,184.72339,-8.39586,-6.95598,-1.43988
2024-03-19,175.55714,183.73055,-8.17341,-7.19947,-0.97394
2024-03-20,175.57296,183.13273,-7.55977,-7.27153,-0.28824
2024-03-21,175.14943,182.36882,-7.21939,-7.2611,0.04171
2024-03-22,174.4849,181.51409,-7.02919,-7.21472,0.18553
2024-03-25,174.19953,180.85601,-6.65648,-7.10307,0.44659
2024-03-26,174.73345,180.62001,-5.88656,-6.85977,0.97321
2024-03-27,175.51753,180.56149,-5.04396,-6.49661,1.45265
2024-03-28,175.55945,180.20805,-4.6486,-6.12701,1.47841
2024-04-01,175.50723,179.83856,-4.33133,-5.76787,1.43654
2024-04-02,174.1415,178.86015,-4.71865,-5.55803,0.83938
2024-04-03,173.25512,178.08384,-4.82872,-5.41217,0.58345
2024-04-04,172.9251,177.56726,-4.64216,-5.25817,0.61601
2024-04-05,171.69047,176.62894,-4.93847,-5.19423,0.25576
2024-04-08,171.88886,176.35865,-4.46979,-5.04934,0.57955
2024-04-09,172.65673,176.39727,-3.74054,-4.78758,1.04704
2024-04-10,172.51877,176.05377,-3.535,-4.53706,1.00206
2024-04-11,172.83896,175.94608,-3.10712,-4.25107,1.14395
2024-04-12,172.56374,175.58341,-3.01967,-4.00479,0.98512
2024-04-15,170.85855,174.53871,-3.68016,-3.93986,0.2597
2024-04-16,168.74339,173.24769,-4.5043,-4.05275,-0.45155
2024-04-17,166.69825,171.92934,-5.23109,-4.28842,-0.94267
2024-04-18,164.11852,170.29976,-6.18124,-4.66698,-1.51426
2024-04-19,161.49259,168.57756,-7.08497,-5.15058,-1.93439
2024-04-22,158.50142,166.61256,-8.11114,-5.74269,-2.36845
2024-04-23,156.37505,164.98793,-8.61288,-6.31673,-2.29615
2024-04-24,157.26043,164.77623,-7.5158,-6.55654,-0.95926
2024-04-25,159.24806,165.17651,-5.92845,-6.43092,0.50247
2024-04-26,160.63913,165.40714,-4.76801,-6.09834,1.33033
2024-04-29,165.77926,167.52883,-1.74957,-5.22859,3.47902
2024-04-30,168.47168,168.69558,-0.2239,-4.22765,4.00375
2024-05-01,170.24373,169.5322,0.71153,-3.23981,3.95134
2024-05-02,171.74623,170.30833,1.4379,-2.30427,3.74217
2024-05-03,173.19912,171.11438,2.08474,-1.42647,3.51121
2024-05-06,174.97772,172.12517,2.85255,-0.57067,3.42322
2024-05-07,175.41346,172.54627,2.86719,0.1169,2.75029
2024-05-08,175.30677,172.70729,2.59948,0.61342,1.98606
2024-05-09,174.79342,172.65268,2.14074,0.91888,1.22186
