Date,EMA(12),EMA(26),MACD,Signal,Histogram
2023-01-19,131.2525,,,,
2023-01-20,132.27058,,,,
2023-01-23,133.63049,,,,
2023-01-24,134.99965,,,,
2023-01-25,136.05509,,,,
2023-01-26,137.27123,,,,
2023-01-27,138.60335,,,,
2023-01-30,139.27976,,,,
2023-01-31,140.05057,,,,
2023-02-01,140.87817,,,,
2023-02-02,142.40768,,,,
2023-02-03,144.26804,,,,
2023-02-06,145.41603,,,,
2023-02-07,146.83664,,,,
2023-02-08,147.6187,139.40885,,,
2023-02-09,148.1189,140.25782,,,
2023-02-10,148.56368,141.05428,,,
2023-02-13,149.37696,142.00211,,,
2023-02-14,149.96512,142.83158,,,
2023-02-15,150.79049,143.75739,,,
2023-02-16,151.23965,144.49462,,,
2023-02-17,151.44124,145.09131,,,
2023-02-21,150.98566,145.34232,,,
2023-02-22,150.66633,145.60659,,,
2023-02-23,150.47151,145.88758,,,
2023-02-24,149.89282,145.9485,,,
2023-02-27,149.58931,146.09454,,,
2023-02-28,149.25403,146.19198,,,
2023-03-01,148.64726,146.12665,,,
2023-03-02,148.22614,146.1106,,,
2023-03-03,148.6575,146.475,,,
2023-03-06,149.45327,147.01981,,,
2023-03-07,149.78354,147.35908,,,
2023-03-08,150.25838,147.7673,,,
2023-03-09,150.3094,147.97639,,,
2023-03-10,150.03103,148.01518,,,
2023-03-13,150.09856,148.19702,,,
2023-03-14,150.48186,148.52243,,,
2023-03-15,150.86773,148.85336,,,
2023-03-16,151.63423,149.37163,,,
2023-03-17,152.15204,149.78855,,,
2023-03-20,152.95942,150.35236,,,
2023-03-21,153.93182,151.01367,,,
2023-03-22,154.53154,151.51858,,,
2023-03-23,155.20823,152.06757,,,
2023-03-24,155.98389,152.67368,,,
2023-03-27,156.33714,153.08896,,,
2023-03-28,156.53912,153.42681,,,
2023-03-29,157.19002,153.97075,,,
2023-03-30,157.9854,154.59218,,,
2023-03-31,159.04918,155.35572,,,
2023-04-03,160.14469,156.15678,,,
2023-04-04,160.98858,156.8585,,,
2023-04-05,161.41495,157.36972,,,
2023-04-06,161.91419,157.90974,,,
2023-04-10,161.93201,158.21494,,,
2023-04-11,161.75785,158.40643,,,
2023-04-12,161.5028,158.53188,,,
2023-04-13,162.12698,159.05248,,,
2023-04-14,162.60129,159.50859,,,
2023-04-17,163.00571,159.9324,,,
2023-04-18,163.53868,160.41667,,,
2023-04-19,164.16811,160.95099,,,
2023-04-20,164.54994,161.37314,,,
2023-04-21,164.62226,161.64328,,,
2023-04-24,164.73114,161.91637,,,
2023-04-25,164.58327,162.05368,,,
2023-04-26,164.45661,162.18007,,,
2023-04-27,165.06482,162.64155,,,
2023-04-28,165.77485,163.16292,,,
2023-05-01,166.3618,163.639,,,
2023-05-02,166.69691,164.00204,,,
2023-05-03,166.81277,164.25744,,,
2023-05-04,166.65542,164.37096,,,
2023-05-05,167.7192,165.05237,,,
2023-05-08,168.60855,165.67812,,,
2023-05-09,169.09493,166.12937,,,
