Date,EMA(12),EMA(26),MACD,Signal,Histogram
2023-01-19,67.57917,,,,
2023-01-20,67.96237,,,,
2023-01-23,69.28047,,,,
2023-01-24,70.11424,,,,
2023-01-25,70.85205,,,,
2023-01-26,71.51481,,,,
2023-01-27,72.11253,,,,
2023-01-30,72.16445,,,,
2023-01-31,72.62377,,,,
2023-02-01,74.47242,,,,
2023-02-02,76.60128,,,,
2023-02-03,78.06108,,,,
2023-02-06,78.92553,,,,
2023-02-07,80.00006,,,,
2023-02-08,80.72159,73.79385,,,
2023-02-09,81.10442,74.49134,,,
2023-02-10,81.1622,75.00902,,,
2023-02-13,81.46494,75.61057,,,
2023-02-14,82.15495,76.37645,,,
2023-02-15,82.62034,77.02856,,,
2023-02-16,82.22952,77.25459,,,
2023-02-17,81.65575,77.34684,,,
2023-02-21,80.9041,77.30411,,,
2023-02-22,80.24347,77.25269,,,
2023-02-23,80.16755,77.43768,,,
2023-02-24,79.84793,77.486,,,
2023-02-27,79.68209,77.58111,,,
2023-02-28,79.51254,77.6551,,,
2023-03-01,79.32446,77.70213,,,
2023-03-02,79.49608,77.90494,,,
2023-03-03,79.80745,78.17272,,,
2023-03-06,80.01553,78.394,,,
2023-03-07,80.33776,78.66926,,,
2023-03-08,81.11195,79.16561,,,
2023-03-09,81.56088,79.52594,,,
2023-03-10,81.73151,79.75883,,,
2023-03-13,81.77435,79.92558,,,
2023-03-14,82.64753,80.48294,,,
2023-03-15,83.72945,81.1642,,,
2023-03-16,85.70953,82.30759,,,
2023-03-17,87.57576,83.45814,,,
2023-03-20,88.99641,84.44717,,,
2023-03-21,90.06312,85.29775,,,
2023-03-22,91.21956,86.20755,,,
2023-03-23,92.61347,87.24995,,,
2023-03-24,93.43447,88.04255,,,
2023-03-27,93.92301,88.67718,,,
2023-03-28,94.02101,89.11294,,,
2023-03-29,94.33932,89.62976,,,
2023-03-30,94.88404,90.24089,,,
2023-03-31,95.36496,90.81638,,,
2023-04-03,95.54881,91.24183,,,
2023-04-04,95.59822,91.58466,,,
2023-04-05,95.1308,91.65691,,,
2023-04-06,94.72145,91.71714,,,
2023-04-10,94.83815,91.99587,,,
2023-04-11,94.71382,92.14655,,,
2023-04-12,94.34708,92.16014,,,
2023-04-13,93.99984,92.15494,,,
2023-04-14,93.65371,92.12494,,,
2023-04-17,93.0716,91.95791,,,
2023-04-18,92.5652,91.79658,,,
2023-04-19,92.16132,91.65906,,,
2023-04-20,91.84573,91.54431,,,
2023-04-21,91.32023,91.31362,,,
2023-04-24,90.74327,91.03631,,,
2023-04-25,89.67507,90.50029,,,
2023-04-26,89.10044,90.16249,,,
2023-04-27,88.84499,89.96082,,,
2023-04-28,88.92576,89.91706,,,
2023-05-01,89.04334,89.90024,,,
2023-05-02,89.17667,89.90096,,,
2023-05-03,88.01411,89.28756,,,
2023-05-04,87.79809,89.08922,,,
2023-05-05,88.11223,89.14483,,,
2023-05-08,89.17804,89.58151,,,
2023-05-09,90.08296,89.98732,,,
2023-05-10,91.1502,90.50826,,,
2023-05-11,92.06555,90.99654,,,
2023-05-12,92.557,91.31235,,,
2023-05-15,93.30208,91.76329,,,
2023-05-16,94.56022,92.48305,,,
2023-05-17,95.97403,93.31764,,,
2023-05-18,97.81341,94.40004,,,
2023-05-19,99.04519,95.24596,,,
2023-05-22,100.42285,96.1907,,,
2023-05-23,101.60703,97.07435,,,
2023-05-24,102.6321,97.90366,,,
2023-05-25,105.35793,99.56635,,,
2023-05-26,108.69209,101.60069,,,
2023-05-30,111.24254,103.35397,,,
2023-05-31,112.31446,104.45442,,,
2023-06-01,113.41531,105.56669,,,
2023-06-02,114.09911,106.47731,,,
2023-06-05,114.68848,107.32566,,,
2023-06-06,116.15641,108.57783,,,
2023-06-07,116.41389,109.26318,,,
2023-06-08,117.12714,110.13628,,,
2023-06-09,118.32604,111.23137,,,
2023-06-12,119.99742,112.56164,,,
2023-06-13,120.69474,113.44819,,,
2023-06-14,121.71555,114.47647,,,
2023-06-15,122.10393,115.19969,,,
2023-06-16,121.79256,115.56119,,,
2023-06-20,121.35217,115.81073,,,
2023-06-21,119.9303,115.5366,,,
2023-06-22,118.51025,115.17833,,,
2023-06-23,117.20252,114.79549,,,
2023-06-26,115.71136,114.25582,,,
2023-06-27,114.89269,113.96946,,,
2023-06-28,114.16612,113.68802,,,
2023-06-29,113.71595,113.50669,,,
2023-06-30,113.7458,113.53656,,,
2023-07-03,114.06491,113.7057,,,
2023-07-05,114.04723,113.7238,,,
2023-07-06,113.95996,113.70574,,,
2023-07-07,113.83843,113.66606,,,
2023-07-10,113.79867,113.65969,,,
2023-07-11,113.41734,113.48638,,,
2023-07-12,113.59621,113.56739,,,
2023-07-13,113.95372,113.74166,,,
2023-07-14,114.2593,113.9045,,,
2023-07-17,114.88402,114.23157,,,
2023-07-18,115.35263,114.50553,,,
2023-07-19,115.51838,114.64808,,,
2023-07-20,114.70786,114.3223,,,
2023-07-21,114.12973,114.0725,,,
2023-07-24,113.58823,113.81602,,,
2023-07-25,113.49773,113.75557,,,
2023-07-26,112.97346,113.48405,,,
2023-07-27,112.68524,113.30745,,,
2023-07-28,112.72751,113.28171,,,
2023-07-31,112.98482,113.36455,,,
2023-08-01,113.69485,113.67829,,,
2023-08-02,113.02641,113.35768,,,
2023-08-03,113.04542,113.3423,,,
2023-08-04,113.47228,113.52583,,,
2023-08-07,113.98578,113.7691,,,
2023-08-08,113.86951,113.72917,,,
2023-08-09,113.34651,113.48775,,,
2023-08-10,112.86705,113.24644,,,
2023-08-11,112.05212,112.82596,,,
2023-08-14,112.04102,112.7633,,,
2023-08-15,111.93471,112.65861,,,
2023-08-16,111.20475,112.25353,,,
2023-08-17,110.16402,111.67475,,,
2023-08-18,109.43879,111.21366,,,
2023-08-21,109.25128,110.99191,,,
2023-08-22,108.69878,110.59695,,,
2023-08-23,108.81128,110.51051,,,
2023-08-24,107.73262,109.86529,,,
2023-08-25,106.88914,109.30119,,,
2023-08-28,106.23081,108.80555,,,
2023-08-29,106.18299,108.59181,,,
2023-08-30,106.24561,108.44353,,,
2023-08-31,106.16475,108.24179,,,
2023-09-01,106.67017,108.33129,,,
2023-09-05,107.30245,108.51268,,,
2023-09-06,107.60669,108.56952,,,
2023-09-07,107.45028,108.42289,,,
2023-09-08,107.24101,108.25008,,,
2023-09-11,106.94547,108.03304,,,
2023-09-12,106.69386,107.83133,,,
2023-09-13,106.85019,107.82234,,,
2023-09-14,106.81631,107.73402,,,
2023-09-15,105.99688,107.2715,,,
2023-09-18,105.4389,106.90843,,,
2023-09-19,104.84984,106.51595,,,
2023-09-20,104.15602,106.05847,,,
2023-09-21,102.91817,105.32155,,,
2023-09-22,101.88461,104.64588,,,
2023-09-25,101.19159,104.10767,,,
2023-09-26,100.38673,103.50414,,,
2023-09-27,100.03031,103.10161,,,
2023-09-28,100.45026,103.07631,,,
2023-09-29,100.81484,103.05732,,,
2023-10-02,101.19256,103.07307,,,
2023-10-03,101.0214,102.85136,,,
2023-10-04,101.49042,102.94163,,,
2023-10-05,101.70882,102.93929,,,
2023-10-06,102.55977,103.25786,,,
2023-10-09,103.23827,103.53283,,,
2023-10-10,104.12623,103.93855,,,
2023-10-11,104.76989,104.26236,,,
2023-10-12,105.38837,104.59774,,,
2023-10-13,105.34247,104.6342,,,
2023-10-16,105.5144,104.76944,,,
2023-10-17,105.4568,104.79689,,,
2023-10-18,104.95114,104.60231,,,
2023-10-19,104.55866,104.43918,,,
2023-10-20,104.13579,104.24443,,,
2023-10-23,103.50105,103.93077,,,
2023-10-24,103.21935,103.76331,,,
2023-10-25,102.11791,103.19269,,,
2023-10-26,100.81823,102.48731,,,
2023-10-27,100.14312,102.03862,,,
2023-10-30,99.53341,101.60465,,,
2023-10-31,99.37442,101.37468,,,
2023-11-01,100.70759,101.86841,,,
2023-11-02,101.80335,102.31001,,,
2023-11-03,103.41053,103.04631,,,
2023-11-06,104.69353,103.69103,,,
2023-11-07,106.04068,104.41392,,,
2023-11-08,107.20211,105.09363,,,
2023-11-09,108.16948,105.71558,,,
2023-11-10,109.77264,106.66924,,,
2023-11-13,110.85223,107.41893,,,
2023-11-14,112.24112,108.34197,,,
2023-11-15,113.1271,109.05738,,,
2023-11-16,114.15832,109.85535,,,
2023-11-17,115.15242,110.65273,,,
2023-11-20,116.13359,111.45845,,,
2023-11-21,116.59919,112.02894,,,
2023-11-22,117.50855,112.80531,,,
2023-11-24,118.24723,113.50936,,,
2023-11-27,118.92458,114.18644,,,
2023-11-28,119.39926,114.76596,,,
2023-11-29,120.08399,115.43885,,,
2023-11-30,120.24953,115.86264,,,
2023-12-01,120.42499,116.27207,,,
2023-12-04,120.13961,116.44229,,,
2023-12-05,119.8689,116.58582,,,
2023-12-06,119.39984,116.60317,,,
2023-12-07,120.77986,117.47479,,,
2023-12-08,122.03219,118.32258,,,
2023-12-11,123.93647,119.51424,,,
2023-12-12,126.04009,120.85467,,,
2023-12-13,127.90931,122.13877,,,
2023-12-14,129.46172,123.31368,,,
2023-12-15,130.95222,124.48674,,,
2023-12-18,132.17496,125.55439,,,
2023-12-19,133.40189,126.63555,,,
2023-12-20,133.72006,127.28995,,,
2023-12-21,134.67236,128.22477,,,
2023-12-22,135.43046,129.06738,,,
2023-12-26,136.65808,130.1298,,,
2023-12-27,138.10607,131.31056,,,
2023-12-28,139.74514,132.60311,,,
2023-12-29,140.92435,133.69992,,,
2024-01-02,140.56368,134.06141,6.50227,,
2024-01-03,139.75696,134.15464,5.60232,,
2024-01-04,139.1805,134.29207,4.88843,,
2024-01-05,139.08812,134.60969,4.47843,,
2024-01-08,140.17918,135.46675,4.71243,,
2024-01-09,141.57623,136.48847,5.08776,,
2024-01-10,142.64758,137.38118,5.2664,,
2024-01-11,143.47411,138.16924,5.30487,,
2024-01-12,143.94886,138.79078,5.15808,5.22233,-0.06425
2024-01-16,146.22442,140.2685,5.95592,5.36905,0.58687
2024-01-17,148.36989,141.74269,6.6272,5.62068,1.00652
2024-01-18,150.56991,143.29286,7.27705,5.95195,1.3251
2024-01-19,154.20992,145.5845,8.62542,6.48664,2.13878
