Date,EMA(12),EMA(26),MACD,Signal,Histogram
2023-01-19,90.92167,,,,
2023-01-20,91.89526,,,,
2023-01-23,92.7606,,,,
2023-01-24,93.3082,,,,
2023-01-25,93.90386,,,,
2023-01-26,94.72173,,,,
2023-01-27,95.87839,,,,
2023-01-30,96.5971,,,,
2023-01-31,97.60216,,,,
2023-02-01,98.76337,,,,
2023-02-02,100.93977,,,,
2023-02-03,101.31673,,,,
2023-02-06,101.44954,,,,
2023-02-07,101.55115,,,,
2023-02-08,101.3202,96.54846,,,
2023-02-09,100.84632,96.67376,,,
2023-02-10,100.34842,96.74311,,,
2023-02-13,100.22405,96.95029,,,
2023-02-14,100.14343,97.15397,,,
2023-02-15,100.29983,97.45071,,,
2023-02-16,99.96909,97.50251,,,
2023-02-17,99.54308,97.4801,,,
2023-02-21,98.77953,97.26528,,,
2023-02-22,98.3196,97.156,,,
2023-02-23,97.93505,97.05704,,,
2023-02-24,97.25273,96.79356,,,
2023-02-27,96.71539,96.56885,,,
2023-02-28,96.33302,96.3956,,,
2023-03-01,95.69256,96.08259,,,
2023-03-02,95.14447,95.78981,,,
2023-03-03,95.10686,95.7239,,,
2023-03-06,94.89811,95.57769,,,
2023-03-07,94.69071,95.42749,,,
2023-03-08,94.57214,95.31582,,,
2023-03-09,94.21489,95.08872,,,
2023-03-10,93.67875,94.76585,,,
2023-03-13,93.48663,94.59282,,,
2023-03-14,93.70099,94.61409,,,
2023-03-15,94.08545,94.73156,,,
2023-03-16,95.00153,95.12478,,,
2023-03-17,95.60899,95.40813,,,
2023-03-20,95.93222,95.57864,,,
2023-03-21,96.65188,95.95133,,,
2023-03-22,96.96698,96.15494,,,
2023-03-23,97.23514,96.3442,,,
2023-03-24,97.37281,96.47648,,,
2023-03-27,97.47545,96.5923,,,
2023-03-28,97.43923,96.64028,,,
2023-03-29,97.87166,96.90767,,,
2023-03-30,98.50679,97.28488,,,
2023-03-31,99.24267,97.7297,,,
2023-04-03,99.72995,98.07639,,,
2023-04-04,100.37919,98.51147,,,
2023-04-05,100.49008,98.70321,,,
2023-04-06,100.73161,98.95186,,,
2023-04-10,100.9529,99.19024,,,
2023-04-11,100.79399,99.2443,,,
2023-04-12,100.33799,99.13954,,,
2023-04-13,100.65522,99.38106,,,
2023-04-14,100.94057,99.61283,,,
2023-04-17,101.21741,99.84447,,,
2023-04-18,101.38396,100.02636,,,
2023-04-19,101.83258,100.34293,,,
2023-04-20,102.1368,100.59975,,,
2023-04-21,102.87883,101.07088,,,
2023-04-24,103.39132,101.45156,,,
2023-04-25,103.26496,101.53441,,,
2023-04-26,103.52881,101.78964,,,
2023-04-27,104.49669,102.38448,,,
2023-04-28,104.64335,102.61156,,,
2023-05-01,104.24437,102.56996,,,
2023-05-02,104.14985,102.64848,,,
2023-05-03,104.07295,102.72267,,,
2023-05-04,104.06173,102.81729,,,
2023-05-05,104.30762,103.02786,,,
2023-05-08,104.54183,103.23543,,,
2023-05-09,104.86155,103.48614,,,
2023-05-10,105.68131,103.98272,,,
2023-05-11,106.68111,104.58993,,,
2023-05-12,107.23171,105.00994,,,
2023-05-15,107.84222,105.46846,,,
2023-05-16,108.69726,106.05598,,,
2023-05-17,109.74384,106.75554,,,
2023-05-18,111.0371,107.59957,,,
2023-05-19,111.83908,108.24034,,,
2023-05-22,112.32691,108.7418,,,
2023-05-23,112.73662,109.20463,,,
2023-05-24,113.35406,109.76355,,,
2023-05-25,113.60728,110.15144,,,
2023-05-26,114.6077,110.88911,,,
2023-05-30,115.69267,111.68695,,,
2023-05-31,116.44457,112.34569,,,
2023-06-01,117.41771,113.11786,,,
2023-06-02,118.46883,113.94246,,,
2023-06-05,119.51978,114.78376,,,
2023-06-06,120.61058,115.65978,,,
2023-06-07,120.70588,116.07239,,,
2023-06-08,121.25113,116.67814,,,
2023-06-09,121.58634,117.17828,,,
2023-06-12,122.35306,117.87396,,,
2023-06-13,123.01567,118.52478,,,
2023-06-14,123.53941,119.10961,,,
2023-06-15,124.08873,119.70223,,,
2023-06-16,124.30431,120.13095,,,
2023-06-20,124.53134,120.5494,,,
2023-06-21,124.57729,120.86648,,,
2023-06-22,125.43463,121.55415,,,
2023-06-23,126.03392,122.13014,,,
2023-06-26,126.23332,122.51531,,,
2023-06-27,126.68666,123.00899,,,
2023-06-28,127.04871,123.45573,,,
2023-06-29,127.17968,123.78494,,,
2023-06-30,127.66896,124.27198,,,
2023-07-03,128.06143,124.71257,,,
2023-07-05,128.41813,125.13238,,,
2023-07-06,128.40919,125.37146,,,
2023-07-07,128.62008,125.69802,,,
2023-07-10,128.39084,125.80409,,,
2023-07-11,128.45071,126.02453,,,
2023-07-12,128.81214,126.37827,,,
2023-07-13,129.65643,126.96506,,,
2023-07-14,130.42929,127.53654,,,
2023-07-17,130.91094,127.98272,,,
2023-07-18,131.20618,128.34178,,,
2023-07-19,131.84523,128.86165,,,
2023-07-20,131.55519,128.94301,,,
2023-07-21,131.31593,129.02131,,,
2023-07-24,130.92886,129.00492,,,
2023-07-25,130.65211,129.01419,,,
2023-07-26,130.26717,128.95018,,,
2023-07-27,129.95684,128.89831,,,
2023-07-28,130.30348,129.14362,,,
2023-07-31,130.82294,129.47965,,,
2023-08-01,130.95633,129.64338,,,
2023-08-02,130.53382,129.5372,,,
2023-08-03,130.284,129.49074,,,
2023-08-04,131.71262,130.23735,,,
2023-08-07,133.32914,131.12495,,,
2023-08-08,134.3462,131.77792,,,
2023-08-09,134.88525,132.2277,,,
2023-08-10,135.4506,132.69676,,,
2023-08-11,135.90589,133.11996,,,
2023-08-14,136.62345,133.67181,,,
2023-08-15,136.78446,133.96797,,,
2023-08-16,136.5207,134.0496,,,
2023-08-17,136.12982,134.04444,,,
2023-08-18,135.68216,133.98337,,,
2023-08-21,135.52798,134.03497,,,
2023-08-22,135.33137,134.0509,,,
2023-08-23,135.36039,134.15972,,,
2023-08-24,134.81879,133.98789,,,
2023-08-25,134.57898,133.93397,,,
2023-08-28,134.3576,133.87516,,,
2023-08-29,134.44258,133.95181,,,
2023-08-30,134.53911,134.03464,,,
2023-08-31,135.07309,134.32911,,,
2023-09-01,135.54185,134.60992,,,
2023-09-05,135.80772,134.80696,,,
2023-09-06,135.73884,134.84793,,,
2023-09-07,136.06363,135.07031,,,
2023-09-08,136.39692,135.30436,,,
2023-09-11,137.42816,135.88181,,,
2023-09-12,138.01306,136.27797,,,
2023-09-13,139.0649,136.91294,,,
2023-09-14,139.93492,137.49124,,,
2023-09-15,140.00493,137.70596,,,
2023-09-18,140.00109,137.87441,,,
2023-09-19,139.63631,137.85631,,,
2023-09-20,138.96765,137.66621,,,
2023-09-21,137.48493,137.04871,,,
2023-09-22,136.19802,136.4614,,,
2023-09-25,135.43986,136.07685,,,
2023-09-26,133.9845,135.32894,,,
2023-09-27,132.75304,134.63643,,,
2023-09-28,131.71103,133.99521,,,
2023-09-29,131.00472,133.48594,,,
2023-10-02,130.76707,133.18772,,,
2023-10-03,129.83675,132.56048,,,
2023-10-04,129.40033,132.14859,,,
2023-10-05,128.87105,131.69018,,,
2023-10-06,128.73089,131.41387,,,
2023-10-09,128.65845,131.18025,,,
2023-10-10,128.78484,131.05431,,,
2023-10-11,129.25333,131.11177,,,
2023-10-12,129.72666,131.20201,,,
2023-10-13,129.7364,131.09742,,,
2023-10-16,130.16926,131.20502,,,
2023-10-17,130.36937,131.22465,,,
2023-10-18,130.02485,130.99542,,,
2023-10-19,129.77487,130.80317,,,
2023-10-20,129.06643,130.3859,,,
2023-10-23,128.68083,130.1025,,,
2023-10-24,128.66224,129.98824,,,
2023-10-25,127.54343,129.35133,,,
2023-10-26,126.31675,128.62679,,,
2023-10-27,126.53571,128.5611,,,
2023-10-30,127.4856,128.86843,,,
2023-10-31,128.34782,129.18114,,,
2023-11-01,129.67892,129.76031,,,
2023-11-02,130.96986,130.37584,,,
2023-11-03,132.14373,130.98504,,,
2023-11-06,133.31239,131.63356,,,
2023-11-07,134.75818,132.45404,,,
2023-11-08,135.88461,133.16707,,,
2023-11-09,136.61005,133.71766,,,
2023-11-10,137.67927,134.44672,,,
2023-11-13,138.43477,135.04993,,,
2023-11-14,139.56788,135.84623,,,
2023-11-15,140.12667,136.39095,,,
2023-11-16,140.54257,136.86792,,,
2023-11-17,141.25602,137.48363,,,
2023-11-20,142.00586,138.1241,,,
2023-11-21,142.29727,138.55194,,,
2023-11-22,142.97615,139.15624,,,
2023-11-24,143.5552,139.718,,,
2023-11-27,144.19748,140.31148,,,
2023-11-28,144.63325,140.80915,,,
2023-11-29,144.89275,141.21736,,,
2023-11-30,145.07694,141.5783,,,
2023-12-01,145.37741,141.98213,,,
2023-12-04,145.29473,142.19382,,,
2023-12-05,145.53862,142.54094,,,
2023-12-06,145.38191,142.68754,,,
2023-12-07,145.61239,142.99809,,,
2023-12-08,145.89048,143.32564,,,
2023-12-11,145.89041,143.51559,,,
2023-12-12,146.13496,143.80925,,,
2023-12-13,146.55112,144.1819,,,
2023-12-14,146.68479,144.42176,,,
2023-12-15,147.19021,144.83274,,,
2023-12-18,148.24864,145.51698,,,
2023-12-19,149.10116,146.1298,,,
2023-12-20,149.5656,146.57352,,,
2023-12-21,150.2232,147.11178,,,
2023-12-22,150.71502,147.57906,,,
2023-12-26,151.12963,148.01098,,,
2023-12-27,151.46969,148.40572,,,
2023-12-28,151.76358,148.77419,,,
2023-12-29,151.79072,149.00869,,,
2024-01-02,151.50446,149.07694,2.42752,,
2024-01-03,151.03762,149.03198,2.00564,,
2024-01-04,150.0426,148.70146,1.34114,,
2024-01-05,149.30374,148.44506,0.85868,,
2024-01-08,149.2724,148.49357,0.77883,,
2024-01-09,149.59511,148.70664,0.88847,,
2024-01-10,150.23125,149.07874,1.15251,,
2024-01-11,150.9926,149.53069,1.46191,,
2024-01-12,151.55066,149.90768,1.64298,1.3953,0.24768
2024-01-16,151.79825,150.14859,1.64966,1.44617,0.20349
2024-01-17,151.78467,150.26425,1.52042,1.46102,0.0594
2024-01-18,152.04857,150.50394,1.54463,1.47774,0.06689
2024-01-19,152.55494,150.86217,1.69277,1.52075,0.17202
2024-01-22,152.89726,151.15238,1.74488,1.56558,0.1793
2024-01-23,153.37768,151.51294,1.86474,1.62541,0.23933
2024-01-24,153.91496,151.90976,2.0052,1.70137,0.30383
2024-01-25,154.50497,152.34237,2.1626,1.79362,0.36898
2024-01-26,155.21497,152.84442,2.37055,1.90901,0.46154
2024-01-29,156.14497,153.4678,2.67717,2.06264,0.61453
2024-01-30,156.58421,153.87759,2.70662,2.19144,0.51518
2024-01-31,156.37125,153.97555,2.3957,2.23229,0.16341
2024-02-01,156.81875,154.36847,2.45028,2.27589,0.17439
2024-02-02,159.1251,155.66044,3.46466,2.51364,0.95102
2024-02-05,160.84585,156.74559,4.10026,2.83096,1.2693
2024-02-06,162.12341,157.66444,4.45897,3.15656,1.30241
2024-02-07,163.41673,158.61744,4.79929,3.48511,1.31418
2024-02-08,164.40493,159.44874,4.95619,3.77933,1.17686
2024-02-09,165.95033,160.55994,5.39039,4.10154,1.28885
2024-02-12,166.93336,161.43254,5.50082,4.3814,1.11942
2024-02-13,167.19592,161.96643,5.22949,4.55102,0.67847
2024-02-14,167.77809,162.6341,5.14399,4.66961,0.47438
2024-02-15,168.08915,163.16491,4.92424,4.72054,0.2037
