Date,EMA(12),EMA(26),MACD,Signal,Histogram
2023-01-19,57.205,,,,
2023-01-20,57.18577,,,,
2023-01-23,57.33565,,,,
2023-01-24,57.51478,,,,
2023-01-25,57.67712,,,,
2023-01-26,58.01295,,,,
2023-01-27,58.18019,,,,
2023-01-30,58.17555,,,,
2023-01-31,58.22547,,,,
2023-02-01,58.54155,,,,
2023-02-02,58.85516,,,,
2023-02-03,58.99437,,,,
2023-02-06,59.16908,,,,
2023-02-07,59.51999,,,,
2023-02-08,59.61999,58.33654,,,
2023-02-09,59.66922,58.45531,,,
2023-02-10,59.61703,58.5201,,,
2023-02-13,59.69287,58.63787,,,
2023-02-14,59.77551,58.75581,,,
2023-02-15,59.92851,58.90501,,,
2023-02-16,59.9472,58.98982,,,
2023-02-17,59.88763,59.03206,,,
2023-02-21,59.6203,58.96672,,,
2023-02-22,59.31256,58.86696,,,
2023-02-23,59.16909,58.83089,,,
2023-02-24,58.95538,58.75305,,,
2023-02-27,58.89301,58.73801,,,
2023-02-28,58.97562,58.78927,,,
2023-03-01,59.03476,58.83155,,,
2023-03-02,59.16326,58.90847,,,
2023-03-03,59.7966,59.23229,,,
2023-03-06,60.33405,59.53286,,,
2023-03-07,60.67035,59.75413,,,
2023-03-08,61.06414,60.0116,,,
2023-03-09,61.24658,60.17741,,,
2023-03-10,61.28249,60.2739,,,
2023-03-13,61.33903,60.37583,,,
2023-03-14,61.63303,60.58873,,,
2023-03-15,61.78179,60.73771,,,
2023-03-16,62.06921,60.95344,,,
2023-03-17,62.22779,61.11244,,,
2023-03-20,62.55736,61.35374,,,
2023-03-21,62.73007,61.52606,,,
2023-03-22,62.78544,61.64191,,,
2023-03-23,62.95999,61.81066,,,
2023-03-24,63.06153,61.94469,,,
2023-03-27,63.00283,61.99916,,,
2023-03-28,62.92086,62.03404,,,
2023-03-29,62.8638,62.07226,,,
2023-03-30,62.94322,62.16913,,,
2023-03-31,63.12888,62.31586,,,
2023-04-03,63.30136,62.45913,,,
2023-04-04,63.32269,62.53179,,,
2023-04-05,63.25766,62.55906,,,
2023-04-06,63.10417,62.53691,,,
2023-04-10,63.04814,62.55195,,,
2023-04-11,62.9115,62.52292,,,
2023-04-12,62.7205,62.45974,,,
2023-04-13,62.67427,62.4568,,,
2023-04-14,62.56284,62.41926,,,
2023-04-17,62.5901,62.44302,,,
2023-04-18,62.68855,62.50131,,,
2023-04-19,62.8057,62.57158,,,
2023-04-20,62.88175,62.62554,,,
2023-04-21,62.94456,62.67476,,,
2023-04-24,63.02232,62.73219,,,
2023-04-25,62.89581,62.69277,,,
2023-04-26,62.69953,62.61331,,,
2023-04-27,62.56729,62.55603,,,
2023-04-28,62.58001,62.56299,,,
2023-05-01,62.7677,62.65462,,,
2023-05-02,62.53113,62.54909,,,
2023-05-03,62.3448,62.45805,,,
2023-05-04,62.14098,62.35153,,,
