Date,EMA(12),EMA(26),MACD,Signal,Histogram
2023-01-19,42.89,,,,
2023-01-20,44.77769,,,,
2023-01-23,46.49805,,,,
2023-01-24,47.5845,,,,
2023-01-25,48.38073,,,,
2023-01-26,49.09446,,,,
2023-01-27,50.983,,,,
2023-01-30,51.77946,,,,
2023-01-31,52.81031,,,,
2023-02-01,54.79334,,,,
2023-02-02,58.8959,,,,
2023-02-03,61.31653,,,,
2023-02-06,63.3586,,,,
2023-02-07,64.59882,,,,
2023-02-08,65.34362,53.78423,,,
2023-02-09,64.4646,54.21725,,,
2023-02-10,63.33005,54.43005,,,
2023-02-13,62.26389,54.57597,,,
2023-02-14,61.76637,54.9059,,,
2023-02-15,62.93154,55.97509,,,
2023-02-16,63.34053,56.68731,,,
2023-02-17,63.6266,57.31788,,,
2023-02-21,63.38712,57.66989,,,
2023-02-22,63.04756,57.9299,,,
2023-02-23,62.94178,58.25806,,,
2023-02-24,62.2492,58.27154,,,
2023-02-27,61.74317,58.32254,,,
2023-02-28,62.21807,58.80457,,,
2023-03-01,62.59529,59.23905,,,
2023-03-02,62.76525,59.56949,,,
2023-03-03,63.03367,59.93545,,,
2023-03-06,62.99311,60.14542,,,
2023-03-07,62.8234,60.27465,,,
2023-03-08,62.85211,60.47727,,,
2023-03-09,62.11948,60.30044,,,
2023-03-10,60.78418,59.79226,,,
2023-03-13,60.53584,59.74617,,,
2023-03-14,60.8611,59.96127,,,
2023-03-15,61.41632,60.29525,,,
2023-03-16,62.39535,60.84968,,,
2023-03-17,64.33145,61.89637,,,
2023-03-20,65.9943,62.87738,,,
2023-03-21,68.76287,64.44128,,,
2023-03-22,70.05166,65.38193,,,
2023-03-23,69.47448,65.44994,,,
2023-03-24,69.22148,65.62624,,,
2023-03-27,68.19356,65.39763,,,
2023-03-28,67.4007,65.22299,,,
2023-03-29,67.07752,65.22869,,,
2023-03-30,66.62867,65.14953,,,
2023-03-31,66.77349,65.32882,,,
2023-04-03,66.2868,65.2015,,,
2023-04-04,65.71037,65.00435,,,
2023-04-05,64.95185,64.69144,,,
2023-04-06,64.41157,64.45059,,,
2023-04-10,64.67594,64.57499,,,
