Date,EMA(12),EMA(26),MACD,Signal,Histogram
2023-01-19,144.175,,,,
2023-01-20,145.26346,,,,
2023-01-23,146.89524,,,,
2023-01-24,148.12059,,,,
2023-01-25,149.35896,,,,
2023-01-26,151.77912,,,,
2023-01-27,153.73926,,,,
2023-01-30,155.43322,,,,
2023-01-31,157.36196,,,,
2023-02-01,159.58627,,,,
2023-02-02,161.90223,,,,
2023-02-03,163.30804,,,,
2023-02-06,164.19142,,,,
2023-02-07,165.28197,,,,
2023-02-08,165.9509,155.30923,,,
2023-02-09,167.13692,156.66855,,,
2023-02-10,167.12047,157.43606,,,
2023-02-13,167.72963,158.44672,,,
2023-02-14,168.07276,159.29956,,,
2023-02-15,168.53849,160.17367,,,
2023-02-16,168.47257,160.76155,,,
2023-02-17,167.96448,161.0881,,,
2023-02-21,166.98841,161.1275,,,
2023-02-22,166.43019,161.29287,,,
2023-02-23,166.07478,161.50229,,,
2023-02-24,165.47866,161.55397,,,
2023-02-27,165.11887,161.67145,,,
2023-02-28,164.88674,161.81505,,,
2023-03-01,165.2657,162.22505,,,
2023-03-02,168.54636,164.02986,,,
2023-03-03,171.29769,165.68913,,,
2023-03-06,173.22112,167.03068,,,
2023-03-07,174.77479,168.2373,,,
2023-03-08,176.03251,169.32713,,,
2023-03-09,176.44597,170.0229,,,
2023-03-10,175.94351,170.25676,,,
2023-03-13,175.87682,170.64589,,,
2023-03-14,176.95577,171.55286,,,
2023-03-15,177.87181,172.39413,,,
2023-03-16,179.3223,173.49827,,,
2023-03-17,180.17272,174.33914,,,
2023-03-20,180.95384,175.14735,,,
2023-03-21,182.14248,176.14977,,,
2023-03-22,182.81441,176.91719,,,
2023-03-23,183.52604,177.69666,,,
2023-03-24,184.53126,178.61246,,,
2023-03-27,185.56645,179.54931,,,
2023-03-28,186.60238,180.49381,,,
2023-03-29,188.14663,181.68982,,,
2023-03-30,189.44715,182.79428,,,
2023-03-31,191.03682,184.05248,,,
2023-04-03,191.87577,184.97378,,,
2023-04-04,192.69488,185.87943,,,
2023-04-05,193.09721,186.57799,,,
2023-04-06,193.01302,187.02036,,,
2023-04-10,192.77871,187.35144,,,
2023-04-11,192.18045,187.46541,,,
2023-04-12,191.89423,187.67686,,,
2023-04-13,192.22127,188.14672,,,
2023-04-14,192.59492,188.62844,,,
2023-04-17,193.28493,189.25448,,,
2023-04-18,194.08725,189.93933,,,
2023-04-19,194.83075,190.60456,,,
2023-04-20,195.24294,191.11607,,,
2023-04-21,195.82556,191.70229,,,
2023-04-24,195.68624,191.94064,,,
2023-04-25,194.91451,191.84652,,,
