Date,EMA(12),EMA(26),MACD,Signal,Histogram
2023-01-19,335.78,,,,
2023-01-20,335.45538,,,,
2023-01-23,335.56532,,,,
2023-01-24,335.80142,,,,
2023-01-25,336.03505,,,,
2023-01-26,336.54658,,,,
2023-01-27,337.01788,,,,
2023-01-30,337.02436,,,,
2023-01-31,337.60984,,,,
2023-02-01,338.1114,,,,
2023-02-02,338.46811,,,,
2023-02-03,338.54686,,,,
2023-02-06,338.53657,,,,
2023-02-07,338.99556,,,,
2023-02-08,339.06086,337.31462,,,
2023-02-09,338.75611,337.29724,,,
2023-02-10,338.75209,337.40337,,,
2023-02-13,339.33638,337.7846,,,
2023-02-14,339.61386,338.03315,,,
2023-02-15,339.92865,338.30181,,,
2023-02-16,339.53809,338.23427,,,
2023-02-17,339.34608,338.2384,,,
2023-02-21,338.10053,337.72074,,,
2023-02-22,336.93429,337.18735,,,
2023-02-23,336.1244,336.77866,,,
2023-02-24,334.89295,336.13728,,,
2023-02-27,333.99557,335.61304,,,
2023-02-28,332.85317,334.94319,,,
2023-03-01,331.95268,334.35481,,,
2023-03-02,331.71996,334.06482,,,
2023-03-03,332.10304,334.07557,,,
2023-03-06,332.4995,334.12034,,,
2023-03-07,331.94112,333.73143,,,
2023-03-08,331.41018,333.34318,,,
2023-03-09,330.12861,332.58294,,,
2023-03-10,328.52882,331.63087,,,
2023-03-13,327.03516,330.68192,,,
2023-03-14,326.28975,330.05289,,,
2023-03-15,325.25133,329.27416,,,
2023-03-16,324.94343,328.82793,,,
2023-03-17,323.95213,328.0629,,,
2023-03-20,323.69796,327.63602,,,
2023-03-21,323.99366,327.48669,,,
2023-03-22,323.40694,326.94545,,,
2023-03-23,323.01203,326.49319,,,
2023-03-24,322.90556,326.18406,,,
2023-03-27,323.12163,326.04524,,,
2023-03-28,323.22753,325.87967,,,
2023-03-29,323.82022,325.96858,,,
2023-03-30,324.53711,326.15461,,,
2023-03-31,325.78063,326.63353,,,
2023-04-03,327.33899,327.32068,,,
2023-04-04,328.35453,327.811,,,
2023-04-05,329.34922,328.33019,,,
2023-04-06,330.20319,328.81684,,,
2023-04-10,331.08885,329.34596,,,
2023-04-11,331.98287,329.90552,,,
2023-04-12,332.69474,330.40215,,,
2023-04-13,333.87555,331.14051,,,
2023-04-14,334.63931,331.71084,,,
2023-04-17,335.45172,332.31893,,,
2023-04-18,336.12069,332.87308,,,
2023-04-19,336.56212,333.32619,,,
2023-04-20,336.77564,333.66869,,,
2023-04-21,336.98093,333.99768,,,
2023-04-24,337.25309,334.3497,,,
2023-04-25,336.95723,334.42231,,,
2023-04-26,336.34073,334.31325,,,
2023-04-27,336.62677,334.60116,,,
2023-04-28,337.30419,335.07737,,,
2023-05-01,337.77431,335.46868,,,
2023-05-02,337.63519,335.57248,,,
2023-05-03,337.09285,335.46415,,,
2023-05-04,336.20626,335.15792,,,
2023-05-05,336.28684,335.27437,,,
2023-05-08,336.27656,335.34442,,,
2023-05-09,336.19863,335.37594,,,
2023-05-10,336.08961,335.38439,,,
2023-05-11,335.66505,335.23221,,,
2023-05-12,335.28581,335.08168,,,
2023-05-15,335.05261,334.98452,,,
2023-05-16,334.32913,334.64122,,,
2023-05-17,334.37234,334.63891,,,
2023-05-18,334.63198,334.74418,,,
2023-05-19,334.56398,334.70313,,,
2023-05-22,334.30798,334.56956,,,
2023-05-23,333.73906,334.27626,,,
2023-05-24,332.85767,333.81209,,,
2023-05-25,332.07187,333.36305,,,
2023-05-26,331.88235,333.17616,,,
2023-05-30,331.67276,332.97941,,,
2023-05-31,331.34157,332.72316,,,
2023-06-01,331.27979,332.59107,,,
2023-06-02,332.32444,332.99692,,,
2023-06-05,332.90991,333.229,,,
2023-06-06,333.41146,333.44685,,,
2023-06-07,333.9897,333.72264,,,
2023-06-08,334.73128,334.09948,,,
2023-06-09,335.42954,334.48248,,,
2023-06-12,336.31269,334.97785,,,
2023-06-13,337.28305,335.54394,,,
2023-06-14,337.76566,335.90513,,,
2023-06-15,338.84325,336.56179,,,
2023-06-16,339.47506,337.03499,,,
2023-06-20,339.62659,337.28869,,,
2023-06-21,339.59635,337.44731,,,
2023-06-22,339.55691,337.58751,,,
2023-06-23,339.18815,337.55584,,,
2023-06-26,338.87305,337.52504,,,
2023-06-27,338.92797,337.65133,,,
2023-06-28,338.88213,337.72382,,,
2023-06-29,339.23257,337.97835,,,
2023-06-30,339.94294,338.41329,,,
2023-07-03,340.57787,338.83231,,,
2023-07-05,340.92127,339.12695,,,
2023-07-06,340.66107,339.13458,,,
2023-07-07,340.16398,339.00831,,,
2023-07-10,340.07414,339.05066,,,
2023-07-11,340.46889,339.31654,,,
2023-07-12,340.95521,339.63606,,,
2023-07-13,341.41133,339.95339,,,
2023-07-14,341.98959,340.33981,,,
2023-07-17,342.5835,340.74797,,,
2023-07-18,343.65988,341.40219,,,
2023-07-19,344.74144,342.09018,,,
2023-07-20,345.9243,342.85609,,,
2023-07-21,346.88056,343.54379,,,
2023-07-24,347.98663,344.32351,,,
2023-07-25,348.96099,345.06399,,,
2023-07-26,349.92853,345.81851,,,
2023-07-27,350.36568,346.33344,,,
2023-07-28,350.99865,346.93689,,,
2023-07-31,351.70193,347.57638,,,
2023-08-01,352.39394,348.21517,,,
2023-08-02,352.44718,348.55034,,,
2023-08-03,352.37684,348.80513,,,
2023-08-04,352.11117,348.94179,,,
2023-08-07,352.49714,349.3624,,,
2023-08-08,352.57758,349.63333,,,
2023-08-09,352.37795,349.75531,,,
2023-08-10,352.30288,349.91344,,,
2023-08-11,352.41013,350.14207,,,
2023-08-14,352.53319,350.36932,,,
2023-08-15,352.08347,350.31307,,,
2023-08-16,351.41986,350.12469,,,
2023-08-17,350.44142,349.74953,,,
2023-08-18,349.62274,349.4066,,,
2023-08-21,348.86078,349.05574,,,
2023-08-22,347.95297,348.6042,,,
2023-08-23,347.47251,348.32463,,,
2023-08-24,346.48135,347.78429,,,
2023-08-25,346.02268,347.46694,,,
2023-08-28,345.97458,347.3368,,,
2023-08-29,346.38157,347.43185,,,
2023-08-30,346.84594,347.57764,,,
2023-08-31,346.99426,347.59485,,,
2023-09-01,347.29976,347.69745,,,
2023-09-05,347.25057,347.64431,,,
2023-09-06,346.90433,347.44844,,,
2023-09-07,346.71751,347.31819,,,
2023-09-08,346.68559,347.25832,,,
2023-09-11,346.79088,347.26659,,,
2023-09-12,346.85536,347.2624,,,
2023-09-13,346.80838,347.20963,,,
2023-09-14,347.29017,347.41188,,,
2023-09-15,347.11322,347.31767,,,
2023-09-18,346.96503,347.23118,,,
2023-09-19,346.67349,347.07109,,,
2023-09-20,346.31141,346.86731,,,
2023-09-21,345.42965,346.40158,,,
2023-09-22,344.5297,345.89628,,,
2023-09-25,343.82975,345.45804,,,
2023-09-26,342.63133,344.76041,,,
2023-09-27,341.52343,344.06927,,,
2023-09-28,340.76906,343.51747,,,
2023-09-29,339.87382,342.88284,,,
2023-10-02,338.984,342.23152,,,
2023-10-03,337.59877,341.324,,,
2023-10-04,336.58204,340.55852,,,
2023-10-05,335.74942,339.86307,,,
2023-10-06,335.49566,339.43618,,,
2023-10-09,335.5871,339.18831,,,
2023-10-10,335.8737,339.05955,,,
2023-10-11,336.20544,338.98329,,,
2023-10-12,336.21537,338.78231,,,
2023-10-13,336.28685,338.62658,,,
2023-10-16,336.84118,338.72017,,,
2023-10-17,337.32561,338.81423,,,
2023-10-18,337.21859,338.65244,,,
2023-10-19,336.74188,338.3167,,,
2023-10-20,335.88774,337.7888,,,
2023-10-23,334.87732,337.16148,,,
2023-10-24,334.3485,336.73767,,,
2023-10-25,333.73335,336.26451,,,
2023-10-26,332.8236,335.63899,,,
2023-10-27,331.49535,334.79092,,,
2023-10-30,331.14683,334.379,,,
2023-10-31,331.04424,334.09019,,,
2023-11-01,331.2959,333.98573,,,
2023-11-02,332.3873,334.31197,,,
2023-11-03,333.65233,334.77849,,,
2023-11-06,334.78889,335.24231,,,
2023-11-07,335.82752,335.70881,,,
2023-11-08,336.64175,336.10964,,,
2023-11-09,337.02148,336.33189,,,
2023-11-10,337.94279,336.82656,,,
2023-11-13,338.80851,337.32607,,,
2023-11-14,340.2872,338.14784,,,
2023-11-15,341.82302,339.04578,,,
2023-11-16,343.08409,339.85869,,,
2023-11-17,344.06038,340.56768,,,
2023-11-20,345.20801,341.37896,,,
2023-11-21,346.07139,342.0783,,,
2023-11-22,347.06964,342.85472,,,
2023-11-24,348.10508,343.66548,,,
2023-11-27,348.90738,344.38063,,,
2023-11-28,349.70778,345.10132,,,
2023-11-29,350.46812,345.80863,,,
2023-11-30,351.93456,346.85984,,,
2023-12-01,353.64463,348.05911,,,
2023-12-04,355.02853,349.13918,,,
2023-12-05,356.08722,350.08517,,,
2023-12-06,356.87688,350.90997,,,
2023-12-07,357.6389,351.71886,,,
2023-12-08,358.48215,352.56339,,,
2023-12-11,359.4372,353.46166,,,
2023-12-12,360.50994,354.4208,,,
2023-12-13,362.23764,355.7037,,,
2023-12-14,363.94416,357.00935,,,
2023-12-15,365.28044,358.16644,,,
2023-12-18,366.46499,359.26374,,,
2023-12-19,367.85499,360.46643,,,
2023-12-20,368.30807,361.23188,,,
2023-12-21,369.16529,362.16878,,,
2023-12-22,369.87832,363.03035,,,
2023-12-26,370.72012,363.94292,,,
2023-12-27,371.61856,364.87752,,,
2023-12-28,372.45109,365.7777,,,
2023-12-29,373.13092,366.59935,,,
2024-01-02,373.74001,367.37644,6.36357,,
2024-01-03,373.81232,367.88263,5.92969,,
2024-01-04,373.92427,368.37577,5.5485,,
2024-01-05,374.03438,368.83979,5.19459,,
2024-01-08,374.46601,369.4324,5.03361,,
2024-01-09,374.57585,369.85815,4.7177,,
2024-01-10,374.9411,370.38347,4.55763,,
2024-01-11,375.28401,370.88618,4.39783,,
2024-01-12,375.38032,371.25831,4.12201,5.09613,-0.97412
2024-01-16,375.11566,371.43621,3.67945,4.81279,-1.13334
2024-01-17,374.7471,371.53131,3.21579,4.49339,-1.2776
2024-01-18,374.75678,371.77418,2.9826,4.19123,-1.20863
2024-01-19,375.34804,372.2798,3.06824,3.96663,-0.89839
2024-01-22,376.0745,372.85685,3.21765,3.81683,-0.59918
2024-01-23,376.53073,373.31486,3.21587,3.69664,-0.48077
2024-01-24,376.77062,373.66857,3.10205,3.57772,-0.47567
2024-01-25,377.34129,374.17312,3.16817,3.49581,-0.32764
2024-01-26,377.91801,374.68548,3.23253,3.44315,-0.21062
2024-01-29,378.74755,375.32433,3.42322,3.43916,-0.01594
2024-01-30,379.631,376.00327,3.62773,3.47687,0.15086
2024-01-31,379.89854,376.40081,3.49773,3.48104,0.01669
2024-02-01,380.69876,377.04519,3.65357,3.51555,0.13802
2024-02-02,381.57895,377.73962,3.83933,3.58031,0.25902
2024-02-05,381.8868,378.17224,3.71456,3.60716,0.1074
2024-02-06,382.37806,378.68393,3.69413,3.62455,0.06958
2024-02-07,383.03836,379.27549,3.76287,3.65221,0.11066
2024-02-08,383.70169,379.8736,3.82809,3.68739,0.1407
2024-02-09,384.16605,380.38074,3.78531,3.70697,0.07834
2024-02-12,384.77281,380.95328,3.81953,3.72948,0.09005
2024-02-13,384.47238,381.09156,3.38082,3.65975,-0.27893
2024-02-14,384.44432,381.32848,3.11584,3.55097,-0.43513
2024-02-15,385.02981,381.84119,3.18862,3.4785,-0.28988
2024-02-16,385.2083,382.16332,3.04498,3.3918,-0.34682
2024-02-20,385.28241,382.42456,2.85785,3.28501,-0.42716
2024-02-21,385.4005,382.69311,2.70739,3.16949,-0.4621
2024-02-22,386.19119,383.27436,2.91683,3.11896,-0.20213
2024-02-23,386.97408,383.86737,3.10671,3.11651,-0.0098
2024-02-26,387.54884,384.37423,3.17461,3.12813,0.04648
2024-02-27,387.87363,384.76577,3.10786,3.12408,-0.01622
2024-02-28,388.13923,385.12386,3.01537,3.10234,-0.08697
2024-02-29,388.41781,385.48135,2.93646,3.06916,-0.1327
2024-03-01,388.86276,385.9131,2.94966,3.04526,-0.0956
2024-03-04,389.0731,386.23287,2.84023,3.00425,-0.16402
2024-03-05,388.62955,386.22969,2.39986,2.88337,-0.48351
2024-03-06,388.40654,386.30008,2.10646,2.72799,-0.62153
2024-03-07,388.41323,386.45933,1.9539,2.57317,-0.61927
2024-03-08,388.34812,386.57271,1.77541,2.41362,-0.63821
2024-03-11,388.35918,386.70955,1.64963,2.26082,-0.61119
2024-03-12,388.73315,387.01181,1.72134,2.15292,-0.43158
2024-03-13,389.11574,387.32353,1.79221,2.08078,-0.28857
2024-03-14,389.26255,387.52697,1.73558,2.01174,-0.27616
2024-03-15,388.91447,387.48794,1.42653,1.8947,-0.46817
2024-03-18,388.73224,387.50587,1.22637,1.76103,-0.53466
2024-03-19,389.06574,387.75729,1.30845,1.67051,-0.36206
2024-03-20,389.97716,388.29305,1.68411,1.67323,0.01088
2024-03-21,391.17298,388.99356,2.17942,1.77447,0.40495
2024-03-22,391.68944,389.40367,2.28577,1.87673,0.40904
2024-03-25,391.88337,389.66636,2.21701,1.94479,0.27222
2024-03-26,392.03208,389.90219,2.12989,1.98181,0.14808
2024-03-27,392.88253,390.46944,2.41309,2.06807,0.34502
2024-03-28,393.63291,391.00948,2.62343,2.17914,0.44429
2024-04-01,393.894,391.32952,2.56448,2.25621,0.30827
2024-04-02,393.54569,391.35178,2.19391,2.24375,-0.04984
2024-04-03,393.19405,391.34498,1.84907,2.16481,-0.31574
2024-04-04,392.09035,390.95054,1.13981,1.95981,-0.82
2024-04-05,391.59337,390.79569,0.79768,1.72738,-0.9297
2024-04-08,391.20977,390.67008,0.53969,1.48984,-0.95015
2024-04-09,390.84519,390.53452,0.31067,1.25401,-0.94334
2024-04-10,389.87055,390.08826,-0.21771,0.95967,-1.17738
2024-04-11,389.05047,389.67728,-0.62681,0.64237,-1.26918
2024-04-12,387.63809,388.95081,-1.31272,0.25135,-1.56407
2024-04-15,386.04915,388.08853,-2.03938,-0.2068,-1.83258
2024-04-16,384.80774,387.33975,-2.53201,-0.67184,-1.86017
2024-04-17,383.67578,386.60718,-2.9314,-1.12375,-1.80765
2024-04-18,382.77797,385.95776,-3.17979,-1.53496,-1.64483
2024-04-19,382.31982,385.50163,-3.18181,-1.86433,-1.31748
2024-04-22,382.32754,385.26966,-2.94212,-2.07989,-0.86223
2024-04-23,382.74176,385.25117,-2.50941,-2.16579,-0.34362
2024-04-24,383.00303,385.19108,-2.18805,-2.17024,-0.01781
2024-04-25,382.68256,384.8747,-2.19214,-2.17462,-0.01752
2024-04-26,382.62524,384.68472,-2.05948,-2.15159,0.09211
2024-04-29,382.80597,384.61919,-1.81322,-2.08392,0.2707
2024-04-30,382.08659,384.13851,-2.05192,-2.07752,0.0256
2024-05-01,381.59481,383.74973,-2.15492,-2.093,-0.06192
2024-05-02,381.69253,383.63716,-1.94463,-2.06333,0.1187
2024-05-03,382.47368,383.86922,-1.39554,-1.92977,0.53423
2024-05-06,383.39311,384.20854,-0.81543,-1.7069,0.89147
2024-05-07,384.21571,384.5442,-0.32849,-1.43122,1.10273
2024-05-08,385.17945,384.98389,0.19556,-1.10586,1.30142
2024-05-09,386.53646,385.65175,0.88471,-0.70775,1.59246
2024-05-10,387.86624,386.35755,1.50869,-0.26446,1.77315
2024-05-13,388.88066,386.95773,1.92293,0.17302,1.74991
2024-05-14,389.91133,387.59642,2.31491,0.6014,1.71351
2024-05-15,391.35266,388.46187,2.89079,1.05928,1.83151
2024-05-16,392.56148,389.25803,3.30345,1.50811,1.79534
2024-05-17,393.69818,390.05003,3.64815,1.93612,1.71203
2024-05-20,394.37538,390.64632,3.72906,2.29471,1.43435
2024-05-21,395.05301,391.24881,3.8042,2.59661,1.20759
2024-05-22,395.30024,391.64964,3.6506,2.80741,0.84319
2024-05-23,394.58636,391.57633,3.01003,2.84793,0.1621
2024-05-24,393.97923,391.50697,2.47226,2.7728,-0.30054
2024-05-28,393.15166,391.29164,1.86002,2.59024,-0.73022
2024-05-29,391.83294,390.79448,1.03846,2.27988,-1.24142
2024-05-30,390.24018,390.10452,0.13566,1.85104,-1.71538
2024-05-31,389.82323,389.91381,-0.09058,1.46272,-1.5533
2024-06-03,389.27196,389.64168,-0.36972,1.09623,-1.46595
2024-06-04,389.00089,389.48378,-0.48289,0.78041,-1.2633
2024-06-05,388.92845,389.41313,-0.48468,0.52739,-1.01207
2024-06-06,388.99023,389.40697,-0.41674,0.33856,-0.7553
2024-06-07,388.91327,389.33905,-0.42578,0.18569,-0.61147
2024-06-10,388.97123,389.33542,-0.36419,0.07571,-0.4399
2024-06-11,388.81719,389.23428,-0.41709,-0.02285,-0.39424
2024-06-12,388.64378,389.11989,-0.47611,-0.1135,-0.36261
2024-06-13,388.37243,388.95397,-0.58154,-0.20711,-0.37443
2024-06-14,388.07821,388.76923,-0.69102,-0.30389,-0.38713
2024-06-17,388.15541,388.75521,-0.5998,-0.36307,-0.23673
2024-06-18,388.30689,388.78371,-0.47682,-0.38582,-0.091
2024-06-20,388.88583,389.02714,-0.14131,-0.33692,0.19561
2024-06-21,389.26339,389.19846,0.06493,-0.25655,0.32148
2024-06-24,389.98902,389.55265,0.43637,-0.11797,0.55434
2024-06-25,390.14763,389.66134,0.48629,0.00288,0.48341
2024-06-26,390.31569,389.77828,0.53741,0.10979,0.42762
2024-06-27,390.50712,389.91026,0.59686,0.2072,0.38966
2024-06-28,390.60295,390.00061,0.60234,0.28623,0.31611
2024-07-01,390.7348,390.10871,0.62609,0.3542,0.27189
2024-07-02,391.12791,390.34436,0.78355,0.44007,0.34348
2024-07-03,391.38977,390.52848,0.86129,0.52431,0.33698
2024-07-05,391.74519,390.76341,0.98178,0.6158,0.36598
2024-07-08,392.00901,390.96316,1.04585,0.70181,0.34404
2024-07-09,392.15224,391.10959,1.04265,0.76998,0.27267
2024-07-10,392.93805,391.56518,1.37287,0.89056,0.48231
2024-07-11,393.65989,392.01443,1.64546,1.04154,0.60392
2024-07-12,394.68452,392.62966,2.05486,1.2442,0.81066
2024-07-15,395.86536,393.35043,2.51493,1.49835,1.01658
2024-07-16,397.98761,394.55855,3.42906,1.88449,1.54457
2024-07-17,400.13259,395.84532,4.28727,2.36505,1.92222
2024-07-18,401.14604,396.65085,4.49519,2.79108,1.70411
2024-07-19,401.42357,397.11745,4.30612,3.09409,1.21203
2024-07-22,401.84302,397.63838,4.20464,3.3162,0.88844
2024-07-23,402.0964,398.07183,4.02457,3.45787,0.5667
2024-07-24,401.56926,398.11614,3.45312,3.45692,-0.0038
2024-07-25,401.24937,398.21791,3.03146,3.37183,-0.34037
2024-07-26,401.97562,398.79214,3.18348,3.33416,-0.15068
2024-07-29,402.51937,399.28976,3.22961,3.31325,-0.08364
2024-07-30,403.27177,399.89126,3.38051,3.3267,0.05381
2024-07-31,404.07457,400.5282,3.54637,3.37063,0.17574
2024-08-01,403.94464,400.72833,3.21631,3.33977,-0.12346
2024-08-02,402.89623,400.46179,2.43444,3.1587,-0.72426
2024-08-05,400.42143,399.45055,0.97088,2.72114,-1.75026
2024-08-06,398.81198,398.74755,0.06443,2.1898,-2.12537
2024-08-07,397.11321,397.9344,-0.82119,1.5876,-2.40879
2024-08-08,396.71425,397.68148,-0.96723,1.07663,-2.04386
2024-08-09,396.4736,397.49396,-1.02036,0.65723,-1.67759
2024-08-12,396.05766,397.21811,-1.16045,0.29369,-1.45414
2024-08-13,396.32417,397.26047,-0.9363,0.04769,-0.98399
2024-08-14,396.90353,397.47006,-0.56653,-0.07515,-0.49138
2024-08-15,398.28453,398.09302,0.19151,-0.02182,0.21333
2024-08-16,399.58537,398.73354,0.85183,0.15291,0.69892
2024-08-19,401.0507,399.50217,1.54853,0.43203,1.1165
2024-08-20,402.20598,400.17312,2.03286,0.7522,1.28066
2024-08-21,403.24968,400.82622,2.42346,1.08645,1.33701
2024-08-22,403.9005,401.31909,2.58141,1.38544,1.19597
2024-08-23,405.12042,402.09768,3.02274,1.7129,1.30984
2024-08-26,406.28959,402.88452,3.40507,2.05133,1.35374
2024-08-27,407.30504,403.62567,3.67937,2.37694,1.30243
2024-08-28,407.9258,404.1971,3.7287,2.64729,1.08141
2024-08-29,408.84645,404.91657,3.92988,2.90381,1.02607
2024-08-30,409.9793,405.75312,4.22618,3.16828,1.0579
2024-09-03,410.02095,406.08622,3.93473,3.32157,0.61316
2024-09-04,410.08234,406.40724,3.6751,3.39228,0.28282
2024-09-05,409.83275,406.5593,3.27345,3.36851,-0.09506
2024-09-06,409.00771,406.40454,2.60317,3.21544,-0.61227
2024-09-09,409.01422,406.6005,2.41372,3.0551,-0.64138
2024-09-10,408.89819,406.72343,2.17476,2.87903,-0.70427
2024-09-11,408.95539,406.91206,2.04333,2.71189,-0.66856
2024-09-12,409.41918,407.28672,2.13246,2.596,-0.46354
2024-09-13,410.26854,407.85363,2.41491,2.55978,-0.14487
2024-09-16,411.36261,408.55929,2.80332,2.60849,0.19483
2024-09-17,412.2699,409.20379,3.06611,2.70001,0.3661
2024-09-18,412.87299,409.72129,3.1517,2.79035,0.36135
2024-09-19,414.18638,410.58712,3.59926,2.95213,0.64713
2024-09-20,415.16848,411.32659,3.84189,3.13008,0.71181
2024-09-23,416.08256,412.05129,4.03127,3.31032,0.72095
2024-09-24,417.01294,412.79786,4.21508,3.49127,0.72381
2024-09-25,417.3371,413.26617,4.07093,3.6072,0.46373
2024-09-26,417.99601,413.88497,4.11104,3.70797,0.40307
2024-09-27,418.75816,414.55645,4.20171,3.80672,0.39499
2024-09-30,419.42921,415.19079,4.23842,3.89306,0.34536
2024-10-01,419.74779,415.65814,4.08965,3.93238,0.15727
2024-10-02,420.08044,416.12124,3.9592,3.93774,0.02146
2024-10-03,420.06499,416.40707,3.65792,3.88178,-0.22386
2024-10-04,420.57961,416.92581,3.6538,3.83618,-0.18238
2024-10-07,420.43044,417.12464,3.3058,3.7301,-0.4243
2024-10-08,420.4873,417.39689,3.09041,3.60216,-0.51175
2024-10-09,421.18925,417.96379,3.22546,3.52682,-0.30136
2024-10-10,421.72321,418.45981,3.2634,3.47414,-0.21074
2024-10-11,422.80118,419.22056,3.58062,3.49544,0.08518
2024-10-14,424.04561,420.08496,3.96065,3.58848,0.37217
2024-10-15,424.58321,420.63719,3.94602,3.65999,0.28603
2024-10-16,425.52733,421.38406,4.14327,3.75665,0.38662
2024-10-17,426.59236,422.20376,4.3886,3.88304,0.50556
2024-10-18,427.52277,422.97681,4.54596,4.01562,0.53034
2024-10-21,427.80696,423.45038,4.35658,4.08381,0.27277
2024-10-22,428.0382,423.88443,4.15377,4.0978,0.05597
2024-10-23,427.5954,423.97892,3.61648,4.00154,-0.38506
2024-10-24,427.00842,423.96419,3.04423,3.81008,-0.76585
2024-10-25,426.10559,423.75499,2.3506,3.51818,-1.16758
2024-10-28,425.79242,423.77832,2.0141,3.21736,-1.20326
2024-10-29,425.28589,423.68363,1.60226,2.89434,-1.29208
2024-10-30,424.74191,423.5404,1.20151,2.55577,-1.35426
2024-10-31,423.65392,423.10556,0.54836,2.15429,-1.60593
2024-11-01,423.15639,422.90663,0.24976,1.77338,-1.52362
2024-11-04,422.37079,422.54688,-0.17609,1.38349,-1.55958
2024-11-05,422.3599,422.52859,-0.16869,1.07305,-1.24174
2024-11-06,424.64761,423.61758,1.03003,1.06445,-0.03442
2024-11-07,426.60798,424.63776,1.97022,1.2456,0.72462
2024-11-08,428.68521,425.78385,2.90136,1.57675,1.32461
2024-11-11,430.88902,427.05986,3.82916,2.02723,1.80193
2024-11-12,432.19686,427.9732,4.22366,2.46652,1.75714
2024-11-13,433.36811,428.85,4.51811,2.87684,1.64127
2024-11-14,434.03455,429.50556,4.52899,3.20727,1.32172
2024-11-15,434.1077,429.87626,4.23144,3.4121,0.81934
2024-11-18,434.12036,430.1958,3.92456,3.51459,0.40997
2024-11-19,433.92338,430.39167,3.53171,3.51801,0.0137
2024-11-20,433.97978,430.68044,3.29934,3.47428,-0.17494
2024-11-21,434.74751,431.29448,3.45303,3.47003,-0.017
2024-11-22,436.04174,432.17341,3.86833,3.54969,0.31864
2024-11-25,437.81378,433.31316,4.50062,3.73988,0.76074
2024-11-26,439.51628,434.46626,5.05002,4.00191,1.04811
2024-11-27,440.78147,435.4495,5.33197,4.26792,1.06405
2024-11-29,442.21355,436.53398,5.67957,4.55025,1.12932
2024-12-02,443.21762,437.43813,5.77949,4.7961,0.98339
2024-12-03,443.93645,438.21234,5.72411,4.9817,0.74241
2024-12-04,445.01392,439.15513,5.85879,5.15712,0.70167
2024-12-05,445.57639,439.85994,5.71645,5.26899,0.44746
2024-12-06,445.81848,440.39994,5.41854,5.2989,0.11964
2024-12-09,445.70487,440.74661,4.95826,5.23077,-0.27251
2024-12-10,445.39489,440.96464,4.43025,5.07067,-0.64042
2024-12-11,444.95106,441.07911,3.87195,4.83093,-0.95898
2024-12-12,444.2309,441.01918,3.21172,4.50709,-1.29537
2024-12-13,443.48307,440.89702,2.58605,4.12288,-1.53683
2024-12-16,442.69644,440.70983,1.98661,3.69563,-1.70902
2024-12-17,441.60006,440.3291,1.27096,3.2107,-1.93974
2024-12-18,438.9262,439.13583,-0.20963,2.52663,-2.73626
2024-12-19,436.7114,438.05392,-1.34252,1.7528,-3.09532
2024-12-20,435.45426,437.34919,-1.89493,1.02325,-2.91818
2024-12-23,434.44437,436.72258,-2.27821,0.36296,-2.64117
2024-12-24,434.14524,436.4098,-2.26456,-0.16254,-2.10202
2024-12-26,434.00136,436.17278,-2.17142,-0.56432,-1.6071
2024-12-27,433.38577,435.71554,-2.32977,-0.91741,-1.41236
2024-12-30,432.21411,434.97883,-2.76472,-1.28687,-1.47785
2024-12-31,431.18117,434.27669,-3.09552,-1.6486,-1.44692
2025-01-02,430.04561,433.50064,-3.45503,-2.00989,-1.44514
2025-01-03,429.60167,433.03096,-3.42929,-2.29377,-1.13552
2025-01-06,429.22141,432.59385,-3.37244,-2.5095,-0.86294
