Date,EMA(12),EMA(26),MACD,Signal,Histogram
2023-01-19,59.885,,,,
2023-01-20,60.20269,,,,
2023-01-23,60.72843,,,,
2023-01-24,61.28713,,,,
2023-01-25,61.77065,,,,
2023-01-26,62.22286,,,,
2023-01-27,62.86242,,,,
2023-01-30,63.1082,,,,
2023-01-31,63.27463,,,,
2023-02-01,63.64007,,,,
2023-02-02,64.14775,,,,
2023-02-03,64.33579,,,,
2023-02-06,64.54259,,,,
2023-02-07,64.68835,,,,
2023-02-08,64.79322,62.58538,,,
2023-02-09,64.73734,62.72202,,,
2023-02-10,64.7516,62.87817,,,
2023-02-13,64.93443,63.10497,,,
2023-02-14,65.19529,63.36608,,,
2023-02-15,65.56678,63.68044,,,
2023-02-16,65.79189,63.92856,,,
2023-02-17,65.85929,64.09904,,,
2023-02-21,65.8194,64.21022,,,
2023-02-22,65.90103,64.36872,,,
2023-02-23,65.93933,64.50067,,,
2023-02-24,66.04559,64.6584,,,
2023-02-27,66.17088,64.82148,,,
2023-02-28,66.38459,65.02433,,,
2023-03-01,66.49465,65.17808,,,
2023-03-02,66.78163,65.41378,,,
2023-03-03,67.10599,65.67128,,,
2023-03-06,67.46353,65.9497,,,
2023-03-07,67.68453,66.16824,,,
2023-03-08,67.94383,66.40541,,,
2023-03-09,68.72478,66.89538,,,
2023-03-10,69.31789,67.31646,,,
2023-03-13,69.57052,67.58635,,,
2023-03-14,70.05352,67.96588,,,
2023-03-15,70.2899,68.23433,,,
2023-03-16,70.76068,68.61327,,,
2023-03-17,70.95288,68.86488,,,
2023-03-20,71.06936,69.07563,,,
2023-03-21,71.44638,69.40484,,,
2023-03-22,71.44694,69.55633,,,
2023-03-23,71.69356,69.81512,,,
2023-03-24,71.87455,70.04141,,,
2023-03-27,72.26616,70.36575,,,
2023-03-28,72.57598,70.65569,,,
2023-03-29,72.95198,70.97897,,,
2023-03-30,73.2686,71.27756,,,
2023-03-31,73.72574,71.64515,,,
2023-04-03,74.27563,72.06403,,,
2023-04-04,74.51169,72.34151,,,
2023-04-05,74.61297,72.55103,,,
2023-04-06,74.61867,72.70651,,,
2023-04-10,74.71734,72.89566,,,
2023-04-11,74.74544,73.04413,,,
2023-04-12,74.7923,73.19271,,,
2023-04-13,74.85656,73.34214,,,
2023-04-14,75.05094,73.54791,,,
2023-04-17,75.37849,73.81695,,,
2023-04-18,75.86334,74.16606,,,
2023-04-19,76.34283,74.52265,,,
2023-04-20,76.83778,74.89579,,,
2023-04-21,77.22581,75.22647,,,
2023-04-24,77.63261,75.57044,,,
2023-04-25,77.76759,75.78819,,,
2023-04-26,77.60796,75.85795,,,
2023-04-27,77.70058,76.03218,,,
2023-04-28,77.88972,76.24683,,,
2023-05-01,78.32053,76.57595,,,
2023-05-02,78.7266,76.90069,,,
2023-05-03,79.10097,77.21619,,,
2023-05-04,79.11774,77.36388,,,
2023-05-05,79.24424,77.5547,,,
2023-05-08,79.4359,77.77213,,,
2023-05-09,79.6073,77.9779,,,
2023-05-10,79.57387,78.0825,,,
2023-05-11,79.54097,78.17713,,,
2023-05-12,79.42697,78.22327,,,
2023-05-15,79.72282,78.45488,,,
2023-05-16,79.86546,78.61748,,,
2023-05-17,80.27385,78.90656,,,
2023-05-18,80.68557,79.20607,,,
2023-05-19,81.06471,79.49821,,,
2023-05-22,81.42091,79.78575,,,
2023-05-23,81.37308,79.88384,,,
2023-05-24,81.24338,79.9317,,,
2023-05-25,81.20132,80.00861,,,
2023-05-26,81.31496,80.15168,,,
2023-05-30,81.36958,80.26415,,,
2023-05-31,81.30811,80.31644,,,
2023-06-01,81.64225,80.55078,,,
2023-06-02,82.06344,80.83443,,,
2023-06-05,82.2106,80.99632,,,
2023-06-06,82.50282,81.22696,,,
2023-06-07,82.82546,81.47681,,,
2023-06-08,83.09693,81.70742,,,
2023-06-09,83.35586,81.93502,,,
2023-06-12,83.56573,82.14131,,,
2023-06-13,83.80639,82.36269,,,
2023-06-14,83.75925,82.44694,,,
2023-06-15,83.80706,82.56717,,,
