Date,EMA(12),EMA(26),MACD,Signal,Histogram
2023-01-19,8.75583,,,,
2023-01-20,8.87339,,,,
2023-01-23,9.0021,,,,
2023-01-24,9.11101,,,,
2023-01-25,9.20009,,,,
2023-01-26,9.26777,,,,
2023-01-27,9.44042,,,,
2023-01-30,9.54959,,,,
2023-01-31,9.68196,,,,
2023-02-01,9.85089,,,,
2023-02-02,10.04921,,,,
2023-02-03,10.15549,,,,
2023-02-06,10.22388,,,,
2023-02-07,10.27405,,,,
2023-02-08,10.3042,9.56038,,,
2023-02-09,10.26971,9.59887,,,
2023-02-10,10.22514,9.6271,,,
2023-02-13,10.1782,9.6488,,,
2023-02-14,10.16002,9.67926,,,
2023-02-15,10.23232,9.74969,,,
2023-02-16,10.24889,9.79342,,,
2023-02-17,10.26445,9.83465,,,
2023-02-21,10.20838,9.83949,,,
2023-02-22,10.16863,9.84768,,,
2023-02-23,10.15653,9.86563,,,
2023-02-24,10.06937,9.84521,,,
2023-02-27,10.01562,9.83594,,,
2023-02-28,10.02399,9.85328,,,
2023-03-01,9.97876,9.84415,,,
2023-03-02,9.92357,9.82755,,,
2023-03-03,9.91994,9.83292,,,
2023-03-06,9.88918,9.82456,,,
2023-03-07,9.817,9.79459,,,
2023-03-08,9.79131,9.78388,,,
2023-03-09,9.73726,9.75841,,,
2023-03-10,9.62537,9.70297,,,
2023-03-13,9.52762,9.65016,,,
2023-03-14,9.46337,9.61015,,,
2023-03-15,9.42285,9.57977,,,
2023-03-16,9.40549,9.55979,,,
2023-03-17,9.37234,9.5324,,,
2023-03-20,9.28429,9.47815,,,
2023-03-21,9.29286,9.46792,,,
2023-03-22,9.23704,9.42807,,,
2023-03-23,9.13442,9.36451,,,
2023-03-24,9.06451,9.31381,,,
2023-03-27,8.99459,9.26168,,,
2023-03-28,8.94465,9.21785,,,
2023-03-29,8.96855,9.20912,,,
2023-03-30,9.04416,9.2277,,,
2023-03-31,9.1466,9.26343,,,
2023-04-03,9.24097,9.30021,,,
2023-04-04,9.32082,9.33427,,,
2023-04-05,9.38685,9.36506,,,
2023-04-06,9.48272,9.41283,,,
2023-04-10,9.55922,9.45484,,,
2023-04-11,9.62088,9.49226,,,
2023-04-12,9.68074,9.53061,,,
2023-04-13,9.74063,9.57056,,,
2023-04-14,9.78053,9.60237,,,
2023-04-17,9.79583,9.62294,,,
2023-04-18,9.80263,9.63902,,,
2023-04-19,9.8053,9.65243,,,
2023-04-20,9.79372,9.65818,,,
2023-04-21,9.77007,9.65683,,,
2023-04-24,9.71314,9.63781,,,
2023-04-25,9.61727,9.59723,,,
2023-04-26,9.49461,9.53966,,,
2023-04-27,9.39082,9.48635,,,
2023-04-28,9.30762,9.43921,,,
2023-05-01,9.2326,9.39334,,,
2023-05-02,9.11374,9.3242,,,
2023-05-03,9.00086,9.25426,,,
2023-05-04,8.92073,9.19691,,,
2023-05-05,8.90985,9.17121,,,
2023-05-08,8.90987,9.15186,,,
2023-05-09,8.94066,9.14876,,,
2023-05-10,8.96056,9.14293,,,
2023-05-11,9.06663,9.18049,,,
2023-05-12,9.01638,9.14786,,,
2023-05-15,8.96001,9.11098,,,
2023-05-16,8.86616,9.05461,,,
2023-05-17,8.80367,9.01056,,,
2023-05-18,8.77541,8.98163,,,
2023-05-19,8.72842,8.94373,,,
2023-05-22,8.73328,8.93012,,,
2023-05-23,8.72508,8.91159,,,
2023-05-24,8.70584,8.88851,,,
2023-05-25,8.68956,8.86714,,,
2023-05-26,8.70963,8.86365,,,
2023-05-30,8.74199,8.86782,,,
2023-05-31,8.76938,8.87169,,,
2023-06-01,8.80794,8.88268,,,
2023-06-02,8.8898,8.91656,,,
2023-06-05,8.91137,8.92496,,,
2023-06-06,8.94347,8.93941,,,
2023-06-07,9.01371,8.97353,,,
2023-06-08,9.08852,9.01253,,,
2023-06-09,9.13798,9.04197,,,
2023-06-12,9.17214,9.06553,,,
2023-06-13,9.23796,9.10512,,,
2023-06-14,9.3475,9.1677,,,
2023-06-15,9.44481,9.22787,,,
2023-06-16,9.53484,9.28729,,,
2023-06-20,9.6064,9.34008,,,
2023-06-21,9.63003,9.37119,,,
2023-06-22,9.60233,9.37703,,,
2023-06-23,9.58505,9.3854,,,
2023-06-26,9.59197,9.40352,,,
2023-06-27,9.64551,9.44326,,,
2023-06-28,9.72774,9.49783,,,
2023-06-29,9.76501,9.53281,,,
2023-06-30,9.79809,9.56594,,,
2023-07-03,9.93069,9.64698,,,
2023-07-05,10.05212,9.72646,,,
2023-07-06,10.10718,9.77709,,,
2023-07-07,10.21223,9.85212,,,
2023-07-10,10.36573,9.9527,,,
2023-07-11,10.591,10.09176,,,
2023-07-12,10.79854,10.22867,,,
2023-07-13,11.05261,10.39321,,,
2023-07-14,11.25682,10.54038,,,
2023-07-17,11.44654,10.6848,,,
2023-07-18,11.62246,10.82593,,,
2023-07-19,11.85285,10.99586,,,
2023-07-20,12.0001,11.13024,,,
2023-07-21,12.11701,11.25096,,,
