Date,EMA(12),EMA(26),MACD,Signal,Histogram
2023-01-19,143.3525,,,,
2023-01-20,143.02135,,,,
2023-01-23,142.84268,,,,
2023-01-24,142.63458,,,,
2023-01-25,142.34618,,,,
2023-01-26,141.13138,,,,
2023-01-27,140.09424,,,,
2023-01-30,139.35666,,,,
2023-01-31,138.64487,,,,
2023-02-01,138.09797,,,,
2023-02-02,137.83521,,,,
2023-02-03,137.69749,,,,
2023-02-06,137.46403,,,,
2023-02-07,137.21418,,,,
2023-02-08,137.02431,140.03192,,,
2023-02-09,136.52057,139.56659,,,
2023-02-10,136.37894,139.27277,,,
2023-02-13,136.52833,139.13034,,,
2023-02-14,136.44859,138.8992,,,
2023-02-15,136.44111,138.71407,,,
2023-02-16,136.2194,138.43895,,,
2023-02-17,136.03488,138.18569,,,
2023-02-21,135.36951,137.70601,,,
2023-02-22,134.69266,137.20705,,,
2023-02-23,134.09225,136.73171,,,
2023-02-24,133.55037,136.27529,,,
2023-02-27,133.07954,135.84675,,,
2023-02-28,132.49807,135.36181,,,
2023-03-01,131.83529,134.83056,,,
2023-03-02,131.38832,134.39348,,,
2023-03-03,131.11935,134.04137,,,
2023-03-06,130.97637,133.75608,,,
2023-03-07,130.55693,133.34822,,,
2023-03-08,130.17125,132.95576,,,
2023-03-09,129.55413,132.45237,,,
2023-03-10,128.92273,131.93368,,,
2023-03-13,128.40846,131.46304,,,
2023-03-14,127.83024,130.95837,,,
2023-03-15,127.1302,130.3896,,,
2023-03-16,126.75632,129.96815,,,
2023-03-17,126.28458,129.5031,,,
2023-03-20,126.23157,129.23917,,,
2023-03-21,126.28364,129.04145,,,
2023-03-22,125.94,128.67171,,,
2023-03-23,125.54462,128.27899,,,
2023-03-24,125.50545,128.05758,,,
2023-03-27,126.09077,128.15035,,,
2023-03-28,126.59065,128.23847,,,
2023-03-29,127.07055,128.34747,,,
2023-03-30,127.40123,128.4121,,,
2023-03-31,127.96873,128.61046,,,
2023-04-03,128.59816,128.86598,,,
2023-04-04,129.05998,129.0685,,,
2023-04-05,129.53383,129.29602,,,
2023-04-06,129.68247,129.3852,,,
2023-04-10,129.88978,129.50704,,,
2023-04-11,129.97135,129.57467,,,
2023-04-12,129.75114,129.49803,,,
2023-04-13,129.46635,129.37966,,,
2023-04-14,129.2623,129.28783,,,
2023-04-17,129.04041,129.1791,,,
2023-04-18,128.8465,129.07546,,,
2023-04-19,128.45781,128.87135,,,
2023-04-20,128.13507,128.68532,,,
2023-04-21,127.76506,128.46641,,,
