Date,EMA(12),EMA(26),MACD,Signal,Histogram
2023-01-19,28.8775,,,,
2023-01-20,28.93019,,,,
2023-01-23,29.13631,,,,
2023-01-24,29.25688,,,,
2023-01-25,29.32505,,,,
2023-01-26,29.44273,,,,
2023-01-27,29.24539,,,,
2023-01-30,29.0461,,,,
2023-01-31,28.92516,,,,
2023-02-01,28.94744,,,,
2023-02-02,29.1386,,,,
2023-02-03,29.32035,,,,
2023-02-06,29.22337,,,,
2023-02-07,29.1967,,,,
2023-02-08,29.04952,29.06385,,,
2023-02-09,28.84652,28.96505,,,
2023-02-10,28.68552,28.87875,,,
2023-02-13,28.66467,28.8544,,,
2023-02-14,28.66087,28.83852,,,
2023-02-15,28.68997,28.83937,,,
2023-02-16,28.61459,28.79201,,,
2023-02-17,28.46004,28.70445,,,
2023-02-21,28.0908,28.50856,,,
2023-02-22,27.6876,28.28348,,,
2023-02-23,27.36797,28.08544,,,
2023-02-24,27.02521,27.86726,,,
2023-02-27,26.69825,27.64746,,,
2023-02-28,26.42621,27.44617,,,
2023-03-01,26.25756,27.28942,,,
2023-03-02,26.2487,27.20872,,,
2023-03-03,26.27198,27.14881,,,
2023-03-06,26.2286,27.06297,,,
2023-03-07,26.12112,26.94942,,,
2023-03-08,26.09941,26.87761,,,
2023-03-09,26.15181,26.84519,,,
2023-03-10,26.31615,26.87295,,,
2023-03-13,26.41367,26.87866,,,
2023-03-14,26.65926,26.96246,,,
2023-03-15,26.9286,27.06969,,,
2023-03-16,27.42882,27.30008,,,
2023-03-17,27.79516,27.486,,,
2023-03-20,28.00514,27.61,,,
2023-03-21,28.07512,27.67296,,,
2023-03-22,28.08356,27.70681,,,
2023-03-23,28.22917,27.80482,,,
2023-03-24,28.40314,27.92002,,,
2023-03-27,28.52266,28.01335,,,
2023-03-28,28.64071,28.10792,,,
2023-03-29,29.08368,28.36067,,,
2023-03-30,29.54619,28.63692,,,
2023-03-31,30.02678,28.93567,,,
2023-04-03,30.46728,29.22858,,,
2023-04-04,30.87231,29.51535,,,
2023-04-05,31.17349,29.76088,,,
2023-04-06,31.42526,29.98674,,,
2023-04-10,31.59368,30.17439,,,
2023-04-11,31.71004,30.33555,,,
2023-04-12,31.75773,30.46032,,,
2023-04-13,31.815,30.584,,,
2023-04-14,31.82654,30.68074,,,
2023-04-17,31.87476,30.78883,,,
2023-04-18,31.86787,30.86595,,,
2023-04-19,31.75743,30.88699,,,
2023-04-20,31.61936,30.88499,,,
2023-04-21,31.41638,30.84166,,,
2023-04-24,31.14617,30.75413,,,
2023-04-25,30.79753,30.61531,,,
2023-04-26,30.52868,30.49936,,,
2023-04-27,30.42581,30.452,,,
2023-04-28,30.52338,30.49704,,,
2023-05-01,30.48901,30.48244,,,
2023-05-02,30.37839,30.42967,,,
2023-05-03,30.42018,30.44599,,,
2023-05-04,30.54631,30.50481,,,
2023-05-05,30.61457,30.54075,,,
2023-05-08,30.63848,30.55773,,,
2023-05-09,30.55564,30.52382,,,
2023-05-10,30.46554,30.4828,,,
2023-05-11,30.21853,30.36259,,,
2023-05-12,30.02337,30.25795,,,
2023-05-15,29.98901,30.22403,,,
2023-05-16,29.8707,30.14966,,,
2023-05-17,29.71675,30.05487,,,
2023-05-18,29.7111,30.0271,,,
2023-05-19,29.74478,30.01991,,,
2023-05-22,29.82712,30.03918,,,
2023-05-23,29.77833,29.99998,,,
2023-05-24,29.65859,29.92591,,,
2023-05-25,29.31111,29.73881,,,
2023-05-26,29.26325,29.68408,,,
2023-05-30,29.37506,29.70674,,,
2023-05-31,29.69274,29.83513,,,
2023-06-01,29.91386,29.93105,,,
2023-06-02,30.12865,30.03319,,,
2023-06-05,30.08732,30.02036,,,
2023-06-06,30.22158,30.08996,,,
2023-06-07,30.38441,30.17811,,,
2023-06-08,30.60527,30.29973,,,
2023-06-09,30.71831,30.37679,,,
2023-06-12,31.08011,30.57629,,,
2023-06-13,31.51548,30.82323,,,
2023-06-14,32.14079,31.17558,,,
2023-06-15,32.70682,31.51961,,,
2023-06-16,33.27039,31.8789,,,
2023-06-20,33.53648,32.11009,,,
2023-06-21,33.43856,32.1686,,,
2023-06-22,33.32647,32.2087,,,
2023-06-23,33.27624,32.26731,,,
2023-06-26,33.28605,32.34677,,,
2023-06-27,33.41127,32.47664,,,
2023-06-28,33.43569,32.55763,,,
2023-06-29,33.35481,32.58373,,,
2023-06-30,33.36792,32.64716,,,
2023-07-03,33.4067,32.71922,,,
2023-07-05,33.26875,32.70372,,,
2023-07-06,33.06894,32.64937,,,
2023-07-07,32.88141,32.59016,,,
2023-07-10,32.85965,32.60126,,,
2023-07-11,32.9274,32.65302,,,
2023-07-12,33.08934,32.75131,,,
2023-07-13,33.20944,32.83418,,,
2023-07-14,33.2003,32.85757,,,
2023-07-17,33.38025,32.9696,,,
2023-07-18,33.55252,33.08296,,,
2023-07-19,33.69213,33.18496,,,
2023-07-20,33.64257,33.19867,,,
2023-07-21,33.70064,33.25951,,,
2023-07-24,33.68977,33.28695,,,
2023-07-25,33.75288,33.34718,,,
2023-07-26,33.84628,33.4222,,,
2023-07-27,33.95454,33.50574,,,
2023-07-28,34.39692,33.75198,,,
2023-07-31,34.60816,33.90146,,,
2023-08-01,34.79152,34.04209,,,
2023-08-02,34.72975,34.06786,,,
2023-08-03,34.75133,34.12728,,,
2023-08-04,34.81113,34.2023,,,
2023-08-07,34.87557,34.27843,,,
2023-08-08,34.89779,34.33336,,,
