Date,EMA(12),EMA(26),MACD,Signal,Histogram
2023-01-19,180.57583,,,,
2023-01-20,181.26263,,,,
2023-01-23,182.19607,,,,
2023-01-24,182.92437,,,,
2023-01-25,183.62062,,,,
2023-01-26,184.38052,,,,
2023-01-27,185.18044,,,,
2023-01-30,185.45114,,,,
2023-01-31,186.37866,,,,
2023-02-01,187.62656,,,,
2023-02-02,189.2717,,,,
2023-02-03,190.45913,,,,
2023-02-06,191.02542,,,,
2023-02-07,191.72612,,,,
2023-02-08,191.87902,186.24846,,,
2023-02-09,191.57917,186.52117,,,
2023-02-10,191.38391,186.80182,,,
2023-02-13,191.571,187.23131,,,
2023-02-14,191.71546,187.62232,,,
2023-02-15,192.1377,188.12881,,,
2023-02-16,192.20882,188.46001,,,
2023-02-17,192.35054,188.80594,,,
2023-02-21,191.59353,188.70402,,,
2023-02-22,191.03145,188.64743,,,
2023-02-23,190.762,188.69429,,,
2023-02-24,190.26169,188.60656,,,
2023-02-27,189.93989,188.57422,,,
2023-02-28,189.66914,188.54502,,,
2023-03-01,189.47696,188.53576,,,
2023-03-02,189.38358,188.56052,,,
2023-03-03,189.70918,188.77826,,,
2023-03-06,189.55392,188.77246,,,
2023-03-07,189.08562,188.60487,,,
2023-03-08,188.70322,188.45636,,,
2023-03-09,187.58119,187.93441,,,
2023-03-10,185.82716,187.06371,,,
2023-03-13,183.90144,186.04492,,,
2023-03-14,182.76583,185.33937,,,
2023-03-15,181.35724,184.47053,,,
2023-03-16,180.52997,183.8416,,,
2023-03-17,179.09921,182.90741,,,
2023-03-20,178.2301,182.20686,,,
2023-03-21,177.98701,181.79524,,,
2023-03-22,177.01055,181.043,,,
2023-03-23,175.97047,180.24352,,,
2023-03-24,175.32732,179.61733,,,
2023-03-27,175.07696,179.17901,,,
2023-03-28,174.82666,178.75464,,,
2023-03-29,174.91794,178.50763,,,
2023-03-30,174.95826,178.26114,,,
2023-03-31,175.48776,178.27143,,,
2023-04-03,175.9481,178.28688,,,
2023-04-04,175.85608,178.06933,,,
2023-04-05,175.51361,177.74049,,,
2023-04-06,175.26382,177.45527,,,
2023-04-10,175.33862,177.32895,,,
2023-04-11,175.61576,177.31495,,,
2023-04-12,175.65026,177.20569,,,
2023-04-13,176.03791,177.27712,,,
2023-04-14,176.11054,177.2203,,,
2023-04-17,176.52123,177.33583,,,
2023-04-18,176.75181,177.38651,,,
2023-04-19,176.9823,177.45047,,,
2023-04-20,177.03579,177.44155,,,
2023-04-21,177.11644,177.45032,,,
2023-04-24,177.16622,177.44956,,,
2023-04-25,176.53449,177.12441,,,
2023-04-26,175.74303,176.69964,,,
2023-04-27,175.42564,176.47596,,,
2023-04-28,175.39093,176.38144,,,
2023-05-01,175.37694,176.30133,,,
2023-05-02,174.81126,175.96049,,,
2023-05-03,174.42953,175.69156,,,
2023-05-04,173.8096,175.29959,,,
2023-05-05,173.90812,175.23666,,,
2023-05-08,173.92995,175.14876,,,
2023-05-09,173.86842,175.02885,,,
2023-05-10,173.95174,174.98301,,,
2023-05-11,173.81609,174.84131,,,
2023-05-12,173.64746,174.68418,,,
2023-05-15,173.82939,174.69498,,,
2023-05-16,173.59102,174.51609,,,
2023-05-17,173.98009,174.6349,,,
2023-05-18,174.47392,174.82417,,,
2023-05-19,174.72562,174.91942,,,
2023-05-22,175.26937,175.16687,,,
2023-05-23,175.60024,175.33377,,,
2023-05-24,175.59097,175.34905,,,
2023-05-25,175.37236,175.26171,,,
2023-05-26,175.492,175.32751,,,
2023-05-30,175.49323,175.34029,,,
2023-05-31,175.22812,175.22397,,,
2023-06-01,175.29302,175.25553,,,
2023-06-02,176.32794,175.7566,,,
2023-06-05,176.82826,176.03981,,,
2023-06-06,177.9793,176.65242,,,
2023-06-07,179.40402,177.43669,,,
2023-06-08,180.50186,178.11101,,,
2023-06-09,181.1985,178.62353,,,
2023-06-12,181.90642,179.15512,,,
2023-06-13,182.83312,179.80511,,,
2023-06-14,183.30649,180.25732,,,
2023-06-15,183.94241,180.78937,,,
2023-06-16,184.24973,181.1709,,,
2023-06-20,184.38516,181.46417,,,
2023-06-21,184.4336,181.70386,,,
2023-06-22,184.26382,181.82431,,,
2023-06-23,183.69554,181.7314,,,
2023-06-26,183.24238,181.6587,,,
2023-06-27,183.26048,181.78472,,,
2023-06-28,183.41425,181.96807,,,
2023-06-29,183.87052,182.29488,,,
2023-06-30,184.39352,182.66341,,,
2023-07-03,184.89452,183.03279,,,
2023-07-05,185.03075,183.23629,,,
2023-07-06,184.68448,183.20249,,,
2023-07-07,184.68841,183.31416,,,
2023-07-10,185.17789,183.65163,,,
2023-07-11,185.88898,184.10706,,,
2023-07-12,186.80914,184.68209,,,
2023-07-13,187.8262,185.32934,,,
2023-07-14,188.39602,185.78865,,,
2023-07-17,189.19356,186.36579,,,
2023-07-18,190.23609,187.07721,,,
2023-07-19,191.24592,187.79742,,,
2023-07-20,191.83578,188.33687,,,
2023-07-21,192.23951,188.79044,,,
2023-07-24,192.65497,189.24596,,,
2023-07-25,193.00344,189.66626,,,
2023-07-26,193.53522,190.1695,,,
2023-07-27,193.59442,190.44731,,,
2023-07-28,194.03066,190.89047,,,
2023-07-31,194.75056,191.46969,,,
2023-08-01,195.2197,191.9386,,,
2023-08-02,195.20282,192.17352,,,
2023-08-03,195.10392,192.3503,,,
2023-08-04,194.96024,192.48509,,,
2023-08-07,194.85866,192.61953,,,
2023-08-08,194.58502,192.65364,,,
2023-08-09,194.12117,192.57337,,,
2023-08-10,193.59791,192.43608,,,
2023-08-11,193.19669,192.32896,,,
2023-08-14,192.80643,192.20533,,,
2023-08-15,192.08852,191.90419,,,
2023-08-16,191.12721,191.45499,,,
2023-08-17,189.97687,190.87684,,,
2023-08-18,189.15735,190.41559,,,
2023-08-21,188.42237,189.96851,,,
2023-08-22,187.71585,189.51381,,,
2023-08-23,187.41957,189.23797,,,
2023-08-24,186.77348,188.79219,,,
2023-08-25,186.34679,188.43721,,,
2023-08-28,186.23805,188.23001,,,
2023-08-29,186.5445,188.23001,,,
2023-08-30,186.91304,188.2826,,,
2023-08-31,187.17411,188.30685,,,
2023-09-01,187.73963,188.49523,,,
2023-09-05,187.59969,188.37188,,,
2023-09-06,187.37358,188.20581,,,
2023-09-07,186.90534,187.91871,,,
2023-09-08,186.44606,187.62251,,,
2023-09-11,186.12513,187.38084,,,
2023-09-12,185.82588,187.14374,,,
2023-09-13,185.38651,186.83457,,,
2023-09-14,185.41166,186.73942,,,
2023-09-15,185.13448,186.50761,,,
2023-09-18,184.71225,186.2026,,,
2023-09-19,184.24575,185.86759,,,
2023-09-20,183.57102,185.42258,,,
2023-09-21,182.57086,184.80387,,,
2023-09-22,181.66304,184.20136,,,
2023-09-25,181.01642,183.702,,,
2023-09-26,179.99236,183.01,,,
2023-09-27,179.37661,182.49,,,
2023-09-28,179.10021,182.1263,,,
2023-09-29,178.7371,181.72731,,,
2023-10-02,178.01908,181.1601,,,
2023-10-03,176.96076,180.41787,,,
2023-10-04,176.07757,179.73655,,,
2023-10-05,175.35025,179.11532,,,
2023-10-06,174.98867,178.66233,,,
2023-10-09,174.83657,178.31697,,,
2023-10-10,175.01094,178.14312,,,
2023-10-11,175.11233,177.95993,,,
2023-10-12,174.58736,177.49623,,,
2023-10-13,173.92315,176.96095,,,
2023-10-16,173.7842,176.66903,,,
2023-10-17,173.96355,176.54169,,,
2023-10-18,173.56147,176.15712,,,
2023-10-19,172.80124,175.59881,,,
2023-10-20,171.82259,174.92038,,,
2023-10-23,170.77758,174.18776,,,
2023-10-24,170.11488,173.61607,,,
2023-10-25,169.13105,172.88303,,,
2023-10-26,168.3632,172.2354,,,
2023-10-27,167.41655,171.49278,,,
2023-10-30,166.754,170.87183,,,
2023-10-31,166.41031,170.40132,,,
2023-11-01,166.26411,170.0353,,,
2023-11-02,166.81886,170.02306,,,
2023-11-03,167.99904,170.35394,,,
2023-11-06,168.66226,170.49883,,,
2023-11-07,169.1296,170.58781,,,
2023-11-08,169.24351,170.53464,,,
2023-11-09,168.93528,170.29059,,,
2023-11-10,168.96216,170.20314,,,
2023-11-13,168.99414,170.12661,,,
2023-11-14,170.45043,170.7439,,,
2023-11-15,171.73036,171.33843,,,
2023-11-16,172.36877,171.67484,,,
2023-11-17,173.27973,172.16485,,,
2023-11-20,174.21054,172.6956,,,
2023-11-21,174.64276,173.01593,,,
2023-11-22,175.17926,173.39475,,,
2023-11-24,175.81784,173.8344,,,
2023-11-27,176.26586,174.19704,,,
2023-11-28,176.5388,174.4817,,,
2023-11-29,176.91437,174.81491,,,
2023-11-30,177.33677,175.17381,,,
2023-12-01,178.50188,175.89501,,,
2023-12-04,179.79236,176.70945,,,
2023-12-05,180.49969,177.27838,,,
2023-12-06,181.04743,177.78072,,,
2023-12-07,181.71552,178.34437,,,
2023-12-08,182.49775,178.97071,,,
2023-12-11,183.21963,179.57955,,,
2023-12-12,183.80123,180.12921,,,
2023-12-13,185.26719,181.10705,,,
2023-12-14,187.33531,182.41097,,,
2023-12-15,188.82834,183.4946,,,
2023-12-18,190.10244,184.50315,,,
2023-12-19,191.76822,185.71995,,,
2023-12-20,192.46234,186.50218,,,
2023-12-21,193.56352,187.47387,,,
2023-12-22,194.78144,188.51136,,,
2023-12-26,196.21506,189.66607,,,
2023-12-27,197.5389,190.78858,,,
2023-12-28,198.53907,191.77017,,,
2023-12-29,198.87306,192.43238,,,
2024-01-02,198.97259,192.95739,6.0152,,
2024-01-03,198.23835,193.04944,5.18891,,
2024-01-04,197.5586,193.10652,4.45208,,
2024-01-05,196.89574,193.11715,3.77859,,
2024-01-08,196.87024,193.38477,3.48547,,
2024-01-09,196.5779,193.50219,3.07571,,
2024-01-10,196.34745,193.61906,2.72839,,
2024-01-11,195.91707,193.61394,2.30313,,
2024-01-12,195.50367,193.5855,1.91817,3.66063,-1.74246
2024-01-16,194.78618,193.38213,1.40405,3.20931,-1.80526
2024-01-17,193.96984,193.09308,0.87676,2.7428,-1.86604
2024-01-18,193.4514,192.90841,0.54299,2.30284,-1.75985
2024-01-19,193.29426,192.87297,0.42129,1.92653,-1.50524
2024-01-22,193.7936,193.1446,0.649,1.67102,-1.02202
2024-01-23,194.12843,193.35389,0.77454,1.49172,-0.71718
2024-01-24,194.16406,193.42842,0.73564,1.3405,-0.60486
2024-01-25,194.4419,193.61669,0.82521,1.23744,-0.41223
2024-01-26,194.67853,193.79175,0.88678,1.16731,-0.28053
2024-01-29,195.40645,194.20792,1.19853,1.17355,0.02498
2024-01-30,195.76084,194.46733,1.29351,1.19754,0.09597
2024-01-31,195.31763,194.34975,0.96788,1.15161,-0.18373
2024-02-01,195.33646,194.43051,0.90595,1.10248,-0.19653
2024-02-02,195.19393,194.42899,0.76494,1.03497,-0.27003
2024-02-05,194.69333,194.24462,0.44871,0.91772,-0.46901
2024-02-06,194.53589,194.20206,0.33383,0.80094,-0.46711
