Date,EMA(12),EMA(26),MACD,Signal,Histogram
2023-01-19,131.88667,,,,
2023-01-20,133.03795,,,,
2023-01-23,134.61211,,,,
2023-01-24,135.92409,,,,
2023-01-25,136.78192,,,,
2023-01-26,138.40009,,,,
2023-01-27,140.45238,,,,
2023-01-30,141.46894,,,,
2023-01-31,142.62295,,,,
2023-02-01,144.23788,,,,
2023-02-02,151.08898,,,,
2023-02-03,156.54144,,,,
2023-02-06,161.08276,,,,
2023-02-07,165.7808,,,,
2023-02-08,168.49606,147.48154,,,
2023-02-09,169.9459,149.73624,,,
2023-02-10,170.59268,151.54467,,,
2023-02-13,171.95227,153.61025,,,
2023-02-14,173.11038,155.52653,,,
2023-02-15,173.7334,157.12901,,,
2023-02-16,173.53442,158.26316,,,
2023-02-17,173.43374,159.34589,,,
2023-02-21,173.22547,160.28916,,,
2023-02-22,172.90155,161.09144,,,
2023-02-23,172.769,161.90244,,,
2023-02-24,172.403,162.53115,,,
2023-02-27,171.96254,163.05032,,,
2023-02-28,172.42061,163.93104,,,
2023-03-01,172.57436,164.63393,,,
2023-03-02,172.87523,165.36697,,,
2023-03-03,174.77904,166.83979,,,
2023-03-06,176.33611,168.17758,,,
2023-03-07,177.59363,169.38739,,,
2023-03-08,178.72846,170.54166,,,
2023-03-09,179.18408,171.36746,,,
2023-03-10,179.23422,171.97061,,,
2023-03-13,179.49049,172.63205,,,
2023-03-14,181.7258,174.21634,,,
2023-03-15,184.19106,175.95957,,,
2023-03-16,187.38167,178.10553,,,
2023-03-17,188.64757,179.40216,,,
2023-03-20,190.05717,180.7657,,,
2023-03-21,191.91914,182.35046,,,
2023-03-22,193.13312,183.64376,,,
2023-03-23,194.84802,185.17237,,,
2023-03-24,196.56525,186.7159,,,
2023-03-27,197.5306,187.91028,,,
2023-03-28,198.01512,188.85619,,,
2023-03-29,199.14356,190.07795,,,
2023-03-30,200.48147,191.39366,,,
2023-03-31,202.24432,192.91561,,,
2023-04-03,203.90981,194.40853,,,
2023-04-04,205.57292,195.91308,,,
2023-04-05,206.4817,197.06619,,,
2023-04-06,207.96144,198.4761,,,
2023-04-10,209.00583,199.68157,,,
2023-04-11,209.75109,200.73108,,,
2023-04-12,210.40477,201.71396,,,
2023-04-13,211.93481,203.09441,,,
2023-04-14,213.40484,204.45705,,,
2023-04-17,214.2441,205.52394,,,
2023-04-18,214.80501,206.43994,,,
2023-04-19,214.9427,207.12587,,,
2023-04-20,214.65459,207.56618,,,
2023-04-21,214.38311,207.96054,,,
2023-04-24,214.13802,208.31828,,,
2023-04-25,213.12448,208.26137,,,
2023-04-26,212.55148,208.34571,,,
2023-04-27,216.55279,210.58381,,,
2023-04-28,220.20928,212.78649,,,
2023-05-01,223.74324,215.03786,,,
2023-05-02,226.12736,216.83061,,,
2023-05-03,227.80469,218.32686,,,
2023-05-04,228.68397,219.45228,,,
2023-05-05,229.31413,220.43952,,,
2023-05-08,229.92273,221.38993,,,
2023-05-09,230.45308,222.27734,,,
2023-05-10,230.85722,223.07754,,,
2023-05-11,231.61611,224.0192,,,
2023-05-12,231.95363,224.74444,,,
2023-05-15,233.01615,225.79004,,,
2023-05-16,233.90905,226.75522,,,
2023-05-17,235.2292,227.92076,,,
2023-05-18,237.01702,229.32293,,,
2023-05-19,238.34363,230.5316,,,
2023-05-22,239.87846,231.84926,,,
2023-05-23,240.93408,232.95228,,,
2023-05-24,242.2073,234.15656,,,
2023-05-25,243.82002,235.52941,,,
2023-05-26,246.62309,237.49316,,,
2023-05-30,249.06877,239.347,,,
2023-05-31,251.47665,241.22648,,,
2023-06-01,254.72793,243.55119,,,
2023-06-02,257.47902,245.70369,,,
2023-06-05,259.61917,247.60638,,,
2023-06-06,261.38853,249.34813,,,
2023-06-07,261.72876,250.40382,,,
2023-06-08,262.16741,251.45391,,,
2023-06-09,262.5955,252.45362,,,
2023-06-12,263.89619,253.83113,,,
2023-06-13,265.03831,255.1266,,,
2023-06-14,266.31703,256.47648,,,
2023-06-15,268.70364,258.35452,,,
2023-06-16,270.59539,260.03196,,,
2023-06-20,272.70841,261.83181,,,
2023-06-21,274.0825,263.29908,,,
2023-06-22,275.74365,264.89767,,,
2023-06-23,277.74155,266.66303,,,
2023-06-26,277.85362,267.53762,,,
2023-06-27,279.26845,268.98298,,,
2023-06-28,280.19484,270.19091,,,
2023-06-29,280.40025,271.03084,,,
2023-06-30,281.41252,272.21226,,,
2023-07-03,282.12136,273.23506,,,
2023-07-05,284.00577,274.80061,,,
2023-07-06,285.23411,276.0739,,,
2023-07-07,286.04886,277.14472,,,
2023-07-10,287.2875,278.40067,,,
2023-07-11,288.98019,279.87395,,,
2023-07-12,292.11247,282.05662,,,
2023-07-13,295.38901,284.37909,,,
2023-07-14,297.46301,286.19323,,,
2023-07-17,299.48716,288.00262,,,
2023-07-18,301.4199,289.78391,,,
2023-07-19,303.66453,291.72658,,,
2023-07-20,303.48845,292.52609,,,
2023-07-21,302.06869,292.65453,,,
2023-07-24,300.45966,292.57716,,,
2023-07-25,299.53817,292.71737,,,
2023-07-26,299.38922,293.1509,,,
2023-07-27,301.28472,294.52565,,,
2023-07-28,305.00707,296.81856,,,
2023-07-31,307.09829,298.432,,,
2023-08-01,309.50009,300.23037,,,
2023-08-02,310.24008,301.27331,,,
2023-08-03,310.69391,302.15603,,,
2023-08-04,310.69946,302.79114,,,
2023-08-07,311.60108,303.81106,,,
2023-08-08,311.76091,304.46506,,,
2023-08-09,310.75308,304.52024,,,
2023-08-10,309.98184,304.61059,,,
2023-08-11,308.69848,304.39055,,,
2023-08-14,308.31256,304.52384,,,
2023-08-15,307.3337,304.33319,,,
2023-08-16,305.32698,303.58925,,,
2023-08-17,302.2136,302.21894,,,
2023-08-18,299.29612,300.81383,,,
2023-08-21,297.85056,300.0054,,,
2023-08-22,296.27355,299.08648,,,
2023-08-23,295.9607,298.72748,,,
2023-08-24,294.54367,297.84026,,,
2023-08-25,293.15234,296.92617,,,
2023-08-28,292.70736,296.43238,,,
2023-08-29,293.52007,296.54776,,,
2023-08-30,293.76314,296.44052,,,
2023-08-31,294.09035,296.39974,,,
2023-09-01,294.4426,296.39828,,,
2023-09-05,295.32066,296.67619,,,
2023-09-06,295.91287,296.86092,,,
2023-09-07,296.33704,296.99493,,,
2023-09-08,296.57596,297.06123,,,
2023-09-11,298.26581,297.83892,,,
2023-09-12,298.78799,298.12196,,,
2023-09-13,299.75291,298.63589,,,
2023-09-14,301.594,299.60508,,,
2023-09-15,301.39646,299.6573,,,
2023-09-18,301.57393,299.87157,,,
2023-09-19,302.11179,300.25664,,,
2023-09-20,301.73613,300.21319,,,
2023-09-21,300.81211,299.8811,,,
2023-09-22,300.54563,299.82176,,,
2023-09-25,300.58938,299.89644,,,
2023-09-26,300.33871,299.82707,,,
2023-09-27,299.93891,299.67247,,,
2023-09-28,300.55754,299.99006,,,
2023-09-29,300.50407,300.00635,,,
2023-10-02,301.47575,300.51106,,,
2023-10-03,301.39333,300.54283,,,
2023-10-04,302.03743,300.91595,,,
2023-10-05,302.4609,301.20292,,,
2023-10-06,304.45615,302.25678,,,
2023-10-09,306.5952,303.44961,,,
2023-10-10,308.94055,304.81186,,,
2023-10-11,311.84508,306.51617,,,
2023-10-12,313.73968,307.82312,,,
2023-10-13,313.88588,308.33178,,,
2023-10-16,315.00344,309.28128,,,
2023-10-17,316.38753,310.37156,,,
2023-10-18,316.47714,310.86033,,,
2023-10-19,315.91296,311.00475,,,
2023-10-20,314.79558,310.83032,,,
2023-10-23,314.67472,311.06585,,,
2023-10-24,314.34784,311.17579,,,
2023-10-25,312.06817,310.31314,,,
2023-10-26,308.41922,308.68624,,,
2023-10-27,306.62088,307.80059,,,
2023-10-30,306.01151,307.41981,,,
2023-10-31,305.28205,306.96427,,,
2023-11-01,306.2925,307.32618,,,
2023-11-02,306.99673,307.58869,,,
2023-11-03,308.16646,308.10805,,,
2023-11-06,309.34085,308.67782,,,
2023-11-07,310.79918,309.42909,,,
2023-11-08,312.18084,310.19582,,,
2023-11-09,313.4684,310.9628,,,
2023-11-10,315.82249,312.28185,,,
2023-11-13,317.87903,313.53431,,,
2023-11-14,320.71456,315.2214,,,
2023-11-15,322.56001,316.51685,,,
2023-11-16,324.34924,317.82597,,,
2023-11-17,325.99397,319.10108,,,
2023-11-20,328.14413,320.64693,,,
2023-11-21,329.50349,321.85679,,,
2023-11-22,331.34757,323.3111,,,
2023-11-24,332.40641,324.4162,,,
2023-11-27,332.75927,325.17796,,,
2023-11-28,333.71784,326.20107,,,
2023-11-29,333.48433,326.64544,,,
2023-11-30,332.50982,326.68281,,,
2023-12-01,331.32677,326.54482,,,
2023-12-04,329.58727,326.0615,,,
2023-12-05,327.84923,325.48583,,,
2023-12-06,326.24935,324.89058,,,
2023-12-07,326.30176,325.01646,,,
2023-12-08,327.2938,325.58931,,,
2023-12-11,326.98398,325.5664,,,
2023-12-12,328.09721,326.20741,,,
2023-12-13,329.11918,326.83945,,,
2023-12-14,329.74238,327.30838,,,
2023-12-15,330.53894,327.8722,,,
2023-12-18,332.70526,329.11278,,,
2023-12-19,335.42137,330.68665,,,
2023-12-20,337.55347,332.06394,,,
2023-12-21,340.09755,333.6955,,,
2023-12-22,342.14254,335.15435,,,
2023-12-26,344.09446,336.61181,,,
2023-12-27,346.20762,338.18353,,,
2023-12-28,348.07106,339.67512,,,
2023-12-29,348.97705,340.73326,,,
2024-01-02,348.56366,341.14487,7.41879,,
2024-01-03,347.93387,341.39118,6.54269,,
2024-01-04,347.80866,341.81554,5.99312,,
2024-01-05,348.44579,342.56624,5.87955,,
2024-01-08,350.01721,343.75837,6.25884,,
2024-01-09,351.15764,344.77108,6.38656,,
2024-01-10,354.12877,346.6747,7.45407,,
2024-01-11,356.51973,348.37806,8.14167,,
2024-01-12,359.28439,350.31228,8.97211,7.00527,1.96684
2024-01-16,360.54218,351.58248,8.9597,7.39616,1.56354
2024-01-17,361.74646,352.826,8.92046,7.70102,1.21944
