Date,EMA(12),EMA(26),MACD,Signal,Histogram
2023-01-19,232.79083,,,,
2023-01-20,233.93378,,,,
2023-01-23,235.26397,,,,
2023-01-24,236.30644,,,,
2023-01-25,236.96853,,,,
2023-01-26,238.66568,,,,
2023-01-27,240.12634,,,,
2023-01-30,240.52383,,,,
2023-01-31,241.64478,,,,
2023-02-01,243.35328,,,,
2023-02-02,246.62201,,,,
2023-02-03,248.42632,,,,
2023-02-06,249.70996,,,,
2023-02-07,252.45612,,,,
2023-02-08,254.6521,242.78385,,,
2023-02-09,256.03178,244.32727,,,
2023-02-10,257.1192,245.71784,,,
2023-02-13,259.30394,247.6143,,,
2023-02-14,261.28333,249.43324,,,
2023-02-15,262.51974,250.90633,,,
2023-02-16,262.46286,251.73919,,,
2023-02-17,261.7855,252.2074,,,
2023-02-21,260.38312,252.24167,,,
2023-02-22,259.01802,252.18747,,,
2023-02-23,258.36448,252.37877,,,
2023-02-24,256.95764,252.14479,,,
2023-02-27,255.91185,251.99777,,,
2023-02-28,254.9131,251.80682,,,
2023-03-01,253.58339,251.39669,,,
2023-03-02,253.20287,251.37545,,,
2023-03-03,253.52397,251.66542,,,
2023-03-06,254.03874,252.05094,,,
2023-03-07,254.05586,252.20643,,,
2023-03-08,254.00111,252.31706,,,
2023-03-09,253.74248,252.31728,,,
2023-03-10,252.94979,252.04119,,,
2023-03-13,253.09905,252.18036,,,
2023-03-14,254.28227,252.81811,,,
2023-03-15,255.99884,253.75306,,,
2023-03-16,259.10671,255.4158,,,
2023-03-17,262.23337,257.19463,,,
2023-03-20,263.77131,258.30836,,,
2023-03-21,265.31111,259.45441,,,
2023-03-22,266.38479,260.40519,,,
2023-03-23,268.11944,261.68332,,,
2023-03-24,270.03491,263.08233,,,
2023-03-27,271.01108,264.06734,,,
2023-03-28,271.66014,264.8942,,,
2023-03-29,273.02166,266.05093,,,
2023-03-30,274.71833,267.38419,,,
2023-03-31,276.80782,268.93351,,,
2023-04-03,278.41123,270.28881,,,
2023-04-04,279.76027,271.54001,,,
2023-04-05,280.46484,272.48816,,,
2023-04-06,282.17794,273.90385,,,
2023-04-10,283.28749,275.05097,,,
2023-04-11,283.21711,275.62719,,,
2023-04-12,283.25909,276.20962,,,
2023-04-13,284.27154,277.21928,,,
2023-04-14,284.559,277.88007,,,
2023-04-17,285.21146,278.68895,,,
2023-04-18,285.69739,279.40606,,,
2023-04-19,286.12087,280.07598,,,
2023-04-20,286.1192,280.52294,,,
2023-04-21,286.06394,280.91087,,,
2023-04-24,285.40333,280.97451,,,
2023-04-25,283.86743,280.56306,,,
2023-04-26,285.63706,281.65987,,,
2023-04-27,288.58982,283.37618,,,
2023-04-28,291.46216,285.14535,,,
2023-05-01,293.63106,286.65755,,,
2023-05-02,295.4432,288.04662,,,
2023-05-03,296.82117,289.25798,,,
2023-05-04,298.14253,290.45443,,,
2023-05-05,300.06676,291.9504,,,
2023-05-08,301.38726,293.18741,,,
2023-05-09,302.25076,294.21056,,,
2023-05-10,303.79834,295.55126,,,
2023-05-11,304.76936,296.62969,,,
2023-05-12,305.41561,297.54379,,,
2023-05-15,306.03782,298.42647,,,
2023-05-16,306.91508,299.41266,,,
2023-05-17,308.00507,300.4932,,,
2023-05-18,309.62275,301.82852,,,
2023-05-19,310.96387,303.05159,,,
2023-05-22,312.53558,304.39444,,,
2023-05-23,312.95472,305.1993,,,
2023-05-24,313.09246,305.84009,,,
2023-05-25,315.06593,307.32749,,,
2023-05-26,317.80809,309.22101,,,
2023-05-30,319.86992,310.84982,,,
2023-05-31,321.1807,312.14909,,,
2023-06-01,322.93444,313.66249,,,
2023-06-02,324.85222,315.27268,,,
2023-06-05,326.55803,316.80359,,,
2023-06-06,327.65372,318.05369,,,
2023-06-07,326.99622,318.44823,,,
2023-06-08,326.72911,318.95281,,,
2023-06-09,326.73848,319.53334,,,
2023-06-12,327.52487,320.44569,,,
2023-06-13,328.56566,321.47119,,,
2023-06-14,329.91556,322.64666,,,
2023-06-15,332.71317,324.53209,,,
2023-06-16,334.19268,325.85045,,,
2023-06-20,334.78611,326.75412,,,
2023-06-21,334.59748,327.25826,,,
2023-06-22,335.38402,328.18061,,,
2023-06-23,335.32802,328.68723,,,
2023-06-26,334.29294,328.68077,,,
2023-06-27,334.33556,329.11701,,,
2023-06-28,334.56855,329.61575,,,
2023-06-29,334.64262,330.01829,,,
2023-06-30,335.54991,330.79768,,,
2023-07-03,335.92531,331.33044,,,
2023-07-05,336.26757,331.83559,,,
2023-07-06,337.03717,332.53444,,,
2023-07-07,337.0653,332.88152,,,
2023-07-10,336.25987,332.80363,,,
2023-07-11,335.67681,332.77892,,,
2023-07-12,335.91115,333.10641,,,
2023-07-13,336.94943,333.81408,,,
2023-07-14,338.2249,334.66044,,,
2023-07-17,339.37953,335.48041,,,
2023-07-18,342.47345,337.2589,,,
2023-07-19,344.41292,338.57898,,,
2023-07-20,344.79093,339.19313,,,
2023-07-21,344.63386,339.53216,,,
2023-07-24,344.70711,339.94533,,,
2023-07-25,345.67217,340.76271,,,
2023-07-26,344.45645,340.54103,,,
2023-07-27,342.34315,339.81355,,,
2023-07-28,341.7319,339.70662,,,
2023-07-31,340.83776,339.42613,,,
2023-08-01,340.1458,339.19753,,,
2023-08-02,338.20029,338.33105,,,
2023-08-03,336.42486,337.46653,,,
2023-08-04,335.09488,336.74901,,,
2023-08-07,334.32798,336.25723,,,
2023-08-08,333.05444,335.50114,,,
2023-08-09,331.38914,334.51809,,,
2023-08-10,330.08773,333.65971,,,
2023-08-11,328.69116,332.72269,,,
2023-08-14,327.9756,332.07953,,,
2023-08-15,327.03474,331.32253,,,
2023-08-16,326.01401,330.51345,,,
2023-08-17,324.60878,329.50356,,,
2023-08-18,323.3582,328.53885,,,
2023-08-21,323.13078,328.0456,,,
2023-08-22,323.02758,327.63185,,,
2023-08-23,323.63872,327.58505,,,
2023-08-24,323.0743,327.02097,,,
2023-08-25,323.05979,326.72164,,,
2023-08-28,323.15828,326.49781,,,
2023-08-29,323.96624,326.63945,,,
2023-08-30,324.70836,326.79875,,,
2023-08-31,325.17784,326.86995,,,
2023-09-01,325.71356,327.00255,,,
2023-09-05,326.91917,327.48755,,,
2023-09-06,327.83622,327.88699,,,
2023-09-07,328.15526,328.03684,,,
2023-09-08,329.09599,328.49856,,,
2023-09-11,330.45661,329.19793,,,
2023-09-12,330.65867,329.38845,,,
2023-09-13,331.48964,329.88264,,,
2023-09-14,332.59893,330.53578,,,
2023-09-15,332.23294,330.51239,,,
2023-09-18,331.7448,330.40481,,,
2023-09-19,331.26868,330.27482,,,
2023-09-20,329.6535,329.57076,,,
2023-09-21,328.09604,328.827,,,
2023-09-22,326.3905,327.95167,,,
2023-09-25,325.02888,327.18044,,,
2023-09-26,323.04598,326.06633,,,
2023-09-27,321.46814,325.0829,,,
2023-09-28,320.26381,324.23528,,,
2023-09-29,319.56938,323.60674,,,
2023-10-02,319.91255,323.47291,,,
2023-10-03,318.90908,322.72603,,,
2023-10-04,318.91691,322.44706,,,
2023-10-05,318.98508,322.21839,,,
2023-10-06,320.25814,322.59184,,,
2023-10-09,321.7292,323.12726,,,
2023-10-10,322.75394,323.51709,,,
2023-10-11,324.24103,324.17656,,,
2023-10-12,325.30549,324.69385,,,
2023-10-13,325.67849,324.91875,,,
2023-10-16,326.74949,325.49069,,,
2023-10-17,327.56649,325.97731,,,
2023-10-18,327.9578,326.28344,,,
2023-10-19,328.47506,326.65652,,,
2023-10-20,328.19736,326.65752,,,
2023-10-23,328.37007,326.85474,,,
2023-10-24,328.70237,327.12698,,,
2023-10-25,330.54354,328.13017,,,
2023-10-26,330.1353,328.11238,,,
2023-10-27,330.08525,328.23813,,,
2023-10-30,331.19675,328.91012,,,
2023-10-31,332.26033,329.59159,,,
2023-11-01,334.38489,330.81221,,,
2023-11-02,336.52875,332.10908,,,
2023-11-03,339.03202,333.64174,,,
2023-11-06,341.72402,335.33717,,,
2023-11-07,344.61725,337.20331,,,
2023-11-08,347.47613,339.12899,,,
2023-11-09,349.50903,340.7261,,,
2023-11-10,352.61072,342.87009,,,
2023-11-13,354.77522,344.63379,,,
2023-11-14,357.15903,346.53277,,,
2023-11-15,359.08379,348.24664,,,
2023-11-16,361.71244,350.31504,,,
2023-11-17,362.96437,351.76207,,,
2023-11-20,365.19139,353.66414,,,
2023-11-21,366.40348,355.10161,,,
2023-11-22,368.16448,356.78668,,,
2023-11-24,369.58994,358.31581,,,
2023-11-27,370.97764,359.81908,,,
2023-11-28,372.78108,361.51396,,,
2023-11-29,373.71476,362.79811,,,
2023-11-30,374.51403,363.99158,,,
2023-12-01,374.51341,364.77072,,,
2023-12-04,373.68673,365.09437,,,
2023-12-05,373.50723,365.64442,,,
2023-12-06,372.78304,365.87817,,,
2023-12-07,372.50103,366.25386,,,
2023-12-08,372.76703,366.84469,,,
2023-12-11,372.54133,367.17471,,,
2023-12-12,372.8242,367.70844,,,
2023-12-13,373.06202,368.20189,,,
2023-12-14,371.96479,368.0336,,,
2023-12-15,371.77482,368.23333,,,
2023-12-18,371.90946,368.56049,,,
2023-12-19,372.11724,368.9086,,,
2023-12-20,371.8869,369.03537,,,
2023-12-21,372.14122,369.36905,,,
2023-12-22,372.51642,369.75505,,,
2023-12-26,372.8462,370.11838,,,
2023-12-27,373.03448,370.41109,,,
2023-12-28,373.37994,370.77175,,,
2023-12-29,373.78918,371.16199,,,
2024-01-02,373.34008,371.14036,2.19972,,
2024-01-03,372.91853,371.10033,1.8182,,
2024-01-04,372.1526,370.86623,1.28637,,
2024-01-05,371.47528,370.6354,0.83988,,
2024-01-08,371.96985,370.93574,1.03411,,
2024-01-09,372.55757,371.29531,1.26226,,
2024-01-10,374.12871,372.14529,1.98342,,
2024-01-11,375.74429,373.07008,2.67421,,
2024-01-12,377.70209,374.21081,3.49128,1.84327,1.64801
2024-01-16,379.63561,375.40038,4.23523,2.32166,1.91357
2024-01-17,381.14859,376.44257,4.70602,2.79853,1.90749
2024-01-18,383.10573,377.73349,5.37224,3.31327,2.05897
2024-01-19,385.50023,379.28434,6.21589,3.89379,2.3221
2024-01-22,387.19404,380.56031,6.63373,4.44178,2.19195
2024-01-23,388.99496,381.91881,7.07615,4.96865,2.1075
2024-01-24,391.08189,383.44779,7.6341,5.50174,2.13236
2024-01-25,393.20314,385.03462,8.16852,6.0351,2.13342
2024-01-26,394.85343,386.43428,8.41915,6.51191,1.90724
2024-01-29,397.14059,388.15915,8.98144,7.00582,1.97562
2024-01-30,398.90204,389.67255,9.22949,7.45055,1.77894
2024-01-31,398.69865,390.25829,8.44036,7.64851,0.79185
2024-02-01,399.4804,391.2599,8.2205,7.76291,0.45759
2024-02-02,401.28649,392.73843,8.54806,7.91994,0.62812
2024-02-05,401.9578,393.69484,8.26296,7.98854,0.27442
2024-02-06,402.50122,394.56856,7.93266,7.97736,-0.0447
2024-02-07,404.27796,396.01163,8.26633,8.03515,0.23118
2024-02-08,405.79058,397.35225,8.43833,8.11579,0.32254
2024-02-09,408.06126,399.0706,8.99066,8.29076,0.6999
2024-02-12,409.16876,400.26981,8.89895,8.4124,0.48655
2024-02-13,408.73049,400.71797,8.01252,8.33242,-0.3199
2024-02-14,408.84734,401.36775,7.47959,8.16185,-0.68226
2024-02-15,408.49544,401.75236,6.74308,7.8781,-1.13502
