Date,EMA(12),EMA(26),MACD,Signal,Histogram
2023-01-19,55.96667,,,,
2023-01-20,56.35026,,,,
2023-01-23,57.19176,,,,
2023-01-24,57.81764,,,,
2023-01-25,58.39031,,,,
2023-01-26,59.06872,,,,
2023-01-27,59.80738,,,,
2023-01-30,60.10009,,,,
2023-01-31,60.13085,,,,
2023-02-01,60.51072,,,,
2023-02-02,60.91984,,,,
2023-02-03,61.1491,,,,
2023-02-06,60.96924,,,,
2023-02-07,61.14782,,,,
2023-02-08,61.00969,58.99615,,,
2023-02-09,60.88205,59.08384,,,
2023-02-10,60.71866,59.13837,,,
2023-02-13,60.62656,59.21108,,,
2023-02-14,60.84863,59.42285,,,
2023-02-15,61.00115,59.6019,,,
2023-02-16,60.85482,59.63509,,,
2023-02-17,60.571,59.58879,,,
2023-02-21,60.11392,59.44147,,,
2023-02-22,59.63178,59.25914,,,
2023-02-23,59.49612,59.22143,,,
2023-02-24,59.29364,59.14429,,,
2023-02-27,59.07923,59.05212,,,
2023-02-28,58.8855,58.96085,,,
2023-03-01,58.64773,58.84079,,,
2023-03-02,58.30654,58.66221,,,
2023-03-03,58.07169,58.52279,,,
2023-03-06,57.88066,58.3974,,,
2023-03-07,57.52364,58.18722,,,
2023-03-08,57.42616,58.09113,,,
2023-03-09,57.14521,57.9066,,,
2023-03-10,56.80441,57.68611,,,
2023-03-13,56.35758,57.40566,,,
2023-03-14,56.03641,57.17339,,,
2023-03-15,55.74312,56.94795,,,
2023-03-16,55.87033,56.91995,,,
2023-03-17,55.99182,56.90069,,,
2023-03-20,56.24539,56.95545,,,
2023-03-21,56.61225,57.07949,,,
2023-03-22,56.8519,57.16027,,,
2023-03-23,57.54238,57.46988,,,
2023-03-24,58.09894,57.74322,,,
2023-03-27,58.3591,57.89483,,,
2023-03-28,58.50078,57.99744,,,
2023-03-29,59.27604,58.408,,,
2023-03-30,59.8628,58.75481,,,
2023-03-31,59.93622,58.87223,,,
2023-04-03,59.88603,58.92688,,,
2023-04-04,59.48356,58.80415,,,
2023-04-05,59.10455,58.67199,,,
2023-04-06,59.02077,58.66369,,,
2023-04-10,59.6745,59.0049,,,
2023-04-11,60.27381,59.34306,,,
2023-04-12,60.53322,59.53691,,,
2023-04-13,60.91272,59.79344,,,
2023-04-14,61.17692,60.00356,,,
2023-04-17,61.38662,60.19144,,,
2023-04-18,61.47022,60.32022,,,
2023-04-19,61.34403,60.34465,,,
2023-04-20,61.36187,60.42727,,,
2023-04-21,61.3262,60.47932,,,
2023-04-24,61.04678,60.40752,,,
2023-04-25,60.59958,60.23956,,,
2023-04-26,60.66426,60.29737,,,
2023-04-27,60.85437,60.41608,,,
2023-04-28,61.3937,60.70822,,,
2023-05-01,61.54082,60.82983,,,
2023-05-02,61.59608,60.9091,,,
2023-05-03,61.49053,60.90917,,,
2023-05-04,61.33968,60.8796,,,
2023-05-05,61.32281,60.90556,,,
2023-05-08,61.25315,60.90293,,,
2023-05-09,61.20343,60.90494,,,
2023-05-10,61.01675,60.83717,,,
2023-05-11,61.10802,60.89442,,,
2023-05-12,61.07909,60.89631,,,
2023-05-15,61.62692,61.17362,,,
2023-05-16,61.95047,61.36298,,,
2023-05-17,62.40732,61.62646,,,
2023-05-18,63.20158,62.06672,,,
2023-05-19,63.96595,62.51881,,,
2023-05-22,64.31427,62.79371,,,
2023-05-23,64.57515,63.03195,,,
2023-05-24,64.8759,63.29106,,,
2023-05-25,65.60422,63.75913,,,
2023-05-26,66.88511,64.51253,,,
2023-05-30,67.62432,65.04419,,,
2023-05-31,67.71289,65.27795,,,
2023-06-01,67.92475,65.56032,,,
2023-06-02,68.11633,65.8277,,,
2023-06-05,68.06305,65.97157,,,
2023-06-06,67.98258,66.08775,,,
2023-06-07,67.84064,66.15977,,,
2023-06-08,67.45285,66.09756,,,
2023-06-09,67.14164,66.04811,,,
2023-06-12,67.18908,66.15195,,,
2023-06-13,67.29384,66.27921,,,
2023-06-14,67.57479,66.48964,,,
2023-06-15,67.76636,66.66226,,,
2023-06-16,67.75,66.73617,,,
2023-06-20,67.61923,66.74831,,,
2023-06-21,67.33935,66.67806,,,
2023-06-22,67.17176,66.64635,,,
2023-06-23,66.88072,66.54514,,,
2023-06-26,66.66061,66.46402,,,
2023-06-27,66.68052,66.48817,,,
2023-06-28,66.74044,66.53127,,,
2023-06-29,66.3696,66.36821,,,
2023-06-30,65.86812,66.12686,,,
2023-07-03,65.56533,65.96191,,,
2023-07-05,65.02605,65.67288,,,
2023-07-06,64.44204,65.34378,,,
2023-07-07,63.85865,64.99609,,,
2023-07-10,63.64655,64.80971,,,
2023-07-11,63.63939,64.7201,,,
2023-07-12,63.66256,64.6512,,,
2023-07-13,63.79601,64.64222,,,
2023-07-14,63.8397,64.60057,,,
2023-07-17,64.04282,64.64201,,,
2023-07-18,64.18085,64.66408,,,
2023-07-19,64.30072,64.686,,,
2023-07-20,64.36061,64.6863,,,
2023-07-21,64.55898,64.75769,,,
2023-07-24,64.70068,64.81119,,,
2023-07-25,64.85134,64.87555,,,
2023-07-26,65.24036,65.06106,,,
2023-07-27,66.13723,65.50617,,,
2023-07-28,66.91612,65.92794,,,
2023-07-31,67.60441,66.33254,,,
2023-08-01,68.08989,66.6605,,,
2023-08-02,68.10221,66.77231,,,
2023-08-03,68.26802,66.95066,,,
2023-08-04,68.52063,67.16987,,,
2023-08-07,68.65284,67.33358,,,
2023-08-08,68.49856,67.35702,,,
2023-08-09,68.22186,67.30835,,,
2023-08-10,67.79388,67.16995,,,
2023-08-11,67.26713,66.96255,,,
2023-08-14,67.42296,67.06014,,,
2023-08-15,67.10097,66.93198,,,
2023-08-16,66.65774,66.73109,,,
2023-08-17,66.18116,66.49619,,,
2023-08-18,65.78252,66.28092,,,
2023-08-21,65.50213,66.109,,,
2023-08-22,65.18026,65.90907,,,
2023-08-23,65.18176,65.85581,,,
2023-08-24,64.95226,65.69538,,,
2023-08-25,64.76268,65.54906,,,
2023-08-28,64.84688,65.53135,,,
2023-08-29,65.1289,65.61644,,,
2023-08-30,65.58445,65.79967,,,
2023-08-31,66.25453,66.10636,,,
2023-09-01,66.89076,66.42367,,,
2023-09-05,67.41372,66.71006,,,
2023-09-06,67.87469,66.98413,,,
2023-09-07,68.18166,67.1979,,,
2023-09-08,68.4891,67.4188,,,
2023-09-11,68.72616,67.61222,,,
2023-09-12,68.96983,67.81206,,,
2023-09-13,69.25909,68.03709,,,
2023-09-14,69.64846,68.31508,,,
2023-09-15,69.68408,68.431,,,
2023-09-18,69.80961,68.58426,,,
2023-09-19,69.94813,68.74172,,,
2023-09-20,69.90688,68.81122,,,
2023-09-21,69.59813,68.74372,,,
2023-09-22,69.48765,68.75381,,,
2023-09-25,69.34801,68.74094,,,
2023-09-26,69.13139,68.68161,,,
2023-09-27,68.98964,68.64668,,,
2023-09-28,68.40662,68.39137,,,
2023-09-29,68.34868,68.3646,,,
2023-10-02,68.28888,68.33463,,,
2023-10-03,68.21828,68.29725,,,
2023-10-04,68.20162,68.28338,,,
2023-10-05,68.33214,68.34017,,,
2023-10-06,68.58258,68.46016,,,
2023-10-09,68.72064,68.5357,,,
2023-10-10,68.77439,68.57528,,,
2023-10-11,68.99525,68.69637,,,
2023-10-12,69.11137,68.77442,,,
2023-10-13,69.12654,68.80669,,,
2023-10-16,69.11938,68.82694,,,
2023-10-17,69.10101,68.83976,,,
2023-10-18,69.10701,68.862,,,
2023-10-19,68.86439,68.76333,,,
2023-10-20,68.61141,68.64901,,,
2023-10-23,68.34504,68.51797,,,
2023-10-24,68.30273,68.48479,,,
2023-10-25,68.02539,68.33777,,,
2023-10-26,67.48764,68.05571,,,
2023-10-27,67.20493,67.87751,,,
2023-10-30,67.03033,67.74362,,,
2023-10-31,67.00566,67.67891,,,
2023-11-01,67.37402,67.8064,,,
2023-11-02,67.84571,68.00148,,,
2023-11-03,68.57406,68.34063,,,
2023-11-06,69.24267,68.67984,,,
2023-11-07,69.78995,68.98504,,,
2023-11-08,70.17303,69.22911,,,
2023-11-09,70.69564,69.55066,,,
2023-11-10,71.41323,69.98098,,,
2023-11-13,71.93119,70.33646,,,
2023-11-14,72.73716,70.84265,,,
2023-11-15,73.41452,71.30912,,,
2023-11-16,73.91536,71.70622,,,
2023-11-17,74.47607,72.13983,,,
2023-11-20,75.1136,72.61984,,,
2023-11-21,75.3592,72.92281,,,
2023-11-22,75.62702,73.23223,,,
2023-11-24,75.81825,73.50169,,,
2023-11-27,76.07852,73.7986,,,
2023-11-28,76.0849,73.97056,,,
2023-11-29,76.17799,74.172,,,
2023-11-30,76.16907,74.3163,,,
2023-12-01,76.13229,74.43583,,,
2023-12-04,75.84886,74.42503,,,
2023-12-05,75.51673,74.37058,,,
2023-12-06,75.14954,74.27869,,,
2023-12-07,74.91884,74.23212,,,
2023-12-08,74.92517,74.28604,,,
2023-12-11,75.36591,74.54559,,,
2023-12-12,75.79577,74.81332,,,
2023-12-13,76.41027,75.18196,,,
2023-12-14,77.29946,75.70107,,,
2023-12-15,77.93185,76.12395,,,
2023-12-18,78.49003,76.52662,,,
2023-12-19,79.05618,76.94465,,,
2023-12-20,78.99984,77.07394,,,
2023-12-21,79.99679,77.69661,,,
2023-12-22,80.99575,78.34797,,,
2023-12-26,81.92871,78.99331,,,
2023-12-27,82.6566,79.56121,,,
2023-12-28,83.17097,80.03816,,,
2023-12-29,83.50467,80.43089,,,
2024-01-02,83.32549,80.57231,2.75318,,
2024-01-03,83.16157,80.69732,2.46425,,
2024-01-04,83.0921,80.84641,2.24569,,
2024-01-05,83.14716,81.03927,2.10789,,
2024-01-08,83.42452,81.32895,2.09557,,
2024-01-09,83.40998,81.47718,1.9328,,
2024-01-10,83.25152,81.54406,1.70746,,
2024-01-11,83.27282,81.6808,1.59202,,
2024-01-12,83.137,81.73333,1.40367,2.03361,-0.62994
2024-01-16,83.36362,81.94642,1.4172,1.91033,-0.49313
2024-01-17,83.35076,82.0452,1.30556,1.78938,-0.48382
2024-01-18,83.5768,82.25074,1.32606,1.69672,-0.37066
2024-01-19,84.18191,82.64031,1.5416,1.6657,-0.1241
2024-01-22,84.96008,83.12918,1.8309,1.69874,0.13216
2024-01-23,85.35545,83.45517,1.90028,1.73905,0.16123
2024-01-24,85.77461,83.79775,1.97686,1.78661,0.19025
2024-01-25,86.30159,84.19792,2.10367,1.85002,0.25365
2024-01-26,86.57058,84.48326,2.08732,1.89748,0.18984
2024-01-29,86.95511,84.82302,2.13209,1.9444,0.18769
2024-01-30,86.83279,84.92206,1.91073,1.93767,-0.02694
2024-01-31,86.66621,84.98339,1.68282,1.8867,-0.20388
2024-02-01,86.50372,85.02981,1.47391,1.80414,-0.33023
2024-02-02,86.50007,85.13723,1.36284,1.71588,-0.35304
2024-02-05,86.57391,85.27373,1.30018,1.63274,-0.33256
2024-02-06,86.27023,85.22382,1.04641,1.51547,-0.46906
2024-02-07,86.10096,85.21983,0.88113,1.3886,-0.50747
2024-02-08,85.91312,85.19466,0.71846,1.25457,-0.53611
2024-02-09,85.85879,85.22172,0.63707,1.13107,-0.494
