Date,EMA(12),EMA(26),MACD,Signal,Histogram
2023-01-19,31.92333,,,,
2023-01-20,32.28128,,,,
2023-01-23,32.81339,,,,
2023-01-24,33.3621,,,,
2023-01-25,33.89101,,,,
2023-01-26,34.29085,,,,
2023-01-27,34.5661,,,,
2023-01-30,34.68055,,,,
2023-01-31,34.7897,,,,
2023-02-01,35.00667,,,,
2023-02-02,35.26564,,,,
2023-02-03,35.46939,,,,
2023-02-06,35.5741,,,,
2023-02-07,35.68578,,,,
2023-02-08,35.83874,34.15885,,,
2023-02-09,35.90201,34.31375,,,
2023-02-10,35.72324,34.34532,,,
2023-02-13,35.74428,34.45752,,,
2023-02-14,35.78362,34.57178,,,
2023-02-15,35.83845,34.68794,,,
2023-02-16,35.72023,34.71624,,,
2023-02-17,35.57866,34.72244,,,
2023-02-21,35.29733,34.65041,,,
2023-02-22,35.01928,34.56445,,,
2023-02-23,34.61016,34.40116,,,
2023-02-24,34.16552,34.20256,,,
2023-02-27,33.87852,34.06163,,,
2023-02-28,33.62182,33.92447,,,
2023-03-01,33.27231,33.73377,,,
2023-03-02,32.95195,33.54534,,,
2023-03-03,32.73165,33.39531,,,
2023-03-06,32.49601,33.23269,,,
2023-03-07,32.24278,33.05619,,,
2023-03-08,32.07928,32.91721,,,
2023-03-09,31.72554,32.68482,,,
2023-03-10,31.3493,32.43261,,,
2023-03-13,31.04172,32.20427,,,
2023-03-14,30.80299,32.00321,,,
2023-03-15,30.73791,31.88297,,,
2023-03-16,30.77977,31.81831,,,
2023-03-17,30.71365,31.70955,,,
2023-03-20,30.68232,31.62069,,,
2023-03-21,30.66658,31.5436,,,
2023-03-22,30.47018,31.38407,,,
2023-03-23,30.71169,31.43266,,,
2023-03-24,31.03912,31.53691,,,
2023-03-27,31.30541,31.62825,,,
2023-03-28,31.46612,31.68171,,,
2023-03-29,31.73287,31.79418,,,
2023-03-30,32.05704,31.94572,,,
2023-03-31,32.44057,32.13863,,,
2023-04-03,32.80817,32.33799,,,
2023-04-04,33.09614,32.51147,,,
2023-04-05,33.27212,32.63951,,,
2023-04-06,33.37333,32.7351,,,
2023-04-10,33.45436,32.82139,,,
2023-04-11,33.51061,32.89536,,,
2023-04-12,33.44744,32.91052,,,
2023-04-13,33.62783,33.03715,,,
2023-04-14,33.66355,33.0981,,,
2023-04-17,33.603,33.11083,,,
2023-04-18,33.56715,33.13003,,,
2023-04-19,33.37374,33.06929,,,
2023-04-20,33.24547,33.03008,,,
2023-04-21,33.17694,33.01304,,,
2023-04-24,33.13433,33.00467,,,
