Date,EMA(12),EMA(26),MACD,Signal,Histogram
2023-01-19,15.91667,,,,
2023-01-20,16.21257,,,,
2023-01-23,16.67064,,,,
2023-01-24,17.07054,,,,
2023-01-25,17.41661,,,,
2023-01-26,17.78329,,,,
2023-01-27,18.18125,,,,
2023-01-30,18.33183,,,,
2023-01-31,18.5177,,,,
2023-02-01,18.89036,,,,
2023-02-02,19.32415,,,,
2023-02-03,19.59736,,,,
2023-02-06,19.827,,,,
2023-02-07,20.18746,,,,
2023-02-08,20.49862,18.25808,,,
2023-02-09,20.78191,18.56044,,,
2023-02-10,20.857,18.76115,,,
2023-02-13,21.00054,18.98551,,,
2023-02-14,21.30353,19.28066,,,
2023-02-15,21.5276,19.53839,,,
2023-02-16,21.60028,19.72073,,,
2023-02-17,21.56793,19.84438,,,
2023-02-21,21.42825,19.9048,,,
2023-02-22,21.3239,19.96741,,,
2023-02-23,21.6833,20.24094,,,
2023-02-24,21.93048,20.4668,,,
2023-02-27,22.17194,20.69148,,,
2023-02-28,22.33318,20.87878,,,
2023-03-01,22.38961,21.01369,,,
2023-03-02,22.53121,21.18379,,,
2023-03-03,22.74025,21.38425,,,
2023-03-06,22.86483,21.54468,,,
2023-03-07,22.93024,21.67396,,,
2023-03-08,23.12251,21.85959,,,
2023-03-09,23.17135,21.97666,,,
2023-03-10,23.14037,22.05024,,,
2023-03-13,23.11416,22.11837,,,
2023-03-14,23.25967,22.26219,,,
2023-03-15,23.40895,22.40795,,,
2023-03-16,23.7368,22.63995,,,
2023-03-17,24.04345,22.86884,,,
2023-03-20,24.32907,23.09337,,,
2023-03-21,24.61691,23.32349,,,
2023-03-22,24.902,23.55656,,,
2023-03-23,25.254,23.8257,,,
2023-03-24,25.48877,24.04454,,,
2023-03-27,25.64896,24.22865,,,
2023-03-28,25.76604,24.39023,,,
2023-03-29,25.9528,24.58206,,,
2023-03-30,26.17237,24.78931,,,
2023-03-31,26.4197,25.01084,,,
2023-04-03,26.65821,25.23004,,,
2023-04-04,26.78002,25.39448,,,
2023-04-05,26.7954,25.50452,,,
2023-04-06,26.83303,25.61826,,,
2023-04-10,26.94795,25.76357,,,
2023-04-11,26.98211,25.86775,,,
2023-04-12,26.90794,25.91458,,,
2023-04-13,26.83903,25.95498,,,
2023-04-14,26.82687,26.01461,,,
2023-04-17,26.85351,26.0876,,,
2023-04-18,26.97912,26.20481,,,
2023-04-19,27.12541,26.3326,,,
2023-04-20,27.1215,26.38944,,,
2023-04-21,27.12127,26.44356,,,
2023-04-24,27.10877,26.48774,,,
2023-04-25,26.97511,26.46939,,,
2023-04-26,26.97279,26.50573,,,
2023-04-27,27.01236,26.55938,,,
2023-04-28,27.12584,26.64757,,,
2023-05-01,27.40033,26.81516,,,
2023-05-02,27.52489,26.91848,,,
2023-05-03,27.56721,26.98378,,,
2023-05-04,27.5661,27.02646,,,
2023-05-05,27.73747,27.14894,,,
2023-05-08,27.95478,27.29717,,,
2023-05-09,28.04943,27.39145,,,
2023-05-10,28.17875,27.50245,,,
2023-05-11,28.24048,27.58227,,,
2023-05-12,28.25579,27.6384,,,
2023-05-15,28.36259,27.73556,,,
2023-05-16,28.49296,27.84478,,,
2023-05-17,28.7525,28.01776,,,
2023-05-18,29.20288,28.28904,,,
2023-05-19,29.51936,28.50911,,,
2023-05-22,29.77484,28.70695,,,
2023-05-23,29.91563,28.85384,,,
2023-05-24,30.01169,28.97874,,,
2023-05-25,31.23758,29.6455,,,
2023-05-26,32.42411,30.33472,,,
2023-05-30,33.60655,31.05881,,,
2023-05-31,34.25631,31.56038,,,
2023-06-01,35.10457,32.1685,,,
2023-06-02,35.75464,32.69898,,,
2023-06-05,36.28008,33.17831,,,
2023-06-06,36.64468,33.58362,,,
2023-06-07,36.77319,33.87224,,,
2023-06-08,37.04039,34.21578,,,
2023-06-09,37.30648,34.55313,,,
2023-06-12,37.64087,34.91808,,,
2023-06-13,38.16074,35.37007,,,
2023-06-14,38.90524,35.93525,,,
2023-06-15,39.48136,36.43264,,,
2023-06-16,39.975,36.89615,,,
2023-06-20,40.565,37.40829,,,
2023-06-21,40.94731,37.82619,,,
2023-06-22,41.26772,38.21166,,,
2023-06-23,41.41269,38.50783,,,
2023-06-26,41.29228,38.66503,,,
2023-06-27,41.3827,38.90318,,,
2023-06-28,41.34228,39.06739,,,
2023-06-29,41.26193,39.19721,,,
2023-06-30,41.42163,39.42705,,,
2023-07-03,41.57369,39.64801,,,
2023-07-05,41.68851,39.84594,,,
2023-07-06,41.75182,40.01291,,,
2023-07-07,41.86692,40.19714,,,
2023-07-10,41.91509,40.34402,,,
2023-07-11,41.99123,40.49706,,,
2023-07-12,42.28489,40.74913,,,
2023-07-13,42.85337,41.1366,,,
2023-07-14,43.25593,41.45759,,,
2023-07-17,43.74886,41.82814,,,
2023-07-18,44.32442,42.24754,,,
2023-07-19,44.74836,42.6055,,,
2023-07-20,44.86707,42.82139,,,
2023-07-21,44.78137,42.93166,,,
2023-07-24,44.75501,43.05598,,,
2023-07-25,44.89732,43.25035,,,
2023-07-26,44.98235,43.41329,,,
2023-07-27,45.12353,43.59749,,,
2023-07-28,45.37376,43.83101,,,
2023-07-31,45.58241,44.04575,,,
2023-08-01,45.72512,44.22829,,,
2023-08-02,45.50126,44.23138,,,
2023-08-03,45.3503,44.25276,,,
2023-08-04,45.24718,44.28441,,,
2023-08-07,45.27377,44.36853,,,
2023-08-08,45.17934,44.39012,,,
2023-08-09,44.77483,44.25381,,,
2023-08-10,44.40793,44.11575,,,
2023-08-11,43.86209,43.87458,,,
2023-08-14,43.84485,43.86535,,,
2023-08-15,43.85949,43.87088,,,
2023-08-16,43.80265,43.84267,,,
2023-08-17,43.73147,43.80544,,,
2023-08-18,43.66509,43.768,,,
2023-08-21,44.17354,44.00519,,,
2023-08-22,44.40376,44.12851,,,
2023-08-23,44.82164,44.3501,,,
2023-08-24,45.18139,44.55824,,,
2023-08-25,45.31041,44.66652,,,
2023-08-28,45.54573,44.82752,,,
2023-08-29,46.04331,45.1203,,,
2023-08-30,46.53819,45.42694,,,
2023-08-31,46.97231,45.71828,,,
2023-09-01,47.20888,45.92507,,,
2023-09-05,47.41521,46.11951,,,
2023-09-06,47.36056,46.18918,,,
2023-09-07,47.18817,46.19294,,,
2023-09-08,46.93922,46.1468,,,
2023-09-11,46.66857,46.07519,,,
2023-09-12,46.39187,45.98592,,,
2023-09-13,46.25312,45.94919,,,
2023-09-14,46.14956,45.92184,,,
2023-09-15,45.80347,45.77207,,,
2023-09-18,45.5214,45.63858,,,
2023-09-19,45.21349,45.48165,,,
2023-09-20,44.75603,45.24153,,,
2023-09-21,44.18126,44.92882,,,
2023-09-22,43.78568,44.68298,,,
2023-09-25,43.54481,44.50054,,,
2023-09-26,43.2933,44.30865,,,
2023-09-27,43.16664,44.17245,,,
2023-09-28,43.15485,44.09227,,,
2023-09-29,43.20795,44.0484,,,
2023-10-02,43.4498,44.10259,,,
2023-10-03,43.4606,44.05944,,,
2023-10-04,43.54974,44.058,,,
2023-10-05,43.72516,44.10481,,,
2023-10-06,44.03821,44.22742,,,
2023-10-09,44.22772,44.30465,,,
2023-10-10,44.46961,44.41542,,,
2023-10-11,44.82967,44.5928,,,
2023-10-12,45.15587,44.76741,,,
2023-10-13,45.20266,44.81871,,,
2023-10-16,45.34071,44.91362,,,
2023-10-17,45.12522,44.8415,,,
2023-10-18,44.67519,44.64583,,,
2023-10-19,44.27901,44.45725,,,
2023-10-20,43.83455,44.23005,,,
2023-10-23,43.70308,44.13745,,,
2023-10-24,43.69645,44.10208,,,
2023-10-25,43.40161,43.93007,,,
2023-10-26,42.92905,43.6634,,,
2023-10-27,42.55535,43.42907,,,
2023-10-30,42.34068,43.26099,,,
2023-10-31,42.10058,43.07721,,,
2023-11-01,42.13588,43.02186,,,
2023-11-02,42.34728,43.05802,,,
2023-11-03,42.75539,43.20187,,,
2023-11-06,43.2161,43.39062,,,
2023-11-07,43.63824,43.58094,,,
2023-11-08,44.08928,43.80235,,,
2023-11-09,44.52939,44.03551,,,
2023-11-10,45.11564,44.35436,,,
2023-11-13,45.65477,44.67033,,,
2023-11-14,46.27096,45.03994,,,
2023-11-15,46.67389,45.32513,,,
2023-11-16,47.1056,45.6329,,,
2023-11-17,47.4432,45.90454,,,
2023-11-20,47.89963,46.23828,,,
2023-11-21,48.21353,46.51248,,,
2023-11-22,48.29145,46.676,,,
2023-11-24,48.21277,46.75778,,,
2023-11-27,48.21696,46.86757,,,
2023-11-28,48.15589,46.93812,,,
2023-11-29,48.15345,47.02715,,,
2023-11-30,47.94061,47.0081,,,
2023-12-01,47.76052,46.99046,,,
2023-12-04,47.41429,46.8808,,,
2023-12-05,47.2844,46.85778,,,
2023-12-06,47.00988,46.7572,,,
2023-12-07,46.94682,46.74556,,,
2023-12-08,47.03346,46.80219,,,
2023-12-11,46.97139,46.78944,,,
2023-12-12,47.07733,46.85393,,,
2023-12-13,47.23313,46.94549,,,
2023-12-14,47.40496,47.04953,,,
2023-12-15,47.63343,47.18586,,,
2023-12-18,48.00983,47.40024,,,
2023-12-19,48.25447,47.56319,,,
2023-12-20,48.23224,47.60369,,,
2023-12-21,48.34882,47.70638,,,
2023-12-22,48.42285,47.78961,,,
2023-12-26,48.55472,47.90001,,,
2023-12-27,48.68784,48.0126,,,
2023-12-28,48.81586,48.12426,,,
2023-12-29,48.92419,48.22765,,,
2024-01-02,48.80816,48.22338,0.58478,,
2024-01-03,48.61767,48.17498,0.44269,,
2024-01-04,48.52264,48.16202,0.36062,,
2024-01-05,48.61146,48.2315,0.37996,,
2024-01-08,49.17124,48.52917,0.64207,,
2024-01-09,49.78182,48.87071,0.91111,,
2024-01-10,50.48462,49.27658,1.20804,,
2024-01-11,51.1516,49.6872,1.4644,,
2024-01-12,51.69905,50.05926,1.63979,0.84816,0.79163
2024-01-16,52.4192,50.52746,1.89174,1.05688,0.83486
2024-01-17,52.97778,50.93654,2.04124,1.25375,0.78749
2024-01-18,53.61351,51.39383,2.21968,1.44694,0.77274
2024-01-19,54.51759,51.99355,2.52404,1.66236,0.86168
2024-01-22,55.30719,52.56069,2.7465,1.87919,0.86731
2024-01-23,56.00916,53.10212,2.90704,2.08476,0.82228
2024-01-24,56.83237,53.71381,3.11856,2.29152,0.82704
2024-01-25,57.56893,54.29945,3.26948,2.48711,0.78237
2024-01-26,58.1014,54.79801,3.30339,2.65037,0.65302
2024-01-29,58.77349,55.36631,3.40718,2.80173,0.60545
2024-01-30,59.38834,55.91473,3.47361,2.93611,0.5375
2024-01-31,59.71783,56.33068,3.38715,3.02632,0.36083
2024-02-01,60.22739,56.82693,3.40046,3.10115,0.29931
2024-02-02,61.1401,57.51827,3.62183,3.20529,0.41654
2024-02-05,62.40008,58.39321,4.00687,3.36561,0.64126
2024-02-06,63.29545,59.12112,4.17433,3.52735,0.64698
2024-02-07,64.3423,59.93437,4.40793,3.70347,0.70446
2024-02-08,65.15733,60.65331,4.50402,3.86358,0.64044
2024-02-09,66.23005,61.50344,4.72661,4.03619,0.69042
2024-02-12,67.1562,62.29948,4.85672,4.2003,0.65642
2024-02-13,67.9214,63.02767,4.89373,4.33899,0.55474
2024-02-14,68.84118,63.83303,5.00815,4.47282,0.53533
2024-02-15,69.42869,64.48688,4.94181,4.56662,0.37519
2024-02-16,69.91812,65.08859,4.82953,4.6192,0.21033
2024-02-20,69.8461,65.41166,4.43444,4.58225,-0.14781
2024-02-21,69.48055,65.56413,3.91642,4.44908,-0.53266
2024-02-22,70.87431,66.52531,4.349,4.42906,-0.08006
2024-02-23,72.09672,67.43603,4.66069,4.47539,0.1853
2024-02-26,73.17261,68.29929,4.87332,4.55498,0.31834
2024-02-27,74.02298,69.06971,4.95327,4.63464,0.31863
2024-02-28,74.58252,69.70603,4.87649,4.68301,0.19348
2024-02-29,75.27906,70.40262,4.87644,4.7217,0.15474
2024-03-01,76.35613,71.28243,5.0737,4.7921,0.2816
2024-03-04,77.72288,72.31632,5.40656,4.91499,0.49157
2024-03-05,78.99013,73.32696,5.66317,5.06463,0.59854
2024-03-06,80.48396,74.4657,6.01826,5.25536,0.7629
2024-03-07,82.35874,75.81417,6.54457,5.5132,1.03137
2024-03-08,83.15432,76.68201,6.47231,5.70502,0.76729
2024-03-11,83.55673,77.35519,6.20154,5.80432,0.39722
2024-03-12,84.84185,78.43332,6.40853,5.92516,0.48337
2024-03-13,85.77233,79.35604,6.41629,6.02339,0.3929
2024-03-14,86.10582,79.99189,6.11393,6.0415,0.07243
2024-03-15,86.37262,80.57323,5.79939,5.99308,-0.19369
2024-03-18,86.69376,81.15744,5.53632,5.90173,-0.36541
2024-03-19,87.1101,81.768,5.3421,5.7898,-0.4477
2024-03-20,87.61162,82.40519,5.20643,5.67313,-0.4667
2024-03-21,88.2006,83.07444,5.12616,5.56374,-0.43758
2024-03-22,89.13743,83.90522,5.23221,5.49743,-0.26522
2024-03-25,90.03936,84.72706,5.3123,5.4604,-0.1481
2024-03-26,90.42715,85.30728,5.11987,5.39229,-0.27242
2024-03-27,90.3999,85.67341,4.72649,5.25913,-0.53264
2024-03-28,90.39376,86.02056,4.3732,5.08194,-0.70874
2024-04-01,90.38857,86.342,4.04657,4.87487,-0.8283
2024-04-02,90.24417,86.57222,3.67195,4.63429,-0.96234
