Date,EMA(12),EMA(26),MACD,Signal,Histogram
2023-01-19,86.57667,,,,
2023-01-20,86.68026,,,,
2023-01-23,87.03253,,,,
2023-01-24,87.44291,,,,
2023-01-25,87.78092,,,,
2023-01-26,88.09616,,,,
2023-01-27,88.23367,,,,
2023-01-30,88.09772,,,,
2023-01-31,88.15346,,,,
2023-02-01,88.44524,,,,
2023-02-02,88.58905,,,,
2023-02-03,88.74766,,,,
2023-02-06,88.71417,,,,
2023-02-07,88.5643,,,,
2023-02-08,88.27595,87.73538,,,
2023-02-09,88.0258,87.65498,,,
2023-02-10,87.88952,87.61683,,,
2023-02-13,88.12498,87.7504,,,
2023-02-14,88.27344,87.84963,,,
2023-02-15,88.28368,87.88595,,,
2023-02-16,88.19696,87.87366,,,
2023-02-17,88.05589,87.82969,,,
2023-02-21,87.77037,87.70897,,,
2023-02-22,87.54724,87.60608,,,
2023-02-23,87.70613,87.67822,,,
2023-02-24,87.85288,87.75094,,,
2023-02-27,87.86936,87.76643,,,
2023-02-28,87.79715,87.73929,,,
2023-03-01,87.57297,87.63564,,,
2023-03-02,87.48021,87.58633,,,
2023-03-03,87.75249,87.70956,,,
2023-03-06,88.05826,87.85996,,,
2023-03-07,88.10468,87.897,,,
2023-03-08,88.16396,87.94093,,,
2023-03-09,87.96489,87.8616,,,
2023-03-10,87.36568,87.58074,,,
2023-03-13,86.99096,87.38439,,,
2023-03-14,86.61697,87.17518,,,
2023-03-15,86.05744,86.86443,,,
2023-03-16,85.86706,86.71299,,,
2023-03-17,85.77367,86.60536,,,
2023-03-20,85.95618,86.63163,,,
2023-03-21,86.206,86.70188,,,
2023-03-22,86.46662,86.79063,,,
2023-03-23,86.66868,86.86392,,,
2023-03-24,86.87504,86.94881,,,
2023-03-27,87.37734,87.18519,,,
2023-03-28,87.75775,87.38258,,,
2023-03-29,88.1981,87.62239,,,
2023-03-30,88.55378,87.83629,,,
2023-03-31,89.22551,88.21286,,,
2023-04-03,89.94774,88.63561,,,
2023-04-04,90.57116,89.03297,,,
2023-04-05,91.2356,89.46682,,,
2023-04-06,91.95628,89.94483,,,
2023-04-10,92.23378,90.22744,,,
2023-04-11,92.50089,90.50467,,,
2023-04-12,92.71614,90.75618,,,
2023-04-13,93.15212,91.11128,,,
2023-04-14,93.54564,91.45193,,,
2023-04-17,93.86016,91.75845,,,
2023-04-18,94.26167,92.10745,,,
2023-04-19,94.49987,92.38171,,,
2023-04-20,94.55066,92.56306,,,
2023-04-21,94.64287,92.75469,,,
2023-04-24,94.76551,92.9536,,,
2023-04-25,94.65697,93.03556,,,
2023-04-26,94.51128,93.08552,,,
2023-04-27,94.59262,93.2303,,,
2023-04-28,94.61222,93.34065,,,
2023-05-01,94.65188,93.45394,,,
2023-05-02,94.67467,93.55365,,,
2023-05-03,94.69087,93.64449,,,
2023-05-04,94.73381,93.74268,,,
2023-05-05,95.07784,93.98174,,,
2023-05-08,95.34125,94.18976,,,
2023-05-09,95.46413,94.33422,,,
2023-05-10,95.78042,94.5702,,,
2023-05-11,96.03574,94.78278,,,
2023-05-12,96.31486,95.00998,,,
2023-05-15,96.46027,95.17665,,,
2023-05-16,96.73561,95.40431,,,
2023-05-17,97.20244,95.72769,,,
2023-05-18,97.99283,96.21749,,,
2023-05-19,98.73855,96.70805,,,
2023-05-22,99.20493,97.08301,,,
2023-05-23,99.10263,97.19094,,,
2023-05-24,98.98223,97.27457,,,
2023-05-25,99.79881,97.79423,,,
2023-05-26,100.45745,98.25984,,,
2023-05-30,101.17938,98.77022,,,
2023-05-31,101.91178,99.30131,,,
2023-06-01,102.5392,99.79677,,,
2023-06-02,103.05471,100.24812,,,
2023-06-05,103.65091,100.74307,,,
2023-06-06,104.18154,101.21395,,,
2023-06-07,104.34592,101.51292,,,
2023-06-08,104.82809,101.95493,,,
2023-06-09,105.60069,102.53975,,,
2023-06-12,107.26674,103.56866,,,
2023-06-13,108.71493,104.53987,,,
2023-06-14,110.80033,105.85321,,,
2023-06-15,113.22336,107.38631,,,
2023-06-16,115.10592,108.7251,,,
2023-06-20,116.1727,109.71139,,,
2023-06-21,117.08459,110.62906,,,
2023-06-22,117.62235,111.36617,,,
2023-06-23,117.77891,111.90497,,,
2023-06-26,117.62523,112.26608,,,
2023-06-27,117.65827,112.67896,,,
2023-06-28,117.48469,112.96422,,,
2023-06-29,117.53012,113.32094,,,
2023-06-30,117.7701,113.74828,,,
2023-07-03,117.6747,114.00026,,,
2023-07-05,117.4109,114.14543,,,
2023-07-06,117.10922,114.24206,,,
2023-07-07,116.72472,114.26931,,,
2023-07-10,116.36399,114.27751,,,
2023-07-11,116.13568,114.32214,,,
2023-07-12,116.11788,114.44791,,,
2023-07-13,116.32282,114.67029,,,
2023-07-14,116.77623,115.01101,,,
2023-07-17,117.10143,115.29834,,,
2023-07-18,117.66583,115.70365,,,
2023-07-19,117.82339,115.92486,,,
2023-07-20,117.52441,115.92154,,,
2023-07-21,117.54373,116.04957,,,
2023-07-24,117.62469,116.19923,,,
2023-07-25,117.67474,116.32892,,,
2023-07-26,117.34016,116.26752,,,
2023-07-27,117.19552,116.27733,,,
2023-07-28,117.01006,116.25605,,,
2023-07-31,117.0439,116.32819,,,
2023-08-01,117.17715,116.44536,,,
2023-08-02,116.95143,116.39089,,,
2023-08-03,116.58198,116.25453,,,
2023-08-04,116.25244,116.12012,,,
2023-08-07,116.22899,116.11863,,,
2023-08-08,116.0753,116.05281,,,
2023-08-09,115.61756,115.83408,,,
2023-08-10,115.21332,115.62341,,,
2023-08-11,114.88204,115.43353,,,
2023-08-14,114.98788,115.44364,,,
2023-08-15,115.34205,115.58041,,,
2023-08-16,115.34173,115.5626,,,
2023-08-17,115.27069,115.51204,,,
2023-08-18,115.45366,115.58226,,,
2023-08-21,115.62848,115.65691,,,
2023-08-22,115.76871,115.72232,,,
2023-08-23,116.08737,115.87919,,,
2023-08-24,115.59854,115.65925,,,
2023-08-25,115.66953,115.68894,,,
2023-08-28,115.8496,115.7742,,,
2023-08-29,116.58812,116.13537,,,
2023-08-30,117.28533,116.5046,,,
2023-08-31,117.76297,116.79241,,,
2023-09-01,118.25021,117.0989,,,
