Date,EMA(12),EMA(26),MACD,Signal,Histogram
2023-01-19,6.71167,,,,
2023-01-20,6.75911,,,,
2023-01-23,6.85463,,,,
2023-01-24,6.88007,,,,
2023-01-25,6.93237,,,,
2023-01-26,6.9797,,,,
2023-01-27,7.06744,,,,
2023-01-30,7.11399,,,,
2023-01-31,7.21645,,,,
2023-02-01,7.36777,,,,
2023-02-02,7.61734,,,,
2023-02-03,7.73929,,,,
2023-02-06,7.82709,,,,
2023-02-07,7.90446,,,,
2023-02-08,7.953,7.29154,,,
2023-02-09,7.95254,7.34031,,,
2023-02-10,7.88446,7.35288,,,
2023-02-13,7.84224,7.37193,,,
2023-02-14,8.0542,7.50882,,,
2023-02-15,8.37048,7.7015,,,
2023-02-16,8.57656,7.85028,,,
2023-02-17,8.67247,7.95026,,,
2023-02-21,8.64132,7.98876,,,
2023-02-22,8.59804,8.01626,,,
2023-02-23,8.53219,8.02765,,,
2023-02-24,8.46416,8.03227,,,
2023-02-27,8.39737,8.0321,,,
2023-02-28,8.31162,8.01787,,,
2023-03-01,8.21599,7.99358,,,
2023-03-02,8.17815,7.99183,,,
2023-03-03,8.20151,8.01688,,,
2023-03-06,8.21359,8.03637,,,
2023-03-07,8.22381,8.05442,,,
2023-03-08,8.20938,8.06002,,,
2023-03-09,8.12948,8.03261,,,
2023-03-10,8.00956,7.98205,,,
2023-03-13,7.98809,7.97375,,,
2023-03-14,7.973,7.96755,,,
2023-03-15,7.96177,7.96255,,,
2023-03-16,7.96457,7.96384,,,
2023-03-17,7.95156,7.95763,,,
2023-03-20,7.97132,7.96669,,,
2023-03-21,8.04496,8.00249,,,
2023-03-22,8.07035,8.01786,,,
2023-03-23,8.1103,8.04098,,,
2023-03-24,8.1241,8.05276,,,
2023-03-27,8.11116,8.05181,,,
2023-03-28,8.09406,8.04797,,,
2023-03-29,8.11344,8.06071,,,
2023-03-30,8.11906,8.06732,,,
2023-03-31,8.16997,8.09567,,,
2023-04-03,8.20228,8.11673,,,
2023-04-04,8.22501,8.13401,,,
2023-04-05,8.18732,8.1226,,,
2023-04-06,8.17235,8.12019,,,
2023-04-10,8.20583,8.14018,,,
2023-04-11,8.26801,8.17498,,,
2023-04-12,8.27755,8.18646,,,
2023-04-13,8.32408,8.21561,,,
2023-04-14,8.39884,8.25964,,,
2023-04-17,8.46056,8.29967,,,
2023-04-18,8.50201,8.33155,,,
2023-04-19,8.50016,8.34329,,,
2023-04-20,8.44629,8.32897,,,
2023-04-21,8.40532,8.31794,,,
2023-04-24,8.35835,8.3018,,,
2023-04-25,8.26322,8.26019,,,
2023-04-26,8.18272,8.22166,,,
2023-04-27,8.12692,8.19191,,,
2023-04-28,8.06893,8.15918,,,
2023-05-01,8.02448,8.13109,,,
2023-05-02,7.95764,8.09101,,,
