Date,EMA(12),EMA(26),MACD,Signal,Histogram
2023-01-19,116.25917,,,,
2023-01-20,117.28084,,,,
2023-01-23,119.3961,,,,
2023-01-24,121.13516,,,,
2023-01-25,122.67898,,,,
2023-01-26,124.41452,,,,
2023-01-27,125.7969,,,,
2023-01-30,126.6943,,,,
2023-01-31,127.69672,,,,
2023-02-01,129.35261,,,,
2023-02-02,130.35221,,,,
2023-02-03,131.07033,,,,
2023-02-06,131.35643,,,,
2023-02-07,132.16775,,,,
2023-02-08,132.1681,125.16038,,,
2023-02-09,131.91608,125.55813,,,
2023-02-10,131.46591,125.81234,,,
2023-02-13,131.36962,126.18476,,,
2023-02-14,131.51891,126.6407,,,
2023-02-15,131.75754,127.11694,,,
2023-02-16,131.51176,127.34235,,,
2023-02-17,130.92841,127.37032,,,
2023-02-21,129.81635,127.09844,,,
2023-02-22,128.91383,126.86522,,,
2023-02-23,128.49632,126.81594,,,
2023-02-24,127.85689,126.63254,,,
2023-02-27,127.17429,126.39457,,,
2023-02-28,126.61363,126.18238,,,
2023-03-01,126.1623,125.99702,,,
2023-03-02,125.79579,125.8328,,,
2023-03-03,125.45798,125.66741,,,
2023-03-06,124.98906,125.42612,,,
2023-03-07,124.0969,124.96419,,,
2023-03-08,123.65122,124.68536,,,
2023-03-09,122.6618,124.13237,,,
2023-03-10,121.51229,123.46997,,,
2023-03-13,120.42271,122.80034,,,
2023-03-14,119.82691,122.33735,,,
2023-03-15,119.15969,121.83014,,,
2023-03-16,119.36743,121.73235,,,
2023-03-17,119.57706,121.6581,,,
2023-03-20,119.92213,121.67009,,,
2023-03-21,120.51873,121.82786,,,
2023-03-22,120.742,121.83839,,,
2023-03-23,121.26631,122.00962,,,
2023-03-24,121.8038,122.21335,,,
2023-03-27,122.08014,122.31606,,,
2023-03-28,121.96627,122.24376,,,
2023-03-29,122.44684,122.45459,,,
2023-03-30,123.20886,122.82092,,,
2023-03-31,123.88134,123.17344,,,
2023-04-03,124.01344,123.28948,,,
2023-04-04,123.74983,123.21619,,,
2023-04-05,123.64063,123.20314,,,
2023-04-06,123.54207,123.18809,,,
2023-04-10,123.65714,123.26971,,,
2023-04-11,123.64373,123.29195,,,
2023-04-12,123.12469,123.0681,,,
2023-04-13,122.81781,122.92454,,,
2023-04-14,122.40892,122.71976,,,
2023-04-17,121.94293,122.47237,,,
2023-04-18,121.39171,122.16775,,,
2023-04-19,120.95299,121.89903,,,
2023-04-20,120.59715,121.65762,,,
2023-04-21,120.16067,121.36891,,,
2023-04-24,119.72826,121.07121,,,
2023-04-25,118.85468,120.55112,,,
2023-04-26,118.13242,120.0777,,,
2023-04-27,117.48436,119.62157,,,
2023-04-28,117.37907,119.41256,,,
2023-05-01,117.14229,119.14793,,,
2023-05-02,116.98348,118.9229,,,
2023-05-03,116.34448,118.47157,,,
2023-05-04,114.84225,117.59071,,,
2023-05-05,113.9096,116.93806,,,
2023-05-08,113.04812,116.29894,,,
2023-05-09,111.92841,115.51902,,,
2023-05-10,111.08712,114.84798,,,
2023-05-11,110.00602,114.04887,,,
2023-05-12,109.02356,113.27636,,,
2023-05-15,108.60147,112.75811,,,
2023-05-16,107.86124,112.09381,,,
2023-05-17,107.39182,111.55427,,,
2023-05-18,107.32539,111.21395,,,
2023-05-19,107.09995,110.81736,,,
2023-05-22,106.81996,110.40719,,,
2023-05-23,106.31843,109.89999,,,
2023-05-24,105.81098,109.39036,,,
2023-05-25,105.53544,108.99256,,,
2023-05-26,106.27614,109.09311,,,
2023-05-30,107.77212,109.60473,,,
2023-05-31,108.63949,109.8866,,,
2023-06-01,109.74572,110.32685,,,
2023-06-02,110.64946,110.71894,,,
2023-06-05,110.96954,110.86791,,,
2023-06-06,111.79884,111.27473,,,
2023-06-07,112.31902,111.56401,,,
2023-06-08,112.93917,111.91853,,,
2023-06-09,113.88853,112.45123,,,
2023-06-12,115.15799,113.16892,,,
2023-06-13,116.58445,114.00307,,,
2023-06-14,117.633,114.69914,,,
2023-06-15,118.55254,115.3592,,,
2023-06-16,119.18753,115.90148,,,
2023-06-20,119.28483,116.19174,,,
2023-06-21,118.74255,116.15976,,,
2023-06-22,118.38216,116.17756,,,
2023-06-23,117.62029,115.97404,,,
2023-06-26,117.46794,116.02263,,,
2023-06-27,117.82518,116.30169,,,
2023-06-28,117.78131,116.39342,,,
2023-06-29,117.82419,116.51687,,,
2023-06-30,118.01124,116.70377,,,
2023-07-03,118.33105,116.9546,,,
2023-07-05,118.14627,116.96759,,,
2023-07-06,117.69607,116.83814,,,
2023-07-07,117.42591,116.77161,,,
2023-07-10,117.37885,116.79742,,,
2023-07-11,117.30057,116.8028,,,
2023-07-12,117.51279,116.94185,,,
2023-07-13,118.37544,117.39949,,,
2023-07-14,119.01922,117.78175,,,
2023-07-17,119.69319,118.19792,,,
2023-07-18,120.18039,118.54326,,,
2023-07-19,120.83264,118.97857,,,
2023-07-20,120.81531,119.10756,,,
2023-07-21,121.41603,119.5233,,,
2023-07-24,121.82895,119.86231,,,
2023-07-25,122.32757,120.24806,,,
2023-07-26,122.58794,120.52746,,,
2023-07-27,123.0898,120.92172,,,
2023-07-28,124.07291,121.55567,,,
2023-07-31,125.31862,122.34192,,,
2023-08-01,126.35883,123.06326,,,
2023-08-02,126.8067,123.52302,,,
2023-08-03,125.55952,123.16576,,,
2023-08-04,124.93498,123.04237,,,
2023-08-07,124.07421,122.76812,,,
2023-08-08,123.08741,122.38974,,,
2023-08-09,122.08473,121.95865,,,
2023-08-10,121.08862,121.48838,,,
2023-08-11,120.09191,120.97887,,,
2023-08-14,119.15777,120.4634,,,
2023-08-15,118.00734,119.81278,,,
2023-08-16,116.79852,119.09702,,,
2023-08-17,115.7649,118.42909,,,
2023-08-18,114.89338,117.81212,,,
2023-08-21,114.24517,117.28381,,,
2023-08-22,113.51053,116.70501,,,
2023-08-23,113.15045,116.29501,,,
2023-08-24,112.43653,115.71834,,,
2023-08-25,112.11091,115.31846,,,
2023-08-28,112.04462,115.04894,,,
2023-08-29,112.3116,114.95494,,,
2023-08-30,112.45905,114.83013,,,
2023-08-31,112.77766,114.8079,,,
2023-09-01,113.17956,114.85102,,,
2023-09-05,113.69809,114.97687,,,
2023-09-06,113.84915,114.95488,,,
2023-09-07,112.70313,114.32119,,,
2023-09-08,111.69342,113.71518,,,
2023-09-11,111.47597,113.46072,,,
2023-09-12,111.43813,113.29548,,,
2023-09-13,111.62303,113.24693,,,
2023-09-14,111.99487,113.30568,,,
2023-09-15,112.17104,113.29341,,,
2023-09-18,112.26011,113.25316,,,
2023-09-19,112.02317,113.06552,,,
2023-09-20,111.59191,112.78067,,,
2023-09-21,111.03315,112.42358,,,
2023-09-22,110.51728,112.0722,,,
2023-09-25,110.50385,111.95056,,,
2023-09-26,110.38326,111.78533,,,
2023-09-27,110.19968,111.59308,,,
2023-09-28,110.33819,111.55656,,,
2023-09-29,110.44924,111.51978,,,
2023-10-02,110.54936,111.48869,,,
2023-10-03,110.49407,111.39249,,,
2023-10-04,110.39498,111.27823,,,
2023-10-05,110.30344,111.16873,,,
2023-10-06,110.39214,111.14734,,,
2023-10-09,110.60873,111.19569,,,
2023-10-10,110.87046,111.27823,,,
2023-10-11,110.90885,111.26651,,,
2023-10-12,110.99364,111.28084,,,
2023-10-13,110.63462,111.0867,,,
2023-10-16,110.61545,111.04398,,,
2023-10-17,110.85923,111.12961,,,
2023-10-18,110.87781,111.11853,,,
2023-10-19,110.93969,111.13049,,,
2023-10-20,110.58435,110.94527,,,
2023-10-23,110.2883,110.77599,,,
2023-10-24,110.1501,110.67332,,,
2023-10-25,109.32393,110.23678,,,
2023-10-26,108.75409,109.8948,,,
2023-10-27,108.40115,109.64037,,,
2023-10-30,108.31328,109.50627,,,
2023-10-31,108.41739,109.46803,,,
2023-11-01,108.79779,109.57336,,,
2023-11-02,110.11505,110.15015,,,
2023-11-03,111.56197,110.84421,,,
2023-11-06,112.84936,111.51723,,,
2023-11-07,114.06023,112.19892,,,
2023-11-08,114.98327,112.78122,,,
2023-11-09,115.77046,113.32335,,,
2023-11-10,117.06885,114.12977,,,
2023-11-13,118.1121,114.84979,,,
2023-11-14,119.53485,115.77647,,,
2023-11-15,120.97872,116.75006,,,
2023-11-16,122.16661,117.63524,,,
2023-11-17,123.29021,118.51189,,,
2023-11-20,124.2471,119.32656,,,
2023-11-21,124.6737,119.89644,,,
2023-11-22,125.10852,120.45967,,,
2023-11-24,125.5149,120.99969,,,
2023-11-27,125.92799,121.53305,,,
2023-11-28,126.02984,121.90764,,,
2023-11-29,126.3191,122.35226,,,
2023-11-30,126.73924,122.84839,,,
2023-12-01,127.19013,123.35369,,,
2023-12-04,127.61473,123.84231,,,
2023-12-05,128.09708,124.35399,,,
2023-12-06,128.38368,124.76925,,,
2023-12-07,129.08465,125.37449,,,
2023-12-08,129.6824,125.93712,,,
2023-12-11,130.66972,126.68993,,,
2023-12-12,131.59438,127.42994,,,
2023-12-13,132.70294,128.27217,,,
2023-12-14,134.05633,129.25201,,,
2023-12-15,135.45228,130.28001,,,
2023-12-18,136.40578,131.12223,,,
2023-12-19,137.45566,132.0191,,,
2023-12-20,137.91479,132.64287,,,
2023-12-21,138.61098,133.36858,,,
