Date,EMA(12),EMA(26),MACD,Signal,Histogram
2023-01-19,272.78917,,,,
2023-01-20,274.27699,,,,
2023-01-23,276.50207,,,,
2023-01-24,278.29406,,,,
2023-01-25,279.7119,,,,
2023-01-26,281.77468,,,,
2023-01-27,283.96934,,,,
2023-01-30,284.90483,,,,
2023-01-31,286.36563,,,,
2023-02-01,288.57092,,,,
2023-02-02,292.09847,,,,
2023-02-03,294.23101,,,,
2023-02-06,295.63701,,,,
2023-02-07,297.79439,,,,
2023-02-08,298.77218,285.74154,,,
2023-02-09,299.18569,286.90587,,,
2023-02-10,299.23097,287.83729,,,
2023-02-13,300.00774,289.05527,,,
2023-02-14,301.01116,290.34969,,,
2023-02-15,302.22175,291.72231,,,
2023-02-16,302.35379,292.56362,,,
2023-02-17,302.13628,293.18409,,,
2023-02-21,300.85531,293.23045,,,
2023-02-22,299.80526,293.28968,,,
2023-02-23,299.31214,293.53489,,,
2023-02-24,298.13027,293.39379,,,
2023-02-27,297.45177,293.41795,,,
2023-02-28,296.81919,293.41218,,,
2023-03-01,295.92085,293.23202,,,
2023-03-02,295.53149,293.24372,,,
2023-03-03,296.13588,293.70419,,,
2023-03-06,296.69959,294.15573,,,
2023-03-07,296.61042,294.30123,,,
2023-03-08,296.76266,294.54558,,,
2023-03-09,296.09764,294.38961,,,
2023-03-10,294.90262,293.94075,,,
2023-03-13,294.22068,293.68366,,,
2023-03-14,294.67134,293.94043,,,
2023-03-15,295.29267,294.29373,,,
2023-03-16,297.03072,295.20456,,,
2023-03-17,298.2783,295.94052,,,
2023-03-20,299.42779,296.66715,,,
2023-03-21,301.07275,297.66366,,,
2023-03-22,301.8154,298.27376,,,
2023-03-23,303.00226,299.10756,,,
2023-03-24,304.18191,299.96404,,,
2023-03-27,304.85239,300.5993,,,
2023-03-28,305.16741,301.06602,,,
2023-03-29,306.2955,301.91298,,,
2023-03-30,307.70542,302.91646,,,
2023-03-31,309.70612,304.2345,,,
2023-04-03,311.27902,305.39713,,,
2023-04-04,312.44379,306.39364,,,
2023-04-05,312.94475,307.083,,,
2023-04-06,313.69633,307.87907,,,
2023-04-10,314.30459,308.60284,,,
2023-04-11,314.50542,309.12189,,,
2023-04-12,314.24612,309.39582,,,
2023-04-13,314.96979,310.10354,,,
2023-04-14,315.48982,310.71439,,,
2023-04-17,315.97139,311.29999,,,
2023-04-18,316.38195,311.84369,,,
2023-04-19,316.70627,312.33601,,,
2023-04-20,316.60684,312.61186,,,
2023-04-21,316.57348,312.89172,,,
2023-04-24,316.44371,313.10196,,,
2023-04-25,315.41699,312.85515,,,
2023-04-26,314.83745,312.76588,,,
2023-04-27,315.65169,313.31137,,,
2023-04-28,316.68066,313.98016,,,
2023-05-01,317.4944,314.572,,,
2023-05-02,317.75065,314.91185,,,
2023-05-03,317.64593,315.07171,,,
2023-05-04,317.38502,315.13677,,,
2023-05-05,318.19809,315.69479,,,
2023-05-08,319.00915,316.27073,,,
2023-05-09,319.38005,316.65216,,,
2023-05-10,320.23235,317.26459,,,
2023-05-11,321.1166,317.91018,,,
2023-05-12,321.68482,318.42128,,,
2023-05-15,322.43639,319.02489,,,
2023-05-16,323.12925,319.61119,,,
2023-05-17,324.32475,320.4474,,,
2023-05-18,326.28248,321.67722,,,
2023-05-19,327.8221,322.75965,,,
2023-05-22,329.2987,323.8456,,,
2023-05-23,329.88967,324.53407,,,
2023-05-24,330.12664,325.04488,,,
2023-05-25,331.5687,326.11563,,,
2023-05-26,334.12428,327.75003,,,
2023-05-30,336.52978,329.3804,,,
2023-05-31,338.25904,330.74259,,,
2023-06-01,340.34073,332.30166,,,
2023-06-02,342.50831,333.9408,,,
2023-06-05,344.38088,335.47704,,,
2023-06-06,345.95613,336.89504,,,
2023-06-07,346.36288,337.76207,,,
2023-06-08,347.37321,338.88562,,,
2023-06-09,348.43579,340.02594,,,
2023-06-12,350.25644,341.5255,,,
2023-06-13,352.22314,343.11917,,,
2023-06-14,354.29343,344.79034,,,
2023-06-15,356.71598,346.66069,,,
2023-06-16,358.40737,348.2199,,,
2023-06-20,359.68008,349.58731,,,
2023-06-21,359.98776,350.48306,,,
2023-06-22,360.90503,351.62876,,,
2023-06-23,361.12272,352.4207,,,
2023-06-26,360.55922,352.79398,,,
2023-06-27,361.02857,353.59517,,,
2023-06-28,361.53494,354.3896,,,
2023-06-29,361.8511,355.07111,,,
2023-06-30,362.9817,356.11769,,,
2023-07-03,364.07221,357.15119,,,
2023-07-05,364.99341,358.1074,,,
2023-07-06,365.33904,358.78389,,,
2023-07-07,365.4438,359.3199,,,
2023-07-10,365.55091,359.82509,,,
2023-07-11,365.92,360.42694,,,
2023-07-12,366.94769,361.32865,,,
2023-07-13,368.79112,362.63245,,,
2023-07-14,370.33864,363.83375,,,
2023-07-17,372.1927,365.20829,,,
2023-07-18,374.24305,366.71286,,,
2023-07-19,375.96412,368.09931,,,
2023-07-20,376.05272,368.72455,,,
2023-07-21,375.95384,369.21977,,,
2023-07-24,375.96248,369.72275,,,
2023-07-25,376.3621,370.37736,,,
2023-07-26,376.50639,370.89015,,,
2023-07-27,376.49002,371.29829,,,
2023-07-28,377.53156,372.18434,,,
2023-07-31,378.44363,373.01957,,,
2023-08-01,379.07846,373.72701,,,
2023-08-02,378.32331,373.75982,,,
2023-08-03,377.59203,373.74576,,,
2023-08-04,376.70403,373.60311,,,
2023-08-07,376.43726,373.70436,,,
2023-08-08,375.72076,373.56181,,,
2023-08-09,374.48526,373.12686,,,
2023-08-10,373.54445,372.7745,,,
2023-08-11,372.38684,372.27417,,,
2023-08-14,372.03963,372.11534,,,
2023-08-15,371.14123,371.67717,,,
2023-08-16,369.78412,370.98405,,,
2023-08-17,368.02656,370.04894,,,
2023-08-18,366.47017,369.14976,,,
2023-08-21,366.04091,368.74459,,,
2023-08-22,365.59769,368.33092,,,
2023-08-23,366.1042,368.37233,,,
2023-08-24,365.31894,367.82623,,,
2023-08-25,365.08526,367.52799,,,
2023-08-28,365.30907,367.45481,,,
2023-08-29,366.73075,367.98038,,,
2023-08-30,368.25525,368.62183,,,
2023-08-31,369.71906,369.29947,,,
2023-09-01,370.89613,369.89729,,,
2023-09-05,371.96596,370.48638,,,
2023-09-06,372.35889,370.78517,,,
2023-09-07,372.27906,370.86331,,,
2023-09-08,372.29151,370.97418,,,
2023-09-11,372.97743,371.40202,,,
2023-09-12,372.91475,371.48854,,,
2023-09-13,373.08017,371.67383,,,
2023-09-14,373.69091,372.07206,,,
2023-09-15,373.21385,371.96228,,,
2023-09-18,372.7871,371.84952,,,
2023-09-19,372.30447,371.68659,,,
2023-09-20,371.07609,371.14092,,,
2023-09-21,369.009,370.14085,,,
2023-09-22,367.26762,369.21856,,,
2023-09-25,366.05568,368.49052,,,
2023-09-26,364.19942,367.41641,,,
2023-09-27,362.75643,366.48334,,,
2023-09-28,361.99236,365.83939,,,
2023-09-29,361.38584,365.2624,,,
2023-10-02,361.33263,364.94963,,,
2023-10-03,360.31223,364.1904,,,
2023-10-04,360.19189,363.84519,,,
2023-10-05,359.92698,363.44703,,,
2023-10-06,360.62744,363.52355,,,
2023-10-09,361.5063,363.73218,,,
2023-10-10,362.56225,364.07572,,,
