Date,EMA(12),EMA(26),MACD,Signal,Histogram
2023-01-19,37.4175,,,,
2023-01-20,37.88865,,,,
2023-01-23,38.83501,,,,
2023-01-24,39.42809,,,,
2023-01-25,40.64377,,,,
2023-01-26,41.82627,,,,
2023-01-27,43.09607,,,,
2023-01-30,43.72591,,,,
2023-01-31,44.57885,,,,
2023-02-01,45.45287,,,,
2023-02-02,46.71089,,,,
2023-02-03,47.66768,,,,
2023-02-06,48.26804,,,,
2023-02-07,48.74219,,,,
2023-02-08,48.90493,43.38308,,,
2023-02-09,49.01802,43.84656,,,
2023-02-10,48.90756,44.17644,,,
2023-02-13,48.87563,44.51152,,,
2023-02-14,49.06553,44.92622,,,
2023-02-15,49.73083,45.55317,,,
2023-02-16,48.98916,45.50553,,,
2023-02-17,48.1616,45.36512,,,
2023-02-21,47.12443,45.07289,,,
2023-02-22,46.34067,44.84749,,,
2023-02-23,45.73134,44.66471,,,
2023-02-24,44.96498,44.37473,,,
2023-02-27,44.27498,44.08623,,,
2023-02-28,43.79268,43.86799,,,
2023-03-01,43.22458,43.58888,,,
2023-03-02,42.91003,43.41044,,,
2023-03-03,42.98541,43.40967,,,
2023-03-06,43.0615,43.41488,,,
2023-03-07,42.96896,43.34415,,,
2023-03-08,43.08143,43.37051,,,
2023-03-09,43.0689,43.34306,,,
2023-03-10,42.82138,43.20357,,,
2023-03-13,42.66117,43.09812,,,
2023-03-14,42.83637,43.15011,,,
2023-03-15,42.94462,43.17899,,,
2023-03-16,43.21006,43.28944,,,
2023-03-17,43.4362,43.39244,,,
2023-03-20,43.50448,43.42856,,,
2023-03-21,43.84841,43.59978,,,
2023-03-22,44.01942,43.70054,,,
2023-03-23,44.29182,43.85531,,,
2023-03-24,44.39769,43.93862,,,
2023-03-27,44.50112,44.02243,,,
2023-03-28,44.47172,44.04373,,,
2023-03-29,44.81453,44.24049,,,
2023-03-30,45.07537,44.4086,,,
2023-03-31,45.51608,44.67019,,,
2023-04-03,45.84899,44.89314,,,
2023-04-04,46.11684,45.09291,,,
2023-04-05,45.97425,45.1001,,,
2023-04-06,45.87821,45.11861,,,
2023-04-10,45.79695,45.13575,,,
2023-04-11,45.6405,45.1094,,,
2023-04-12,45.58812,45.12352,,,
2023-04-13,45.60995,45.16844,,,
2023-04-14,45.72996,45.25893,,,
2023-04-17,46.1592,45.50049,,,
2023-04-18,46.62702,45.77453,,,
2023-04-19,46.99979,46.01716,,,
2023-04-20,47.15367,46.16404,,,
2023-04-21,47.42849,46.36967,,,
2023-04-24,47.51949,46.49192,,,
2023-04-25,47.35649,46.48956,,,
2023-04-26,47.20472,46.4807,,,
2023-04-27,47.26399,46.56287,,,
2023-04-28,47.44645,46.70266,,,
2023-05-01,47.42084,46.74543,,,
2023-05-02,47.32225,46.74799,,,
2023-05-03,47.16037,46.71258,,,
2023-05-04,48.72031,47.49683,,,
2023-05-05,50.76795,48.57336,,,
2023-05-08,52.86211,49.74422,,,
2023-05-09,54.55871,50.79206,,,
2023-05-10,55.88352,51.70894,,,
2023-05-11,56.96298,52.53791,,,
2023-05-12,57.63483,53.18918,,,
2023-05-15,58.24178,53.81072,,,
2023-05-16,58.53074,54.27807,,,
2023-05-17,58.8737,54.75821,,,
2023-05-18,59.17775,55.20945,,,
2023-05-19,59.33502,55.57912,,,
2023-05-22,59.75425,56.05919,,,
2023-05-23,59.53513,56.2274,,,
2023-05-24,59.44819,56.43056,,,
2023-05-25,59.18078,56.52533,,,
2023-05-26,59.19297,56.7279,,,
2023-05-30,59.03867,56.8362,,,
2023-05-31,58.75426,56.86241,,,
2023-06-01,58.62899,56.94223,,,
2023-06-02,58.57684,57.04206,,,
2023-06-05,58.78348,57.25524,,,
2023-06-06,59.53371,57.72967,,,
2023-06-07,59.53775,57.86525,,,
2023-06-08,59.4981,57.97005,,,
2023-06-09,59.78455,58.22116,,,
2023-06-12,60.58847,58.72404,,,
2023-06-13,61.08871,59.103,,,
2023-06-14,61.82583,59.605,,,
2023-06-15,62.48339,60.08611,,,
2023-06-16,62.82595,60.42862,,,
2023-06-20,63.04657,60.71243,,,
2023-06-21,63.06556,60.89447,,,
2023-06-22,63.12932,61.08599,,,
2023-06-23,63.23096,61.28629,,,
2023-06-26,63.23389,61.43175,,,
2023-06-27,63.32098,61.60718,,,
2023-06-28,63.52083,61.83035,,,
2023-06-29,63.55763,61.97329,,,
2023-06-30,63.71799,62.16786,,,
2023-07-03,63.89215,62.36654,,,
2023-07-05,63.97643,62.52013,,,
2023-07-06,63.64621,62.46901,,,
2023-07-07,63.34218,62.40982,,,
2023-07-10,63.11877,62.37131,,,
2023-07-11,63.12357,62.42899,,,
2023-07-12,63.55687,62.68906,,,
2023-07-13,64.60504,63.25802,,,
2023-07-14,65.19657,63.64261,,,
2023-07-17,65.73248,64.01575,,,
2023-07-18,65.96748,64.25606,,,
2023-07-19,66.31556,64.55043,,,
2023-07-20,66.18086,64.61632,,,
2023-07-21,66.08688,64.68696,,,
2023-07-24,66.09967,64.79681,,,
2023-07-25,65.92895,64.81112,,,
2023-07-26,65.7368,64.80141,,,
2023-07-27,65.46345,64.73908,,,
2023-07-28,65.55215,64.83544,,,
2023-07-31,65.86413,65.03874,,,
2023-08-01,66.10811,65.21735,,,
2023-08-02,65.54225,65.01088,,,
2023-08-03,64.5419,64.56859,,,
2023-08-04,63.52468,64.07684,,,
2023-08-07,62.60858,63.59485,,,
2023-08-08,61.62111,63.04634,,,
2023-08-09,60.63325,62.46513,,,
2023-08-10,59.99275,62.02105,,,
2023-08-11,59.26617,61.52097,,,
2023-08-14,58.76061,61.11053,,,
2023-08-15,58.23436,60.68308,,,
2023-08-16,57.78907,60.2873,,,
2023-08-17,57.08614,59.7638,,,
2023-08-18,56.47904,59.27315,,,
2023-08-21,56.08688,58.87736,,,
2023-08-22,55.75967,58.51311,,,
2023-08-23,55.90895,58.38103,,,
2023-08-24,55.83988,58.16466,,,
2023-08-25,55.79374,57.97024,,,
2023-08-28,55.87316,57.84726,,,
2023-08-29,56.32344,57.91783,,,
2023-08-30,56.8906,58.07281,,,
2023-08-31,58.36743,58.69631,,,
2023-09-01,59.6509,59.28992,,,
2023-09-05,60.59692,59.77215,,,
2023-09-06,61.40047,60.22014,,,
2023-09-07,61.9204,60.55791,,,
2023-09-08,62.08803,60.73955,,,
2023-09-11,62.46833,61.02255,,,
2023-09-12,62.53936,61.16384,,,
2023-09-13,62.55177,61.2717,,,
2023-09-14,62.68227,61.42935,,,
2023-09-15,62.63577,61.49977,,,
2023-09-18,62.15334,61.35164,,,
2023-09-19,61.56513,61.12781,,,
2023-09-20,60.85819,60.81982,,,
2023-09-21,59.75693,60.29243,,,
2023-09-22,58.72971,59.75818,,,
2023-09-25,57.93745,59.30054,,,
2023-09-26,56.94861,58.72346,,,
2023-09-27,56.16421,58.21431,,,
