Date,EMA(12),EMA(26),MACD,Signal,Histogram
2023-01-19,135.64333,,,,
2023-01-20,137.05513,,,,
2023-01-23,139.0928,,,,
2023-01-24,140.12314,,,,
2023-01-25,140.78727,,,,
2023-01-26,142.58154,,,,
2023-01-27,145.16284,,,,
2023-01-30,146.35625,,,,
2023-01-31,147.9076,,,,
2023-02-01,150.57105,,,,
2023-02-02,154.79858,,,,
2023-02-03,156.10495,,,,
2023-02-06,156.40727,,,,
2023-02-07,157.07846,,,,
2023-02-08,157.38331,146.87308,,,
2023-02-09,158.19819,148.04396,,,
2023-02-10,158.06462,148.73181,,,
2023-02-13,158.66391,149.71168,,,
2023-02-14,160.56485,151.29007,,,
2023-02-15,162.82872,153.0671,,,
2023-02-16,163.07046,153.90657,,,
2023-02-17,161.68731,153.91942,,,
2023-02-21,160.08311,153.72243,,,
2023-02-22,158.6334,153.49558,,,
2023-02-23,157.78518,153.46776,,,
2023-02-24,156.34746,153.09533,,,
2023-02-27,156.08631,153.21049,,,
2023-02-28,155.8238,153.29712,,,
2023-03-01,155.62014,153.38622,,,
2023-03-02,152.49089,152.04502,,,
2023-03-03,150.89383,151.30909,,,
2023-03-06,149.53632,150.62471,,,
2023-03-07,148.44612,150.01918,,,
2023-03-08,147.55441,149.47331,,,
2023-03-09,145.82296,148.49751,,,
2023-03-10,143.61327,147.23547,,,
2023-03-13,142.70815,146.53136,,,
2023-03-14,142.26382,146.03422,,,
2023-03-15,141.85092,145.55613,,,
2023-03-16,141.40001,145.06456,,,
2023-03-17,140.51078,144.36496,,,
2023-03-20,139.73528,143.70607,,,
2023-03-21,140.00216,143.54044,,,
2023-03-22,139.32952,142.95448,,,
2023-03-23,139.52036,142.77785,,,
2023-03-24,139.0603,142.31505,,,
2023-03-27,138.43102,141.77097,,,
2023-03-28,137.87394,141.25534,,,
2023-03-29,137.81026,140.9742,,,
2023-03-30,138.47176,141.05833,,,
2023-03-31,140.90534,142.03845,,,
2023-04-03,142.30452,142.62819,,,
2023-04-04,144.32382,143.57647,,,
2023-04-05,144.65554,143.79155,,,
2023-04-06,144.81315,143.93144,,,
2023-04-10,145.26805,144.21578,,,
2023-04-11,144.33297,143.8435,,,
2023-04-12,143.61405,143.53361,,,
2023-04-13,143.27035,143.37408,,,
2023-04-14,143.09491,143.28193,,,
2023-04-17,143.428,143.42845,,,
2023-04-18,143.80677,143.61079,,,
2023-04-19,143.92111,143.68036,,,
2023-04-20,143.73632,143.60922,,,
2023-04-21,143.95996,143.72631,,,
2023-04-24,143.73689,143.63621,,,
2023-04-25,142.4666,143.03205,,,
2023-04-26,143.17328,143.33042,,,
2023-04-27,144.03431,143.73335,,,
2023-04-28,144.65672,144.05532,,,
2023-05-01,145.01261,144.27122,,,
2023-05-02,144.98605,144.31335,,,
2023-05-03,144.93281,144.33755,,,
2023-05-04,146.52315,145.14736,,,
2023-05-05,147.69959,145.8157,,,
2023-05-08,149.65658,146.8975,,,
2023-05-09,151.84326,148.15472,,,
2023-05-10,154.95045,149.924,,,
2023-05-11,157.27653,151.4163,,,
2023-05-12,158.83399,152.60028,,,
2023-05-15,160.86722,154.041,,,
2023-05-16,162.53534,155.34981,,,
2023-05-17,164.30221,156.73279,,,
2023-05-18,167.38033,158.77555,,,
2023-05-19,168.83259,160.11218,,,
2023-05-22,170.31527,161.47202,,,
2023-05-23,171.06061,162.48594,,,
2023-05-24,171.9959,163.57143,,,
2023-05-25,168.29038,162.41132,,,
2023-05-26,165.47801,161.4927,,,
2023-05-30,164.42755,161.28213,,,
2023-05-31,164.571,161.58419,,,
2023-06-01,164.98777,162.0061,,,
2023-06-02,166.56042,162.98417,,,
2023-06-05,168.89728,164.37423,,,
2023-06-06,170.94693,165.69614,,,
2023-06-07,170.65817,165.94606,,,
2023-06-08,171.21999,166.56561,,,
2023-06-09,171.1323,166.86816,,,
2023-06-12,171.24887,167.24015,,,
2023-06-13,171.58597,167.6994,,,
2023-06-14,173.04505,168.68981,,,
2023-06-15,175.80427,170.34094,,,
2023-06-16,177.09284,171.36606,,,
2023-06-20,177.39856,171.93746,,,
2023-06-21,176.78186,172.04506,,,
2023-06-22,177.06157,172.53061,,,
2023-06-23,177.24441,172.95427,,,
2023-06-26,176.10527,172.72358,,,
2023-06-27,176.246,173.04183,,,
2023-06-28,177.41585,173.84244,,,
2023-06-29,177.16264,173.98522,,,
2023-06-30,176.9807,174.13298,,,
2023-07-03,176.98213,174.34461,,,
2023-07-05,176.30026,174.21168,,,
2023-07-06,175.66791,174.06193,,,
2023-07-07,174.88977,173.80623,,,
2023-07-10,174.08365,173.49836,,,
2023-07-11,173.77078,173.39107,,,
2023-07-12,173.48758,173.28284,,,
2023-07-13,175.13872,174.093,,,
2023-07-14,176.00815,174.58907,,,
2023-07-17,177.26997,175.30173,,,
2023-07-18,178.95151,176.25716,,,
2023-07-19,179.95128,176.93811,,,
2023-07-20,179.39416,176.89306,,,
2023-07-21,178.8566,176.8195,,,
2023-07-24,178.23251,176.66991,,,
2023-07-25,178.3952,176.86399,,,
2023-07-26,177.10363,176.35555,,,
2023-07-27,175.74461,175.75662,,,
2023-07-28,175.6039,175.68798,,,
2023-07-31,175.92792,175.83776,,,
2023-08-01,176.02824,175.89274,,,
2023-08-02,174.27005,175.05624,,,
2023-08-03,172.2362,174.01874,,,
2023-08-04,171.37986,173.47439,,,
2023-08-07,170.65527,172.97036,,,
2023-08-08,168.45138,171.73774,,,
2023-08-09,166.23886,170.42902,,,
2023-08-10,164.51288,169.28761,,,
2023-08-11,162.79859,168.10853,,,
2023-08-14,161.26958,166.97901,,,
2023-08-15,159.70503,165.80279,,,
2023-08-16,158.16426,164.60925,,,
2023-08-17,156.43745,163.30042,,,
2023-08-18,155.08246,162.13965,,,
2023-08-21,154.58977,161.37968,,,
2023-08-22,154.28057,160.72785,,,
2023-08-23,154.49894,160.35542,,,
2023-08-24,153.44833,159.41576,,,
2023-08-25,153.31013,158.90719,,,
2023-08-28,152.60857,158.15481,,,
2023-08-29,152.71494,157.79519,,,
2023-08-30,153.1188,157.61332,,,
2023-08-31,153.69283,157.55678,,,
2023-09-01,154.21393,157.52146,,,
2023-09-05,155.00871,157.65913,,,
2023-09-06,155.39045,157.6466,,,
2023-09-07,156.075,157.80907,,,
2023-09-08,157.59423,158.4121,,,
2023-09-11,159.52896,159.28306,,,
2023-09-12,160.6522,159.84209,,,
2023-09-13,161.3734,160.24934,,,
2023-09-14,161.62057,160.45161,,,
2023-09-15,161.74202,160.59668,,,
2023-09-18,161.69709,160.65989,,,
2023-09-19,161.396,160.59175,,,
2023-09-20,160.97046,160.44644,,,
2023-09-21,159.13347,159.60078,,,
2023-09-22,157.68217,158.86739,,,
2023-09-25,156.4603,158.19129,,,
2023-09-26,155.01256,157.36601,,,
2023-09-27,153.85986,156.63668,,,
2023-09-28,153.43834,156.22804,,,
2023-09-29,153.33552,155.97189,,,
2023-10-02,153.00236,155.61619,,,
2023-10-03,152.3543,155.11055,,,
2023-10-04,152.29364,154.87718,,,
2023-10-05,151.97923,154.53443,,,
2023-10-06,153.2055,154.93558,,,
2023-10-09,154.52927,155.4448,,,
2023-10-10,155.85246,156.01407,,,
2023-10-11,157.03516,156.57155,,,
2023-10-12,157.48514,156.82255,,,
2023-10-13,157.43512,156.84755,,,
2023-10-16,158.15741,157.23884,,,
2023-10-17,158.34704,157.39819,,,
2023-10-18,157.5598,157.08944,,,
2023-10-19,156.92445,156.81837,,,
2023-10-20,155.50069,156.14071,,,
2023-10-23,154.43751,155.5814,,,
2023-10-24,153.92712,155.25093,,,
2023-10-25,152.15372,154.29901,,,
2023-10-26,150.41315,153.30205,,,
2023-10-27,149.33113,152.56708,,,
2023-10-30,148.53557,151.94433,,,
2023-10-31,148.01164,151.43956,,,
2023-11-01,147.43446,150.90774,,,
2023-11-02,146.71377,150.30346,,,
2023-11-03,147.21781,150.28024,,,
2023-11-06,146.75353,149.82985,,,
2023-11-07,148.72529,150.55134,,,
2023-11-08,150.2414,151.14606,,,
2023-11-09,151.18118,151.53154,,,
2023-11-10,152.59946,152.18846,,,
2023-11-13,153.538,152.6708,,,
2023-11-14,155.43369,153.64778,,,
2023-11-15,156.60235,154.34276,,,
2023-11-16,157.2743,154.83367,,,
2023-11-17,157.97825,155.3534,,,
2023-11-20,159.32467,156.19611,,,
2023-11-21,160.45472,156.97195,,,
2023-11-22,161.75707,157.85699,,,
2023-11-24,163.20367,158.8424,,,
2023-11-27,164.29541,159.69111,,,
2023-11-28,165.4115,160.56955,,,
2023-11-29,166.93588,161.66218,,,
2023-11-30,170.12728,163.58943,,,
2023-12-01,172.56462,165.24725,,,
2023-12-04,174.98545,166.95486,,,
2023-12-05,176.70461,168.37746,,,
2023-12-06,177.89929,169.5695,,,
2023-12-07,179.34709,170.88361,,,
2023-12-08,181.08908,172.34927,,,
2023-12-11,182.91999,173.87821,,,
2023-12-12,184.54615,175.33094,,,
2023-12-13,186.3929,176.90272,,,
2023-12-14,188.61861,178.67733,,,
2023-12-15,190.21729,180.18345,,,
2023-12-18,191.56386,181.57505,,,
2023-12-19,192.71096,182.86727,,,
2023-12-20,192.95235,183.71266,,,
2023-12-21,193.54276,184.68135,,,
2023-12-22,193.87003,185.49532,,,
