Date,EMA(12),EMA(26),MACD,Signal,Histogram
2023-01-19,389.94667,,,,
2023-01-20,390.85949,,,,
2023-01-23,392.36265,,,,
2023-01-24,393.5684,,,,
2023-01-25,394.61172,,,,
2023-01-26,396.17146,,,,
2023-01-27,397.63431,,,,
2023-01-30,398.08903,,,,
2023-01-31,399.37995,,,,
2023-02-01,401.13688,,,,
2023-02-02,403.54351,,,,
2023-02-03,404.89835,,,,
2023-02-06,405.65707,,,,
2023-02-07,407.12367,,,,
2023-02-08,407.66618,398.82769,,,
2023-02-09,407.57754,399.43971,,,
2023-02-10,407.64869,400.07677,,,
2023-02-13,408.44581,401.02145,,,
2023-02-14,409.09107,401.88208,,,
2023-02-15,409.84321,402.77822,,,
2023-02-16,409.60272,403.18576,,,
2023-02-17,409.2423,403.48756,,,
2023-02-21,407.68041,403.16181,,,
2023-02-22,406.27419,402.81945,,,
2023-02-23,405.41047,402.65949,,,
2023-02-24,404.02117,402.19434,,,
2023-02-27,403.0533,401.86365,,,
2023-02-28,402.00818,401.44856,,,
2023-03-01,400.89,400.95163,,,
2023-03-02,400.41615,400.71892,,,
2023-03-03,400.99674,400.97604,,,
2023-03-06,401.53109,401.23485,,,
2023-03-07,401.02938,401.01523,,,
2023-03-08,400.70486,400.86003,,,
2023-03-09,399.29796,400.17114,,,
2023-03-10,397.23827,399.11476,,,
2023-03-13,395.41084,398.09589,,,
2023-03-14,394.84456,397.62434,,,
2023-03-15,393.98847,397.00624,,,
2023-03-16,394.31486,396.93985,,,
2023-03-17,393.6495,396.42505,,,
2023-03-20,393.66342,396.22616,,,
2023-03-21,394.47059,396.42496,,,
2023-03-22,394.10742,396.10533,,,
2023-03-23,393.9632,395.8879,,,
2023-03-24,394.23809,395.87769,,,
2023-03-27,394.58454,395.92305,,,
2023-03-28,394.74076,395.89912,,,
2023-03-29,395.75757,396.30289,,,
2023-03-30,396.97948,396.85082,,,
2023-03-31,398.88879,397.77965,,,
2023-04-03,400.74436,398.75523,,,
2023-04-04,401.96369,399.48966,,,
2023-04-05,402.83081,400.09043,,,
2023-04-06,403.80915,400.76447,,,
2023-04-10,404.70159,401.41969,,,
2023-04-11,405.47365,402.03453,,,
2023-04-12,405.87001,402.48012,,,
2023-04-13,407.03924,403.29419,,,
2023-04-14,407.8732,403.97314,,,
2023-04-17,408.80655,404.71143,,,
2023-04-18,409.63785,405.41503,,,
2023-04-19,410.33049,406.06132,,,
2023-04-20,410.56888,406.49233,,,
2023-04-21,410.81982,406.91512,,,
2023-04-24,411.09831,407.33844,,,
2023-04-25,410.32626,407.24522,,,
2023-04-26,409.40837,407.0315,,,
2023-04-27,409.87016,407.42991,,,
2023-04-28,410.80244,408.05955,,,
2023-05-01,411.52668,408.61144,,,
2023-05-02,411.42104,408.77652,,,
2023-05-03,410.8978,408.72048,,,
2023-05-04,410.01045,408.45452,,,
2023-05-05,410.41346,408.76381,,,
2023-05-08,410.77139,409.05834,,,
2023-05-09,410.79579,409.19698,,,
2023-05-10,411.11182,409.46757,,,
2023-05-11,411.26846,409.66479,,,
2023-05-12,411.31793,409.8074,,,
2023-05-15,411.57825,410.04463,,,
2023-05-16,411.3739,410.05984,,,
2023-05-17,411.96715,410.44281,,,
2023-05-18,413.08451,411.09371,,,
2023-05-19,413.93612,411.65121,,,
2023-05-22,414.68287,412.18001,,,
2023-05-23,414.59166,412.32149,,,
2023-05-24,414.05294,412.23027,,,
2023-05-25,414.1448,412.40951,,,
2023-05-26,415.04868,412.97325,,,
2023-05-30,415.83811,413.50708,,,
2023-05-31,416.14763,413.82878,,,
2023-06-01,417.0203,414.42072,,,
2023-06-02,418.69718,415.42067,,,
2023-06-05,419.98992,416.28581,,,
2023-06-06,421.22686,417.15575,,,
2023-06-07,422.0458,417.85162,,,
2023-06-08,423.13568,418.68706,,,
2023-06-09,424.17634,419.51765,,,
2023-06-12,425.6569,420.5756,,,
2023-06-13,427.34968,421.76704,,,
2023-06-14,428.86204,422.90874,,,
2023-06-15,430.97557,424.36735,,,
2023-06-16,432.28087,425.48532,,,
2023-06-20,433.03458,426.35159,,,
2023-06-21,433.32772,426.98777,,,
2023-06-22,433.8173,427.69312,,,
2023-06-23,433.72387,428.10178,,,
2023-06-26,433.37251,428.34906,,,
2023-06-27,433.80289,428.92839,,,
2023-06-28,434.20091,429.4811,,,
2023-06-29,434.80231,430.12028,,,
2023-06-30,436.10657,431.09507,,,
2023-07-03,437.28864,432.03544,,,
2023-07-05,438.18731,432.85726,,,
2023-07-06,438.41388,433.36117,,,
2023-07-07,438.43482,433.74553,,,
2023-07-10,438.62331,434.18364,,,
2023-07-11,439.21357,434.7967,,,
2023-07-12,440.26071,435.62806,,,
2023-07-13,441.69137,436.66006,,,
2023-07-14,442.85885,437.59487,,,
2023-07-17,444.08672,438.57599,,,
