Date,EMA(12),EMA(26),MACD,Signal,Histogram
2023-01-19,82.3475,,,,
2023-01-20,83.68327,,,,
2023-01-23,85.52584,,,,
2023-01-24,86.91571,,,,
2023-01-25,87.76099,,,,
2023-01-26,88.63622,,,,
2023-01-27,89.35372,,,,
2023-01-30,89.93469,,,,
2023-01-31,90.36474,,,,
2023-02-01,91.03786,,,,
2023-02-02,91.90127,,,,
2023-02-03,92.32569,,,,
2023-02-06,92.24943,,,,
2023-02-07,92.60336,,,,
2023-02-08,92.8613,88.50577,,,
2023-02-09,93.45033,89.11201,,,
2023-02-10,93.74566,89.57556,,,
2023-02-13,94.1094,90.05959,,,
2023-02-14,94.7018,90.64481,,,
2023-02-15,94.40306,90.80149,,,
2023-02-16,93.85182,90.80286,,,
2023-02-17,93.27462,90.7508,,,
2023-02-21,92.40776,90.52037,,,
2023-02-22,91.54964,90.24701,,,
2023-02-23,91.32354,90.23464,,,
2023-02-24,90.82915,90.07726,,,
2023-02-27,90.2862,89.87154,,,
2023-02-28,89.7914,89.66402,,,
2023-03-01,89.58042,89.57187,,,
2023-03-02,89.49574,89.53173,,,
2023-03-03,89.54101,89.55086,,,
2023-03-06,89.54701,89.55302,,,
2023-03-07,89.43978,89.50094,,,
2023-03-08,89.65366,89.59939,,,
2023-03-09,89.53464,89.5461,,,
2023-03-10,89.18316,89.37602,,,
2023-03-13,88.96114,89.25483,,,
2023-03-14,89.01173,89.25744,,,
2023-03-15,88.65608,89.068,,,
2023-03-16,88.75514,89.08519,,,
2023-03-17,88.86512,89.11369,,,
2023-03-20,89.04587,89.18231,,,
2023-03-21,89.57727,89.42806,,,
2023-03-22,90.04538,89.6645,,,
2023-03-23,90.74455,90.02935,,,
2023-03-24,91.05923,90.23384,,,
2023-03-27,90.99781,90.26541,,,
2023-03-28,90.96892,90.30575,,,
2023-03-29,91.24447,90.48755,,,
2023-03-30,91.43301,90.6344,,,
2023-03-31,91.67716,90.81111,,,
2023-04-03,91.85606,90.9614,,,
2023-04-04,91.90436,91.05093,,,
2023-04-05,91.64215,90.9879,,,
2023-04-06,91.42643,90.9325,,,
2023-04-10,91.05621,90.79083,,,
2023-04-11,90.77679,90.67595,,,
2023-04-12,90.17575,90.39403,,,
2023-04-13,89.69487,90.14632,,,
2023-04-14,89.31104,89.92807,,,
2023-04-17,89.1078,89.78451,,,
2023-04-18,88.95891,89.66269,,,
2023-04-19,88.69292,89.48249,,,
2023-04-20,88.78478,89.46823,,,
2023-04-21,88.25943,89.16466,,,
2023-04-24,87.70259,88.8295,,,
2023-04-25,86.86988,88.34509,,,
2023-04-26,86.15913,87.8936,,,
2023-04-27,85.77619,87.58074,,,
2023-04-28,85.54908,87.33772,,,
2023-05-01,85.30768,87.089,,,
2023-05-02,84.9465,86.78315,,,
2023-05-03,84.60088,86.48069,,,
2023-05-04,84.42998,86.25916,,,
2023-05-05,84.51306,86.16367,,,
2023-05-08,84.67105,86.11747,,,
